team_name,human_rank,human_score,machine_rank,machine_score,llm_rank,llm_score,human_machine_diff,human_llm_diff,machine_llm_diff
Team cake,1,0.91,10,0.468,4,0.77,9,3,-6
Team MarSan_AI,2,0.89,7,0.504,8,0.695,5,6,1
mkrisnai,3,0.89,9,0.475,3,0.7875,6,0,-6
erehulka,4,0.88,2,0.543,1,0.8225,-2,-3,-1
SomethingAwful,5,0.86,4,0.522,2,0.8175,-1,-3,-2
Team_SINAI,6,0.85,15,0.413,6,0.72,9,0,-9
Team NLPunks,7,0.84,8,0.489,7,0.705,1,0,-1
Team Iron Autobots,8,0.74,16,0.345,9,0.6575,8,1,-7
gleb.shnshn,9,0.74,11,0.462,5,0.72,2,-4,-6
ZhongyuLuo,10,0.73,6,0.506,13,0.62375,-4,3,7
backtranslation_baseline,11,0.73,5,0.506,12,0.62625,-6,1,7
nikita.sushko,12,0.7,1,0.553,10,0.6375,-11,-2,9
VitalyProtasov,13,0.69,3,0.531,11,0.6375,-10,-2,8
mt5_baseline,14,0.68,13,0.418,15,0.5225,-1,1,2
dkenco,15,0.68,17,0.183,14,0.58,2,-1,-3
Team nlp_enjoyers,16,0.67,14,0.418,16,0.5075,-2,0,2
delete_baseline,17,0.47,12,0.447,17,0.26875,-5,0,5
