team_name,human_score,human_rank,llm_score,llm_rank,rank_diff
SomethingAwful,0.86,5,0.88,1,-4
Team cake,0.91,1,0.85,2,1
erehulka,0.88,4,0.8275,3,-1
gleb.shnshn,0.74,9,0.81,4,-5
Team_SINAI,0.85,6,0.8075,5,-1
mkrisnai,0.89,3,0.795,6,3
Team NLPunks,0.84,7,0.77,7,0
Team MarSan_AI,0.89,2,0.7425,8,6
Team Iron Autobots,0.74,8,0.7325,9,1
dkenco,0.68,15,0.695,10,-5
nikita.sushko,0.7,12,0.68,11,-1
VitalyProtasov,0.69,13,0.6575,12,-1
ZhongyuLuo,0.73,10,0.65,13,3
backtranslation_baseline,0.73,11,0.64125,14,3
mt5_baseline,0.68,14,0.53125,15,1
delete_baseline,0.47,17,0.28,17,0
