team_name,human_score,human_rank,llm_score,llm_rank,rank_diff
erehulka,0.88,4,0.8225,1,-3
SomethingAwful,0.86,5,0.8175,2,-3
mkrisnai,0.89,3,0.7875,3,0
Team cake,0.91,1,0.77,4,3
gleb.shnshn,0.74,9,0.72,5,-4
Team_SINAI,0.85,6,0.72,6,0
Team NLPunks,0.84,7,0.705,7,0
Team MarSan_AI,0.89,2,0.695,8,6
Team Iron Autobots,0.74,8,0.6575,9,1
nikita.sushko,0.7,12,0.6375,10,-2
VitalyProtasov,0.69,13,0.6375,11,-2
backtranslation_baseline,0.73,11,0.62625,12,1
ZhongyuLuo,0.73,10,0.62375,13,3
dkenco,0.68,15,0.58,14,-1
mt5_baseline,0.68,14,0.5225,15,1
delete_baseline,0.47,17,0.26875,17,0
