toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,我感到不适的是有些,1.0,0.0,0.0,0.0,"1) 风格迁移准确性：去毒文本完全删除了所有侮辱性、歧视性用语，没有残留任何攻击性表述，因此 STA=1.0。
2) 内容相似度：原句谈论对某人出国、去非洲服务、整容改名后再回来“祸害国男”的担忧，信息量较多；去毒文本仅剩“我感到不适的是有些”，核心语义基本丢失，CS=0.0。
3) 流畅性：去毒文本是一个不完整的句子，语法残缺，读者难以理解，FS=0.0。
综合考虑三项分数的乘积/联合，j_score=0.0。"
一位优秀的接盘侠????,一位优秀的恋爱伴侣????,1.0,0.5,1.0,0.5,1) 风格迁移准确性：原句中的“接盘侠”带有强烈嘲讽与贬义，替换成“恋爱伴侣”后完全消除了贬损意味，没有任何攻击性，因此给 1.0 分。2) 内容相似度：原句核心信息是称呼某人为“接盘侠”（暗示接手他人遗留问题的伴侣），而改写后仅表达为“恋爱伴侣”，缺失了“接手别人负担”这一讽刺含义，语义发生一定改变，但仍指代一位伴侣角色，保留了部分信息，给 0.5 分。3) 流畅性：短语结构简单，无语法错误，“????”虽带有夸张语气但不影响阅读，整体自然通顺，给 1.0 分。联合分数取三项乘积为 1.0*0.5*1.0 = 0.5。
我媳妇也会打拳！??,我媳妇也会发表极端性别言论！??,1.0,0.5,1.0,0.5,"原句中的""打拳""在中文语境下常被用作贬义俚语，指激进女权主义者发表带有攻击性的性别言论，因此属于一定程度的有毒表达。去毒文本把""打拳""明确解释为""发表极端性别言论""，彻底去除了俚语及潜在的侮辱色彩，不含攻击性词汇，故STA=1.0。内容方面，如果按网络俚语的含义理解，""打拳""≈""发表极端性别言论""，核心信息基本保留；但若按字面理解(打拳=练拳击)，则语义改变较大。综合两种可能取中，给CS=0.5。句子语法正确、用词通顺，无明显病句，FS=1.0。联合分取三项平均得(1+0.5+1)/3≈0.83。"
丑的一批、呸,这里的人们真的很让人讨厌、呸,0.5,0.5,0.5,0.125,"1) 风格迁移准确性：原句包含明显的人身外貌攻击“丑的一批”及侮辱性拟声词“呸”。去毒文本删除了外貌攻击，但仍保留情绪性贬损“让人讨厌”和辱骂语气词“呸”，毒性降低但未完全消除，评分0.5。
2) 内容相似度：两句都表达对对象的负面情绪，但原句围绕外貌（丑），改写后变为对行为/整体的厌恶（讨厌），核心评价维度发生变化，信息部分流失，给0.5。
3) 流畅性：基本语法通顺，可读性正常，但“、呸”用法及停顿符号不太符合书面习惯，稍显生硬，给0.5。
综合各项取平均，j_score = 0.5。"
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,嫁给他，就跟他回非洲啊。某些黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,0.0,1.0,1.0,0.0,"1) 风格迁移准确性：原句中的“黑人敢打我们的抗疫英雄，洗不白了”具有明显的歧视性和攻击性。去毒文本仅把“黑人”改为“某些黑人”，歧视语气和负面刻板印象仍然保留，因此去毒失败，评分0.0。
2) 内容相似度：除增加“某些”一词外，其余信息完全一致，核心含义、结构均未改变，评分1.0。
3) 流畅性：句子语法和用词都符合中文表达习惯，无明显错误，评分1.0。
联合分 j_score 取三项最低值，因此为0.0。"
是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢,我感到不适的是,1.0,0.0,0.0,0.0,"1) 风格迁移准确性：去毒化文本完全删去了原句中对黑人和女性的歧视性、侮辱性表述，不含任何有毒词汇或负面暗示，因此记 1.0。
2) 内容相似度：原句涉及对性伴侣种族的描述、是否结婚的态度以及对艾滋的担忧，而去毒化结果仅剩『我感到不适的是』这一残句，几乎未保留原始信息，核心语义全部丢失，故记 0.0。
3) 流畅性：生成文本只有半句话，语法与结构皆未完成，无法构成完整意思，阅读体验差，判为 0.0。
4) 联合分数：采用三项分数乘积，1.0 × 0.0 × 0.0 = 0.0。"
对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。,对，这洽洽是对所有中国人的歧视，所以排斥他们，他们不值得同情。,0.0,1.0,0.5,0.0,"1) 风格迁移准确性：去毒化文本依旧明确支持并鼓励对中国人的排斥，使用“排斥他们”“不值得同情”等带有敌意的表达，未消除有毒内容，评分0.0。
2) 内容相似度：除了把“排他们，他们活该”替换为意义近似的“排斥他们，他们不值得同情”，其余信息完全一致，核心语义保持，评分1.0。
3) 流畅性：整体可读，但存在词语误写“洽洽”(应为“恰恰”)及轻微重复，表达略显生硬，评分0.5。
4) 综合分(j_score)按三项最低值计，为0.0。"
这男的也是啥pei给女的当狗活该,这男的也是啥pei给女的当奴隶活该,0.0,1.0,0.5,0.0,"1) 风格迁移准确性：去毒文本仍然包含“奴隶”“活该”等带有贬低、攻击性的词语，对目标人物进行人格贬低，毒性基本未消除，故STA=0.0。
2) 内容相似度：除将“狗”替换为“奴隶”外，其余词汇与语义保持一致，仍表达“这男的活该为女的低声下气”的含义，核心信息未变，故CS=1.0。
3) 流畅性：句子整体可理解，但“啥pei”书写非规范且无标点，略显口语与不正式，流畅性受一定影响，故FS=0.5。
综上，联合分数取三项最低值，为0.0。"
很快就能解封的，性取向变态患者搞得鬼,很快就能解封的，性取向多样化者搞得鬼,0.5,1.0,0.5,0.25,"1) STA: 原句中的明显侮辱词“变态患者”被改为中性描述“多样化者”，去除了直接的污蔑性词汇，但仍将问题归咎于某一性少数群体（“性取向多样化者搞得鬼”），依旧带有歧视／责怪色彩，故仅部分去毒化，评分0.5。
2) CS: 除去侮辱性词汇外，其余信息（“很快能解封”“…搞的鬼”）完全保留，核心语义未变，评分1.0。
3) FS: 句子基本可读，但短语“性取向多样化者搞得鬼”缺少“是”或其他连词，表达略显生硬，不够地道，评分0.5。
综上，联合分数取三项最小值，为0.5。"
好 不和牛马一般见识??,好 不和无知的人一般见识??,0.5,1.0,0.5,0.25,"1. 风格迁移准确性：原句中“牛马”属于明显的侮辱性称呼，去毒文本将其替换为“无知的人”。虽然侮辱性明显减弱，但仍带有轻度贬义，未完全去除负面攻击色彩，因此给 0.5。
2. 内容相似度：除了将侮辱词替换为较中性的描述，整体语义“好，不与对方计较”保持完整，没有信息缺失，给 1.0。
3. 流畅性：句子基本可读，但标点使用不当（两个问号、缺少逗号空格），开头“好”单独放置显得生硬，故流畅性评分 0.5。
综合取三项最低值作为联合分 j_score，故为 0.5。"
黑人的舔狗其实比黑人更可恨,黑人的崇拜者其实比黑人更让人反感,0.0,1.0,1.0,0.0,"1) 风格迁移准确性：虽然将侮辱性词语“舔狗”替换成较中性的“崇拜者”，但句子仍表达出对黑人群体的贬损（“比黑人更让人反感”），依旧含有明显仇恨/歧视成分，未成功去除有毒内容，故STA=0.0。
2) 内容相似度：除词汇强度略有降低（“可恨”→“反感”）外，核心含义“黑人崇拜者比黑人更令人厌恶”被完整保留，信息基本一致，因此CS=1.0。
3) 流畅性：句式和用词均符合中文习惯，无明显语法错误，阅读流畅，故FS=1.0。
联合得分按三项乘积计算：0.0×1.0×1.0=0.0。"
????肯定是国楠自己造成的呀，国楠不配娶她们,????肯定是某些人自己造成的呀，某些人不配娶她们,0.5,0.5,1.0,0.25,"1) STA: 原句对“国楠”带有贬损意味的评价“国楠不配娶她们”。去毒文本虽然把具体人名改成了“某些人”，弱化了针对性，但仍然保留了“某些人不配娶她们”的贬损/侮辱表达，攻击性依旧存在，只是程度略降，因此给0.5。
2) CS: 去毒文本保持了“是当事人自己造成的”“不配娶她们”这一核心含义，但将特定主体由“国楠”泛化为“某些人”，细节有所丢失，评分0.5。
3) FS: 句式和用词通顺自然，与原句一致，没有明显语病，故给1.0。
联合分数取三项最低值，得到0.5。"
没见过基佬工程师,没见过同性恋工程师,1.0,1.0,1.0,1.0,去毒文本将贬义词“基佬”改为中性词“同性恋”，完全消除了侮辱性表达；同时保留了“没见过…工程师”的核心含义，语义一致；句子结构简洁、符合中文习惯，无语法问题，因此三项得分均为1.0，联合分数取三者最小值为1.0。
黑河南、黑北方的都是南满,黑河南、河南和北方的都是中国人。,1.0,0.0,0.5,0.0,"1) 风格迁移准确性：去毒文本删除了“南满”这一带有地域歧视和贬低意味的词汇，也没有新增攻击性词语，因此认为已完全去除有毒内容，评分1.0。
2) 内容相似度：原句表达的是“那些抹黑河南、抹黑北方的人都是南满(带贬义)”，核心含义是对‘抹黑者’身份的贬称；去毒句则变成“河南和北方的都是中国人”，意思演变为强调河南人和北方人同属中国国民，已经不再谈论‘抹黑者’，核心命题发生根本变化，故内容相似度为0.0。
3) 流畅性：句式“黑河南、河南和北方的都是中国人”结构混乱，重复出现“河南”，且搭配不自然，阅读上存在障碍，但基本可理解，因此给0.5。
综合取三项评分的最小值作为联合分，j_score为0.0。"
"因为智商低，容易被女的pua,价值观都偏了",因为智商低，容易被女的操纵，价值观都偏了,0.0,1.0,1.0,0.0,去毒化文本仍保留了明显的攻击性措辞“智商低”，这一表述对被指对象进行能力羞辱，属于明显的有毒语言，未被删除或缓和，因此风格迁移失败，STA评分为0.0；内容方面，仅将“pua”换成了同义且中性的“操纵”，其余信息完全一致，核心语义保持完好，CS给1.0；流畅性方面，句子结构简洁通顺，语法无明显错误，可读性良好，FS为1.0。联合分数按三项乘积计算，因STA为0故j_score为0.0。
