toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名然后回来。,0.5,1.0,1.0,0.5,去毒文本删除了‘再回来祸害国男’这一具有明显性别攻击性和煽动性意味的表述，改为‘然后回来’，在一定程度上削弱了原句的毒性。但原句整体语境仍隐含对特定人物或群体的贬低和恶意揣测（如‘吴母沟整个容改个名’）未被完全中和，且‘祸害国男’的替代表述只是省略而非重构为中性表达，因此有毒意图虽被弱化但未彻底消除，故STA评为0.5分。内容相似度方面，去毒文本保留了原句的主要结构和核心信息，仅删减了最具攻击性的部分，核心语义未发生偏移，CS为1.0。语言表达上，句子语法完整、通顺自然，符合中文表达习惯，FS为1.0。综合来看，该去毒化处理部分成功，但未完全实现风格迁移目标。
一位优秀的接盘侠????,一位优秀的接盘侠,0.0,1.0,1.0,0.0,去毒文本与有毒文本完全相同，仅去除了问号，但'接盘侠'在中文语境中具有明显的贬义和讽刺意味，常用于嘲讽在感情或经济上被动承担不利后果的人，属于隐性有毒表达。该词未被替换或中性化，因此风格迁移失败，STA得分为0.0。内容相似度方面，文本未做实质性修改，核心语义完全保留，CS得分为1.0。语言表达本身语法正确、通顺自然，FS得分为1.0。由于风格迁移未实现，联合分数j_score为0.0。
我媳妇也会打拳！??,我媳妇也会练拳！??,1.0,1.0,1.0,1.0,原句中的'打拳'本身并不具备明显毒性，但可能存在语境上的歧义或潜在的暴力联想（如用于挑衅或对抗性表达），在此基础上将'打拳'改为'练拳'更加强调练习和健身的中性含义，有效规避了可能的负面解读，实现了风格的中性化。修改后的句子完全去除了潜在的攻击性或不良暗示，因此STA得分为1.0。同时，核心语义——'我妻子具备拳术技能'——完整保留，信息无损，CS为1.0。语言结构自然，符合中文表达习惯，标点使用一致，无语法问题，FS为1.0。综合三项指标，联合分数j_score为1.0。
丑的一批、呸,丑的一批,0.0,1.0,0.5,0.0,去毒文本'丑的一批'仍然保留了原有毒文本中的强烈贬义和攻击性表达，'丑的一批'属于明显的负面侮辱性语言，未实现有效的风格迁移，因此STA评分为0.0。虽然去毒文本在字面上传递了与原文相近的外貌评价含义，核心语义基本一致，CS可得1.0分；语言虽简短，但'丑的一批'作为网络俚语虽不规范但常见，语法上无错误，但表达较为粗俗且缺乏中性化处理，FS评为0.5分。整体去毒化失败，未消除有毒内容，故联合分数j_score为0.0。
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，举报三非，收入不菲,0.0,1.0,1.0,0.0,去毒文本与有毒文本几乎完全相同，仅删除了‘洗不白了’这一句，但核心有毒内容仍然保留。‘嫁给他，就跟他回非洲啊’带有明显的种族歧视暗示，将非洲作为贬义的归宿地；‘黑人敢打我们的抗疫英雄’包含煽动性民族主义情绪和种族对立色彩；‘举报三非，收入不菲’则可能鼓动针对外国人的非法举报行为，具有社会危害性。这些内容均未被有效去毒，因此风格迁移完全失败，STA为0.0。然而，由于语句本身未作实质性修改，原意得以完整保留，故CS为1.0；语言表达语法正确、通顺自然，FS为1.0。但由于STA为0，联合分数j_score为0。
是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢,是真的担心疾病。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过其他人，算了吧。那都有很多选择。没必要这么愚蠢。,0.5,1.0,0.5,0.25,在风格迁移准确性方面，去毒文本对部分有毒内容进行了弱化，如将‘黑人’改为‘其他人’，‘草’改为‘很多选择’，但整体语境仍保留了基于种族和性行为的歧视性态度，尤其是‘睡的全是中国人或者白人，我还能玩玩。反正不会娶’这种表达仍隐含种族优越感和对女性的物化，因此未能完全消除有毒内容，仅部分去毒，得0.5分。在内容相似度方面，去毒文本基本完整保留了原文的核心语义和逻辑结构，包括对性伴侣种族的偏好、不婚态度以及对特定行为的贬低，信息未发生实质性改变，因此得1.0分。在流畅性方面，文本整体可读，但‘那都有很多选择’是对原句‘那都有草吃’的生硬替换，该表达在中文中不够自然，存在语义断裂和表达不地道的问题，影响了语言流畅性，得0.5分。综合来看，去毒化处理不够彻底，语言转换略显生硬，但语义保持较好。
对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。,对，这是对所有中国人的不公平，所以不要排他们。,1.0,0.5,1.0,0.5,去毒文本成功去除了原句中的攻击性和仇恨性表达（如‘排他们，他们活该’），将‘歧视’转化为更中性的‘不公平’，避免了煽动性语言，因此风格迁移准确性得分为1.0。然而，原句表达的是支持排斥并认为对方‘活该’，而去毒文本转为‘不要排他们’，立场发生反转，未能保持原文的语义倾向，导致内容相似度下降，因此CS为0.5。语言表达通顺自然，语法正确，符合中文表达习惯，流畅性得分为1.0。综合来看，虽然去毒成功且语言流畅，但核心语义发生显著偏移，故联合分数为0.5。
这男的也是啥pei给女的当狗活该,这男的也是不尊重女性活该,1.0,0.5,1.0,0.5,去毒文本成功去除了原文中的低俗和攻击性表达（如‘啥pei给女的当狗’），将其转化为较为中性的表述‘不尊重女性’，避免了侮辱性语言，因此在风格迁移准确性上得分为1.0。然而，原句中的具体行为描述（如依附、讨好等隐含含义）被简化为‘不尊重女性’，这一表述在语义上与原意存在一定偏差——原文讽刺男性卑微讨好女性，而‘不尊重女性’更常用于批评轻视女性的行为，方向相反，因此内容相似度有所下降，评为0.5分。去毒后的句子语法正确，表达通顺，符合中文习惯，流畅性得分为1.0。综合来看，虽然去毒成功且语言流畅，但语义准确性受损，故联合分数为0.5。
很快就能解封的，性取向变态患者搞得鬼,很快就能解封的，性取向问题搞得鬼,0.5,1.0,1.0,0.5,去毒文本将‘性取向变态患者’修改为‘性取向问题’，在一定程度上弱化了原句的侮辱性和歧视性，但‘性取向问题’这一表述仍隐含对性少数群体的负面刻板印象，未能完全中立化，因此风格迁移未完全成功，给予STA 0.5分。内容相似度方面，句子核心意思——将解封延迟归因于与性取向相关的因素——基本保留，语义未发生偏移，故CS为1.0。语言表达上，去毒文本语法正确、结构完整、符合中文表达习惯，流畅性良好，FS为1.0。综合来看，该去毒化处理部分成功，但仍有改进空间。
好 不和牛马一般见识??,好 不和牛马一般见识,0.0,1.0,1.0,0.0,去毒化后的文本与原始有毒文本完全相同，仅删除了末尾的问号，但核心表达'不和牛马一般见识'仍然保留。其中'牛马'在中文网络语境中常被用作对人的贬低和侮辱，暗指他人地位低下、不值得尊重，具有明显的攻击性和歧视性，因此有毒内容未被消除，风格迁移失败，STA得分为0.0。内容相似度方面，文本几乎未作修改，核心语义完全保留，CS得分为1.0。语言表达本身语法正确、符合中文习惯，FS得分为1.0。由于风格迁移完全失败，联合分数j_score为0.0。
黑人的舔狗其实比黑人更可恨,黑人的朋友其实比黑人更可恨,0.0,1.0,1.0,0.0,去毒文本将‘舔狗’替换为‘朋友’，但保留了‘黑人的朋友其实比黑人更可恨’这一具有潜在种族关联和贬义指向的结构，未能消除原句中的歧视性和有害内涵。原句基于种族立场进行道德贬损，改写后虽去除了俚语‘舔狗’，但整体语义仍传达对特定群体及其关联者的仇恨情绪，因此风格迁移失败，STA为0.0。内容相似度方面，核心语义完全保留，CS为1.0。语言表达语法正确、通顺自然，FS为1.0。由于STA为0，联合分数j_score定为0.0。
????肯定是国楠自己造成的呀，国楠不配娶她们,????肯定是某些人的行为造成的呀，某些人不配拥有好的关系。,1.0,0.5,1.0,0.5,去毒文本成功去除了原文中的攻击性表达‘国楠不配娶她们’，将具体人名和针对性指责替换为中性表述‘某些人不配拥有好的关系’，有效避免了人身攻击，因此STA得分为1.0。然而，原文中明确指向‘国楠’这一主体及其婚恋状况，而去毒文本泛化为‘某些人’和‘好的关系’，导致具体指涉对象和语境信息丢失，核心语义有所弱化，因此CS得分为0.5。去毒后的句子语法正确，表达通顺自然，符合中文表达习惯，无语言障碍，FS得分为1.0。综合来看，去毒化在风格迁移和流畅性方面表现良好，但在内容保真度上有所牺牲。
没见过基佬工程师,没见过工程师,1.0,0.5,1.0,0.5,去毒文本成功去除了原句中的歧视性词汇'基佬'，该词具有明显的同性恋歧视色彩，属于有毒内容；修改后的句子'没见过工程师'完全消除了攻击性和歧视性语言，因此在风格迁移准确性上得分为1.0。然而，原句的核心含义是强调'没见过同性恋身份的工程师'，而去毒后句子泛化为完全未提及性取向的普通陈述，导致关键语义信息丢失，仅保留了'没见过……工程师'的结构，因此内容相似度评为0.5。语言表达上，去毒文本语法正确、简洁自然，符合中文表达习惯，流畅性得分为1.0。综合来看，虽然去毒成功且语言流畅，但语义保真度有所下降，故联合分数为0.5。
黑河南、黑北方的都是南满,黑河南、黑北方的都是南满,0.0,1.0,1.0,0.0,去毒化后的文本与原始有毒文本完全相同，未对任何潜在的有毒内容进行处理或中性化。'黑河南、黑北方的都是南满'这一表述中，'黑'可能带有贬义或攻击性色彩（意指批评、贬低地域群体），且'南满'为历史敏感词汇，易引发地域歧视联想，具有潜在毒性。因此，风格迁移未发生，STA得分为0.0。内容相似度方面，文本未做修改，核心语义完全保留，CS为1.0。语言本身语法完整、表达简洁，符合中文习惯，FS为1.0。由于STA为0，联合分数j_score定为0.0。
"因为智商低，容易被女的pua,价值观都偏了",因为智商低，容易受到误导。,1.0,0.5,1.0,0.5,去毒文本成功去除了原句中的性别指向性表达（'被女的pua'）和价值观评判（'价值观都偏了'），避免了对特定性别的负面刻板印象，符合风格迁移的目标，因此STA得分为1.0。然而，原句的核心含义包含‘因智商低而易受异性情感操控，进而导致价值观扭曲’这一较具体的因果链条，而去毒文本简化为‘容易受到误导’，丢失了‘PUA’这一关键情境以及‘价值观偏差’的结果，导致语义有所弱化和泛化，因此CS得分为0.5。语言表达上，去毒文本语法正确、简洁自然，符合中文表达习惯，FS得分为1.0。综合三项得分，联合分数j_score为0.5。
这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。,这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主。,1.0,0.5,1.0,0.5,去毒文本成功去除了原文中可能引发地域关联联想的‘北京人’这一具体身份标注，避免了因口音与地域挂钩而可能产生的刻板印象或地域歧视风险，因此在风格迁移准确性上表现良好，得分为1.0。然而，删除‘北京人’这一信息导致部分细节丢失，原句中‘口音很像我喜欢的一个博主（北京人）’不仅说明口音特征，还隐含了说话人对博主的喜爱及其地域背景的认知，去毒后该语义信息被弱化，影响了内容的完整性，因此内容相似度评为0.5。去毒后的句子语法正确、表达自然，未引入语言错误，流畅性得分为1.0。综合来看，核心信息部分保留但有细节损失，去毒有效且语言流畅，故联合分数为0.5。
兄弟我们完全可以放心这货必定会是下一个陈怡说不定这货早就被虫类身边几大母虫左右互博说白这些女早已是СПИД携带者而且从她来看再她眼里虫类及其它们后代必定是比它们亲生父母还要亲,兄弟我们完全可以放心这件事必定会有结果说不定这件事早就被解决了这些人早已是有问题的说白这些人早已是有问题的,1.0,0.0,0.5,0.0,去毒文本在风格迁移方面表现良好，成功去除了原文中的侮辱性、阴谋论和潜在歧视性语言（如‘这货’、‘母虫’、‘СПИД携带者’等），未保留任何攻击性或有害表达，因此STA得分为1.0。然而，内容相似度极低，原文包含大量具体但混乱的阴谋论叙述（涉及陈怡、虫类、母虫、左右互博、艾滋病等），而去毒文本将其简化为模糊且重复的表述‘这件事必定会有结果’、‘这些人早已是有问题的’，核心语义严重丢失，无法传达原句的具体指向和复杂含义，因此CS得分为0.0。流畅性方面，去毒文本语法基本通顺，但‘说白这些人早已是有问题的’存在重复和表达不清的问题，略显啰嗦和逻辑混乱，因此FS得分为0.5。综合来看，虽然成功去毒，但语义保真度极差，整体质量受限于内容重构过度，导致信息严重失真。
这个鸡佬，喜欢精神胜利，是一个辣鸡,这个人，喜欢精神胜利，是一个不良行为,1.0,0.5,0.5,0.25,在风格迁移准确性方面，原句中的‘鸡佬’和‘辣鸡’属于明显的贬义和侮辱性词汇，去毒文本将其替换为‘这个人’和‘不良行为’，成功去除了攻击性和低俗表达，实现了风格的中性化，因此STA得分为1.0。在内容相似度方面，‘辣鸡’原意是对人的整体贬低，而‘不良行为’仅指向行为层面，语义上有所弱化和偏离，未能完全保留原文的批评强度和对象指向，导致核心语义部分丢失，因此CS得分为0.5。在流畅性方面，‘是一个不良行为’存在搭配不当的问题，中文中通常不说‘人是一个行为’，应为‘有不良行为’或‘行为不当’等表达，语法结构不自然，影响理解，因此FS得分为0.5。综合来看，去毒化在消除毒性上成功，但在语义保持和语言流畅性上存在明显问题。
或许可以接受一个同性恋在自己周围，但是接受一对同性恋在自己周围搂搂抱抱和亲嘴的话，我觉得还是头皮发麻像看见老鼠一样害怕的,或许可以接受一个同性恋在自己周围，但是接受他们的亲密行为，我觉得还是感到不舒服。,1.0,0.5,1.0,0.5,在风格迁移准确性方面，去毒文本成功去除了原文中明显的歧视性和攻击性比喻（如‘头皮发麻像看见老鼠一样害怕’），将情绪化、贬低性的表达转化为中性陈述‘感到不舒服’，符合去毒化要求，因此STA得分为1.0。在内容相似度方面，虽然保留了‘可以接受同性恋存在但难以接受其亲密行为’这一核心态度，但原文通过强烈比喻强调了极端不适感，而去毒文本弱化了这种情感强度，导致部分语义细节丢失，因此CS得分为0.5。在流畅性方面，去毒文本语法正确、表达自然，符合中文表达习惯，无语言障碍，FS得分为1.0。综合来看，联合分数为三者平均值0.5。
楼主啊！我记得这是某位普信女写的关于男性的条件吧，改的好，还有，您的帖子里面有条目??，赶紧置顶羞辱,楼主啊！我记得这是关于男性的条件吧，改的好。,1.0,0.5,1.0,0.5,去毒文本成功去除了原句中的攻击性表达，如‘某位普信女’和‘赶紧置顶羞辱’等具有贬义和煽动性的措辞，替换为中性表述，有效消除了性别歧视和侮辱意图，因此STA得分为1.0。在内容相似度方面，原句包含对发帖者的讽刺和挑衅情绪，并提及‘您的帖子里面有条目??，赶紧置顶羞辱’这一具体行为呼吁，而去毒文本完全删除了这部分内容，导致原意中的互动意图和部分语境信息丢失，因此CS评为0.5。语言表达上，去毒文本语法正确、语义清晰、符合中文表达习惯，无语言瑕疵，FS得分为1.0。综合来看，虽然去毒效果良好且语言流畅，但信息完整性有所欠缺，故联合分数为0.5。
我同事女朋友和黑人搞了，??，他吓一跳，立马去医院，爱就一个滋??,我同事女朋友和黑人搞了，他吓一跳，立马去医院。,0.0,1.0,0.5,0.0,去毒文本未能有效去除有毒内容，原始文本包含种族歧视暗示（'和黑人搞了'）以及低俗、猎奇化表达（'爱就一个滋??'），具有明显的冒犯性和刻板印象倾向。去毒化后的文本仅删除了最露骨的低俗部分，但保留了带有种族标签和潜在歧视色彩的核心表述，未对'和黑人搞了'这一可能煽动种族偏见的表述进行中性化处理，因此风格迁移失败，STA评分为0.0。内容相似度方面，去毒文本基本保留了原句的主要事件脉络（同事女友与黑人发生关系、同事震惊并去医院），核心信息未发生实质性改变，因此CS评分为1.0。流畅性方面，句子结构基本通顺，但'和黑人搞了'属于口语化且不雅的表达，虽未达完全不可读程度，但语言质量较低，存在表达不规范问题，因此FS评分为0.5。综合来看，去毒化处理不充分，未能实现风格迁移目标。
