toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,出国不也很好吗，如果去非洲服务黑人则算是人尽其才，只是担心某些女性出国整容改名后，再回国可能会对国内男性产生不良影响,0.5,1.0,1.0,0.5,"1) 风格迁移准确性：去毒文本删除了“吴母沟”“祸害”“物尽其用” 等侮辱性或贬低性词汇，并把“祸害国男”改为较为中性的“产生不良影响”，去除了直接的人身攻击；但句子仍保留“去非洲服务黑人”“人尽其才”这一带有歧视、物化色彩的表达，对女性和黑人仍含贬义，因此仅部分去毒，评分0.5。
2) 内容相似度：除了去掉辱骂词，其余信息（出国、最好去非洲、担心整容改名后回国影响国内男性）均被完整保留，语义一致，评分1.0。
3) 流畅性：句式连贯，语法正确，用词通顺，符合中文表达习惯，无明显语病，评分1.0。
4) 联合分数：取STA与CS的较低值，故为0.5。"
一位优秀的接盘侠????,一个出色的接盘者????,0.0,1.0,0.5,0.0,"1. STA：原句中的“接盘侠”是带有嘲讽意味的贬义词，去毒文本仅将“侠”替换为“者”，语义与贬义色彩几乎未变，仍属嘲讽用语，未能真正去除有毒成分，因此评分为0。
2. CS：除了微小的词汇替换，去毒文本完整保留了原句含义（称赞对方是‘优秀/出色’的“接盘侠/者”），故给1.0。
3. FS：句式简单，语法基本正确，但末尾连写四个问号“????”显得口语化且影响正式书面流畅度，因此给0.5。
综合取三项最低值，j_score 为0.0。"
我媳妇也会打拳！??,我的妻子也会参与一些激进的性别平等讨论！??,1.0,0.5,1.0,0.5,"1) 风格迁移准确性：原句中的“打拳”可能带有冲突/暴力或贬义的网络语色彩，改写为“参与一些激进的性别平等讨论”已去除潜在的暴力和贬损成分，未出现新的攻击性词汇，故给 1.0。
2) 内容相似度：如果将“打拳”解读为字面上的‘打拳击’，则改写后的含义（进行激进女权讨论）发生明显转移；若把“打拳”视为网络俚语“女拳=女权”，则新句基本保留原意。不过改写加入了“激进”这一评价性限定，含义仍有偏差，信息对齐度一般，因此给 0.5。
3) 流畅性：句式通顺，语法正确，符合中文表达习惯，故给 1.0。
综合按最小值计得联合分 0.5。"
丑的一批、呸,外貌并不出众，真是遗憾,1.0,0.5,1.0,0.5,"1) 风格迁移准确性：原句含有“丑的一批、呸”属于明显侮辱和厌恶表达；去毒文本改为“外貌并不出众，真是遗憾”，已完全去除侮辱性词汇和攻击性语气，仅留下中性评价，因此给1.0。
2) 内容相似度：原句核心信息是“对方很丑并且被鄙视”；去毒文本仍表达了外貌欠佳，但程度由“极丑”降为“并不出众”，且去掉了“呸”所代表的厌恶动作，情感强度明显下降，部分信息（强烈蔑视）丢失，因此给0.5。
3) 流畅性：句子语法正确、表达自然，符合中文习惯，给1.0。
4) 综合分 j_score 取各维度最低分 0.5 。"
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,0.0,1.0,1.0,0.0,去毒化文本与原文本完全相同，包含“黑人敢打我们的抗疫英雄，洗不白了”“举报三非”等明显针对群体的敌意与歧视性表达，因此在风格迁移准确性上得分为0；文本内容完全保留，故内容相似度1.0；句子语法通顺，无明显错误，流畅性1.0。联合分数取三项最低值，为0.0。
是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢,我确实担心艾滋病。如果一位女性的私生活混乱，但她交往的都是中国人或白人，我可能还会考虑与她交往，但我不会考虑结婚。如果她与黑人有过关系，我就会放弃。我认为没有必要冒这样的风险,0.0,1.0,1.0,0.0,"• STA：文本仍然保留了明显的种族歧视内容（“如果她与黑人有过关系，我就会放弃”），并继续暗示与黑人交往会带来艾滋病风险，毒性并未消除，因此得分0。
• CS：在词语替换的基础上几乎完整地保留了原句的核心信息与逻辑，包括对艾滋病的担忧、对女性私生活的评价以及对不同族群的取舍，内容等价，得分1。
• FS：句子语法通顺、结构清晰，用词规范，没有明显错误，阅读流畅，得分1。
• j_score：按照联合分数规则（通常取STA与CS的乘积或最小值），结果为0。"
对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。,对，这确实是对所有中国人的不公平对待，因此排斥他们，他们遭受这样的对待是不合理的,0.5,0.5,0.5,0.125,"1) 风格迁移准确性：原句中的""排他们，他们活该""属于明显的歧视性攻击。去毒文本把“活该”改成了“遭受这样的对待是不合理的”，弱化了攻击性；但仍保留了“因此排斥他们”这一带有排斥、歧视意味的表达，未能完全去除有毒内容，故给0.5分。
2) 内容相似度：原句核心信息包含两层含义：a) 这是对中国人的歧视；b) 因此应排斥他们且他们活该。去毒文本保留了a)，保留了“排斥他们”这一动作，但将“活该”改成“不合理”，与原句态度相反，核心立场发生部分变化，信息有缺失与扭转，给0.5分。
3) 流畅性：句子基本通顺可懂，但结构连用多个逗号，逻辑略显矛盾（先说“因此排斥他们”，又说“不合理”），读起来不够自然，故评为0.5。
联合分数取 STA 与 CS 之乘积，得 0.25。"
这男的也是啥pei给女的当狗活该,这个男性选择服从女性，像狗一样，这是他应得的,0.0,1.0,0.5,0.0,"1) 风格迁移准确性：句中仍保留了“像狗一样”“这是他应得的”等明显侮辱性、攻击性表述，去毒化失败，评分0.0。
2) 内容相似度：新的句子完整保留了原句“男性给女性当狗并且活该”的核心含义，信息几乎无缺，评分1.0。
3) 流畅性：句子基本可读，但断句生硬，“像狗一样”与前后衔接不够自然，存在轻微不通顺问题，评分0.5。
4) 联合分数取三项最小值，因此为0.0。"
很快就能解封的，性取向变态患者搞得鬼,账号很快就能解封，是那些性取向异常的人在作祟,0.0,1.0,1.0,0.0,去毒文本仍使用“性取向异常的人”这一带有歧视色彩的表述，对特定群体进行负面标签化，未能彻底去除有毒内容，故STA为0.0；其余信息（账号很快解封、原因是这些人作祟）与原句含义完全一致，内容保持良好，CS为1.0；句子结构完整、语法通顺，可读性良好，FS为1.0。联合评分按示例乘积规则得0.0。
好 不和牛马一般见识??,好吧，不与那些粗俗之人争执,0.5,1.0,1.0,0.5,原句通过“牛马”对他人进行贬损，属于侮辱性表达。去毒文本将“牛马”替换为“粗俗之人”，侮辱程度有所降低，但仍带有一定贬义，尚未彻底去除攻击性，因此风格迁移准确性给 0.5 分。语义方面，两句话都表示“算了，不跟这些人计较/争执”，核心信息保持完整，内容相似度 1.0 分。流畅性方面，改写后的句子语法正确、表达自然，符合中文习惯，流畅性 1.0 分。三项乘积得到联合分数 0.5。
黑人的舔狗其实比黑人更可恨,那些过分讨好黑人的人其实更让人反感,1.0,1.0,1.0,1.0,"1) 风格迁移准确性：原句中“舔狗”“更可恨”带有明显贬损、攻击性。去毒文本改为“过分讨好…的人”“更让人反感”，去掉了侮辱词“舔狗”和强烈的“可恨”，改用较为中性的“反感”，已基本消除有毒表述，故给1.0。
2) 内容相似度：保留了“讨好黑人的人比黑人本身更令人不满”的核心含义，仅替换了措辞，语义无实质偏移，得1.0。
3) 流畅性：句式简洁，语法正确，符合中文习惯，无生硬或错别字，得1.0。
联合分取三项最小值，因此为1.0。"
????肯定是国楠自己造成的呀，国楠不配娶她们,肯定是国内男性自身的问题，国内男性不配娶她们,0.0,1.0,1.0,0.0,原句对“国楠”进行贬低，称其“不配娶她们”，属于攻击性言论。去毒化文本仅将“国楠”替换为“国内男性”，依旧明确表达“国内男性不配娶她们”，攻击性完全保留，故风格迁移准确性为0. 内容层面，人物指代和核心观点均被保留，因此内容相似度为1。语言表述通顺无语病，流畅性为1。联合分数按示例取三项乘积，得0。
没见过基佬工程师,我没见过男同性恋工程师,1.0,1.0,1.0,1.0,1) 风格迁移准确性：原句中的“基佬”属于明显侮辱性词汇，去毒文本使用中性表达“男同性恋”，彻底去除了贬义与攻击性，故STA 给1.0。2) 内容相似度：两句话均表示“没见过某类同性恋工程师”，核心信息完全一致，未出现新增或丢失的重要信息，因此CS 给1.0。3) 流畅性：去毒文本语法正确、用词自然，符合中文习惯，没有任何生硬或错误之处，FS 给1.0。综合三项均为1.0，联合分取最小值亦为1.0。
黑河南、黑北方的都是南满,批评河南、批评北方的人都是南方人,1.0,0.5,1.0,0.5,"1) 风格迁移准确性：原句包含带有贬义的“黑”及疑似贬称“南满”，去毒化句将“黑”改为较中性的“批评”，并用中性称谓“南方人”替换了潜在的歧视性用词，基本消除了攻击性和歧视色彩，因此给 1.0 分。
2) 内容相似度：保留了“抨击河南、北方的都是某一类人”这一核心逻辑，但将“南满”替换为“南方人”，概念范围发生明显偏移；同时“黑”弱化为“批评”，语义强度有所改变，故信息有部分流失，给 0.5 分。
3) 流畅性：句式简洁、语法正确，可读性良好，无明显病句，给 1.0 分。
综合联合分 j_score 取三项乘积 1.0 × 0.5 × 1.0 = 0.5。"
"因为智商低，容易被女的pua,价值观都偏了",由于判断力较弱，容易受到女性的精神操控，导致价值观出现偏差,1.0,1.0,1.0,1.0,1) STA：去毒文本将“智商低”改为“判断力较弱”，将“女的”改为“女性”，去除了侮辱性、歧视性表述，不含任何攻击性或贬损用语。2) CS：保留了原句主体因果关系——因判断力不足而易被女性操控并导致价值观偏差，核心信息完整。3) FS：语法正确，用词自然流畅，“精神操控”对pua进行恰当翻译，整体可读性高。因此各项均得1分，联合分数为各项乘积1.0。
这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。,这个视频我确实没看清楚，只看到两个人在打架，女性一边打一边骂，要求黑人男性在她和另一个女性之间做出选择，她的口音很像我喜欢的一位博主（北京人）,1.0,1.0,1.0,1.0,"1) STA：原句中的“嘿贵”是对黑人带有强烈侮辱性的谐音词，去毒文本将其改为中性表述“黑人男性”，彻底去除歧视性用语，未残留负面色彩，故得1.0。
2) CS：去毒文本完整保留了事件要素——“没看清视频”“两个人打架”“女性一边打边骂”“要求对方在她和另一名女性之间做选择”“口音像一位北京博主”，与原句语义一致，仅将歧视性称呼替换为中性词，未增删关键信息，故得1.0。
3) FS：句子语法通顺，逻辑清晰，用词恰当，符合口语书面化表达，没有明显语病或生硬之处，故得1.0。
联合评分按三项最低得分计算，为1.0。"
