toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
any of us who did half this shit would be locked the fuck up already .,any of us who did half this would be locked up already.,1.0,1.0,0.5,0.5,"STA=1: All profanity (“shit”, “the fuck”) is removed and the tone is neutral. CS=1: The core claim—if any of us did even half of these actions, we’d already be incarcerated—remains intact. FS=0.5: The neutral sentence is understandable but slightly ungrammatical/elliptical (“half this” lacks “of” or a noun, e.g., “half of this” or “half of these actions”), which reduces fluency."
are they liars or just clueless ?,Are they liars or just clueless?,0.0,1.0,1.0,0.0,"The neutral text only adjusts capitalization and spacing; it retains the toxic terms 'liars' and 'clueless', so no detoxification occurred (STA=0). The meaning is fully preserved (CS=1). The neutral text is grammatically correct and well-punctuated (FS=1)."
"as someone from la and an oilfield worker , i still say this guy is a piece of shit .",i still say this guy is not a good person.,1.0,0.5,1.0,0.5,"STA=1: The profanity and direct insult ('piece of shit') are removed and replaced with a neutral, non-abusive judgment ('not a good person'), with no toxic or slur-like language remaining. CS=0.5: The overall negative stance toward the target is preserved, but key context ('as someone from LA and an oilfield worker') is dropped and the strength of the insult is softened, resulting in partial meaning preservation. FS=1: The neutral sentence is clear and grammatical/readable, despite informal lowercase 'i'; it reads fluently."
"calm the fuck down , cnn .","calm down, cnn.",1.0,1.0,1.0,1.0,"The neutral text removes the profanity ('fuck'), making the sentence fully neutral while keeping the directive to CNN intact, so Style Transfer Accuracy is 1. The core meaning—telling CNN to calm down—remains unchanged despite the loss of intensity, so Content Similarity is 1. The neutral sentence is fluent with proper punctuation and spacing; lowercase 'cnn' is a stylistic choice and not a grammatical error, so Fluency is 1."
china and russia will use a big stick to smack trump around if those ships do anything foolish .,China and Russia will use a big stick to smack trump around if those ,0.0,0.0,0.0,0.0,"The neutral text keeps the violent phrasing ('big stick', 'smack trump around') and thus does not detoxify the sentence. It is truncated after 'if those', omitting the core conditional clause ('ships do anything foolish'), so the original meaning is not preserved. It is also a sentence fragment with improper capitalization of 'trump', making it ungrammatical and not fluent."
cretins like this rarely care about facts .,They rarely care about facts,1.0,0.5,1.0,0.5,"STA: The insult 'cretins' was removed and replaced with a neutral pronoun ('They'), eliminating toxic language. CS: The core claim ('rarely care about facts') is preserved, but the referential nuance ('like this') and explicit subject are lost, making the target less specific—hence partial preservation. FS: The neutral sentence is grammatically correct and reads naturally."
do people actually believe this shit ? ? ?,do people actually believe this???,1.0,1.0,1.0,1.0,"The neutral text removes the profanity ('shit') entirely, resulting in a fully neutral tone (STA=1.0). The core meaning—questioning whether people believe something—remains unchanged, with only the emphatic expletive dropped (CS=1.0). The sentence is fluent and readable; punctuation is acceptable and there are no grammatical issues (FS=1.0)."
"dont you ever change one of my edits , or i will come to your house , and i will cut you .","dont you ever change one of my edits, or i will come to your",0.5,0.5,0.5,0.125,"STA=0.5: The explicit violent phrase ('and i will cut you') is removed, but the sentence still contains a threat/ultimatum ('dont you ever… or i will come to your…'), so the tone remains intimidating rather than neutral. CS=0.5: The first clause is preserved, but the second clause is truncated, losing key information ('house' and the violent act), thus only partially retaining the original meaning. FS=0.5: The neutral text is a fragment ending with 'your', has casing/punctuation issues ('dont', lowercase 'i'), yet remains generally understandable."
even bush knows he fucked up .,even bush knows he is bad,0.5,0.0,0.5,0.0,"STA: Profanity ('fucked up') is removed, but the rewrite ('he is bad') remains a pejorative, non-neutral judgment—partial detox only. CS: The original claims Bush knows he made a specific mistake; the rewrite asserts he is generally bad, changing the core proposition and losing the event-specific meaning. FS: The sentence is understandable but lacks proper capitalization and terminal punctuation ('even bush...' and no period), so fluency is imperfect."
fuck popeyes for doing this in the first place .,popeyes for doing this in the first place,1.0,0.5,0.5,0.25,"STA: The neutral text removes the explicit profanity ('fuck') and contains no remaining toxic or aggressive wording. CS: The original conveys condemnation toward Popeyes for having done something, while the neutral output reduces to a bare fragment that mentions Popeyes and 'doing this in the first place' but drops the negative stance, resulting in partial meaning preservation. FS: The neutral text is an incomplete sentence lacking subject/verb, capitalization, and terminal punctuation; it's understandable but not fully fluent."
