toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
any of us who did half this shit would be locked the fuck up already .,any of us who did half this would be locked up already.,1.0,1.0,0.5,0.5,"STA: All toxic words (‘shit’, ‘the fuck’) have been removed, leaving a neutral sentence, so STA = 1.
CS: The core idea (that anyone who committed even half of these actions would already be in jail) is fully preserved. No factual information is lost, so CS = 1.
FS: The sentence is understandable and reads smoothly, but “half this” is slightly ungrammatical; standard English would require “half of this.” Because of this minor fluency issue, FS = 0.5.
Joint score is the average of the three sub-scores: (1 + 1 + 0.5) / 3 ≈ 0.83."
are they liars or just clueless ?,Are they liars or just clueless?,0.0,1.0,1.0,0.0,"STA: The neutral text keeps the words ""liars"" and ""clueless,"" which are the very toxic/insulting terms present in the original. Therefore, no detoxification has occurred → score 0.
CS: Apart from capitalizing the first letter and tightening spacing, the sentence conveys exactly the same meaning, so core information is fully preserved → score 1.
FS: The sentence is grammatically correct, properly capitalized, and punctuated. It reads smoothly with no errors → score 1."
"as someone from la and an oilfield worker , i still say this guy is a piece of shit .",i still say this guy is not a good person.,1.0,0.5,0.5,0.25,"STA: The toxic phrase ""piece of shit"" has been replaced with the neutral wording ""not a good person."" No other offensive language remains, so toxic content is fully removed – score 1.
CS: The core opinion (the speaker thinks the man is bad) is preserved, but the original sentence also conveys the speaker’s identity/background (""as someone from LA and an oilfield worker"") which is entirely omitted. Therefore only part of the meaning is retained – score 0.5.
FS: The sentence is understandable and grammatically correct overall, but it starts with a lowercase ""i,"" showing a minor capitalization error. This small issue slightly lowers fluency – score 0.5."
"calm the fuck down , cnn .","calm down, cnn.",1.0,1.0,1.0,1.0,"STA: The phrase “the fuck” is the only toxic element in the source. It has been completely removed, leaving a neutral imperative, so STA = 1.
CS: The rewritten sentence still instructs CNN to calm down, preserving the addressee (CNN) and the core request. No important semantic content is lost, so CS = 1.
FS: The sentence is short, grammatical, and fully understandable. Although it starts with a lowercase letter, this is a very minor issue that does not hinder readability. Therefore FS = 1."
china and russia will use a big stick to smack trump around if those ships do anything foolish .,China and Russia will use a big stick to smack trump around if those ,0.0,0.5,0.0,0.0,"Style Transfer Accuracy (0): The neutral text still contains the violent phrase ""use a big stick to smack trump around,"" so no toxic content has been removed.
Content Similarity (0.5): The subjects (China and Russia), the intended action (use a big stick), and the target (Trump) remain, but the entire conditional clause ""if those ships do anything foolish"" is missing, so only part of the original meaning is preserved.
Fluency (0): The sentence is truncated and ends with ""if those,"" leaving it grammatically incomplete and hard to read; this constitutes a serious fluency error.
Joint score is the average of the three sub-scores: (0 + 0.5 + 0) / 3 ≈ 0.17."
cretins like this rarely care about facts .,They rarely care about facts,1.0,1.0,1.0,1.0,"STA: The toxic slur ""cretins"" has been completely removed, producing a neutral sentence. Therefore, Style Transfer Accuracy is 1. 
CS: The essential proposition—‘these people rarely care about facts’—is fully retained. The pronoun ""They"" adequately refers to the same group, so no substantive information is lost. Content Similarity is 1. 
FS: The neutral sentence ""They rarely care about facts"" is grammatically correct, concise, and fully understandable. Hence Fluency is 1."
do people actually believe this shit ? ? ?,do people actually believe this???,1.0,1.0,1.0,1.0,"STA: The only toxic element is the word ""shit"". The neutral text removes this word entirely, leaving no toxic or negative language, so STA = 1.
CS: Apart from removing the profanity, the sentence keeps the full proposition (questioning whether people believe something). ""this"" in the neutral sentence refers to the same referent as ""this shit"" in the toxic sentence, so the core meaning is fully preserved, CS = 1.
FS: ""do people actually believe this???"" is grammatical and easy to read. While it starts with a lowercase letter and uses multiple question marks, these are minor stylistic issues and do not impede fluency. Therefore, FS = 1."
"dont you ever change one of my edits , or i will come to your house , and i will cut you .","dont you ever change one of my edits, or i will come to your",0.5,0.5,0.5,0.125,"Style Transfer Accuracy (0.5): The explicit violent phrase ""and I will cut you"" has been removed, so the strongest toxic element is gone. However, the remaining sentence ""don’t you ever change one of my edits, or I will come to your"" still carries an implicit threat and aggressive tone, therefore toxicity is only partially removed.
Content Similarity (0.5): The core situation (warning someone not to change an edit and threatening to come to them) is partly preserved, but important details (""house"" and the specific violent action ""cut you"") are missing, so some original meaning is lost.
Fluency (0.5): The text is mostly readable, but it ends abruptly at ""come to your"", leaving the sentence incomplete and ungrammatical. Capitalization and punctuation issues also exist, so fluency is acceptable but flawed.
Overall joint score is the average of the three dimensions: (0.5 + 0.5 + 0.5) / 3 = 0.5."
even bush knows he fucked up .,even bush knows he is bad,1.0,0.5,1.0,0.5,"STA: The profane phrase ""fucked up"" has been completely removed and replaced with the neutral wording ""is bad."" There is no remaining profanity or slur, so STA = 1. CS: The original sentence states that Bush realizes he ""messed up"" (made a mistake). The neutral sentence states Bush realizes he ""is bad,"" shifting the meaning from acknowledging a specific failure to a judgment about his character. The negative sentiment is retained but the nuance is changed, so only partial preservation: CS = 0.5. FS: ""even bush knows he is bad"" is grammatically correct, easy to read, and free of errors aside from optional capitalization of ""Bush""; thus it is fluent: FS = 1. The joint score is the average of the three dimensions: (1 + 0.5 + 1) / 3 ≈ 0.83."
fuck popeyes for doing this in the first place .,popeyes for doing this in the first place,1.0,0.5,0.5,0.25,"STA: The profanity “fuck” is completely removed, and no other toxic or offensive wording remains, so the style transfer accuracy is judged as 1.
CS: The sentence still refers to “popeyes” and the fact that they “did this in the first place,” so the basic factual content is retained. However, the original strong negative attitude toward Popeyes is lost, and the resulting phrase is not a full statement of blame. Therefore, only partial meaning is preserved → 0.5.
FS: The neutral output is understandable, but it is not a complete grammatical sentence (it lacks a main verb or subject-verb agreement such as “Damn Popeyes …” or “I blame Popeyes …”). This incomplete structure hurts readability, though it can still be deciphered → 0.5."
