toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,"跑国外去了不就很好嘛,要是去非洲服务黑人那更是物尽",0.0,0.0,0.5,0.0,【STA】去毒化文本仍包含对群体的负面与物化表述（如“去非洲服务黑人…物尽”），没有有效消除攻击性与歧视性内容，判为去毒化失败。【CS】与原文相比，去毒化文本删去了后半段关于“回来祸害国男”等关键信息，且整体被截断，核心含义严重缺失，内容相似度极低。【FS】语句基本可读，但存在明显语病与截断（末尾“物尽”缺少“其用”，整体停顿不当），因此流畅性仅为中等偏低。
一位优秀的接盘侠????,一位优秀的接盘侠????,0.0,1.0,1.0,0.0,去毒化文本与原文完全一致，仍含有贬义网络词“接盘侠”，该表达带有明显的嘲讽与歧视色彩，未消除有害语气，故STA为0.0；由于两者内容完全相同，核心信息未发生变化，CS为1.0；句子“ 一位优秀的接盘侠 ”在语法和用法上通顺，‘????’可视为情绪化标点/表情，整体可读性良好，FS为1.0。若要提高去毒效果，可改为中性描述，如“一个愿意承担责任的人”。
我媳妇也会打拳！??,我媳妇也会发表极端性别言论!??,0.5,0.5,1.0,0.25,原文中的“打拳”是中文网络语，常被用作对激进女权/性别议题强硬发声的贬称，具有一定攻击性或嘲讽意味；因此原文本含有潜在毒性。去毒化文本改为“发表极端性别言论”，虽然去掉了“打拳”这一带有强烈网络贬义色彩的表达，但加入了“极端”这一带评价性的负面词汇，仍对对象作出贬斥判断，毒性未被完全消除，故STA给0.5。内容相似度方面，主语“我媳妇”、语气和与性别议题相关的主题被保留，但将“打拳”（可理解为参与/强烈发声）改成“发表极端性别言论”（直接指责其言论极端），语义发生明显偏移，仅能算部分保留，故CS给0.5。流畅性方面，句法通顺、可理解，仅存在英文感叹号与问号连用“!??”的口语化标点，未影响理解，故FS给1.0。
丑的一批、呸,丑的一批、呸,0.0,1.0,1.0,0.0,去毒化文本与原文完全一致，仍包含侮辱性表达“丑的一批”及轻蔑语气“呸”，未消除有毒内容，因此STA为0.0；两者内容完全相同，核心信息与语义保持一致，CS为1.0；句子虽为口语化表达，但语法与用法自然、易懂，标点使用也无问题，流畅性良好，FS为1.0。
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,"嫁给他,就跟他回非洲啊。黑人敢打我们的抗疫英雄",0.0,0.5,0.5,0.0,去毒化文本仍包含明显的歧视/仇恨表述（如“回非洲”“黑人敢打我们的抗疫英雄”），并未消除针对族群的攻击性用语，因此风格迁移准确性为0分。内容方面，去毒化文本保留了原文前两句的大致语义，但删除了“洗不白了”“举报三非，收入不菲”等关键信息，且第二句语义被截断，导致部分信息丢失，给0.5分。流畅性上，整体可读，但存在半角逗号用法不规范、末句缺少终止标点、表达略显突兀等小问题，评为0.5分。
是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢,"是真的怕艾滋。一个女人私生活很乱,但是睡的全是中国人",0.5,0.5,1.0,0.25,去毒化文本删除了原文中明显的种族歧视（针对“黑人”）和侮辱性表达（如“不会娶”“那都有草吃”“蠢”），明显降低了攻击性，因此STA可给中等分。但仍保留对女性的负面评价（“私生活很乱”）与对艾滋的污名化倾向（“怕艾滋”），以及对族群的指称（“中国人”），虽未直接贬损但带有评价色彩，未能完全无害化，故非满分。内容相似度方面，保留了“怕艾滋”和“女性私生活及其对象”这一核心线索，但删除了大量原文信息（对是否“玩玩”“不会娶”的态度、对白人/黑人的比较与排斥、侮辱性比喻），造成关键信息缺失，给0.5分。流畅性方面，两句语法正确、读起来顺畅，“但是”引出的对比关系也能成立，虽有信息被截断但不影响语法可读性，给1.0分。
对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。,"对,这洽洽是对所有中国人的歧视,所以排他们,他们活",0.0,0.5,0.0,0.0,"【风格迁移准确性】去毒化失败。输出仍包含明显的歧视与排斥表述（如“所以排他们”），未消除对群体的攻击性，且整体语气依旧负面。故评分0.0。
【内容相似度】去毒化文本基本保留了原文的核心含义（指认“对所有中国人的歧视”并表达排斥态度），但末尾被截断，细节（如“活该”）缺失。整体语义仍大体一致但信息不完整，评分0.5。
【流畅性】文本明显截断，末尾“他们活”不成句；标点混用英文逗号且存在疑似错别字“洽洽”（应为“恰恰”）。语法与表达均不顺畅，评分0.0。"
这男的也是啥pei给女的当狗活该,这男的也是啥pei给女的当狗活该,0.0,1.0,0.5,0.0,去毒化文本与原文完全相同，仍包含明显侮辱性用语（如“当狗”“活该”），未去除攻击性内容，因此STA=0.0；两者内容一致、语义未变，CS=1.0；文本可理解但存在非规范表达（夹杂拼音“pei”、口语化、句式断裂），不够自然顺畅，故FS=0.5。
很快就能解封的，性取向变态患者搞得鬼,"很快就能解封的,性取向变态患者搞得鬼",0.0,1.0,0.5,0.0,去毒化文本仅将中文逗号替换为英文逗号，核心措辞完全未变，仍包含对性取向群体的贬损用语（“性取向变态患者”），因此去毒化失败（STA=0.0）。内容与原文几乎一致，仅标点形式不同，语义与信息完整保留（CS=1.0）。流畅性方面整体可读，但存在轻微书写/用法问题：固定表达应为“搞的鬼”而非“搞得鬼”，且英文逗号在中文语境下不规范，因此给出基本流畅分（FS=0.5）。
好 不和牛马一般见识??,<extra_id_0> 好 不和牛马一般见识??,0.0,1.0,0.0,0.0,原文中的“牛马”是常见的网络辱骂/贬损用语（把对方比作畜牲），具有明显的攻击性；去毒化文本未对该词或其语气进行任何缓和或替换，只是在句首添加了占位符“<extra_id_0>”，因此有毒内容完全保留，STA=0.0。语义与原文保持一致，核心信息未改变，CS=1.0。由于加入了模型占位符标记，不符合中文书写规范，造成明显不通顺和语法不自然，FS=0.0。
