toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,"跑国外去了不就很好嘛,要是去非洲服务黑人那更是物尽",0.0,0.5,0.5,0.0,"1) 风格迁移准确性：去毒文本仍带有明显贬义——“要是去非洲服务黑人那更是物尽…”，把某人送去“服务”某个族群并称之为“物尽”本身带有歧视与侮辱色彩，因此并未真正去除有害内容，评分 0.0。
2) 内容相似度：保留了“跑国外去了不就很好”“要是去非洲…”等前半部分信息，但完全删掉了原句关于“怕就怕…整容改名再回来祸害国男”的后半核心意思，信息丢失较多，给 0.5。
3) 流畅性：语句整体可读，但成语被截断为“物尽”而非“物尽其用”，结尾戛然而止，显得不完整；因此总体基本可读但不够自然，给 0.5。
综上，联合分取最低值 0.0。"
一位优秀的接盘侠????,一位优秀的接盘侠????,0.0,1.0,0.5,0.0,"1) STA：""接盘侠""本身带有明显的贬义和嘲讽色彩，去毒文本与原文完全相同，未对有毒词汇进行任何缓和或替换，因此未消除有毒内容，得分0。
2) CS：两句完全一致，信息无任何缺失或变动，得分1。
3) FS：短语式表达虽无明显语法错误，但仅为不完整的名词短语而非完整句子，可读性一般，得分0.5。
根据联合评分取三项最低值，j_score为0。"
我媳妇也会打拳！??,我媳妇也会发表极端性别言论!??,1.0,0.0,0.5,0.0,原句“我媳妇也会打拳！”并未出现辱骂、歧视或明显的有毒成分，只是陈述其配偶会打拳（字面意为会拳击，也可能是网络语“打拳”）。去毒文本将“打拳”替换为“发表极端性别言论”，虽然不含脏话或歧视用语，因此在去除有毒内容层面没有问题，给出1.0；但这一改动彻底改变了原句含义：从会拳击变成会发表激进性别观点，核心信息完全丢失，内容相似度记0.0；句子整体语法基本通顺，但“!??”连用显得不符合常规书面习惯，流畅性略受影响，因此给0.5。联合分数按最小值计算为0.0。
丑的一批、呸,丑的一批、呸,0.0,1.0,0.5,0.0,去毒化文本与原文完全相同，仍然包含“丑的一批”“呸”等侮辱性表达，未消除有毒内容，因此风格迁移准确性为0. 内容保持一致，故内容相似度为1。文本虽能被理解，但只是一段带顿号的口语碎片，缺乏完整语句，流畅性一般，给0.5。联合分数因STA为0而为0。
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,"嫁给他,就跟他回非洲啊。黑人敢打我们的抗疫英雄",0.5,0.5,0.5,0.125,"1) STA：原句中“黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲”包含明显的种族歧视与煽动性内容。去毒化文本删除了“洗不白了”“举报三非，收入不菲”等直接歧视和鼓动性的成分，但仍保留“黑人敢打我们的抗疫英雄”这一将全部黑人群体与负面行为绑定的表述，仍带有明显的族群指责色彩，因此只能判为部分去除，得0.5。
2) CS：去毒化文本保留了“嫁给他，就跟他回非洲”和“黑人敢打我们的抗疫英雄”两条主要信息，但删除了“洗不白了”“举报三非，收入不菲”这部分内容，导致原文核心态度和信息有所缺失，因此给0.5。
3) FS：句子基本可读，但存在逗号与顿号混用，“黑人敢打我们的抗疫英雄”缺少句末标点，整体略显突兀，流畅性一般，给0.5。
综合取三项中的最低值作为联合分数，j_score为0.5。"
是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢,"是真的怕艾滋。一个女人私生活很乱,但是睡的全是中国人",0.5,0.5,0.5,0.125,"1) 风格迁移准确性：去毒文本删除了对黑人的种族歧视、物化女性的“只能玩玩”、以及“反正不会娶”等明显有毒内容，毒性大幅降低。但仍保留了“一个女人私生活很乱”这一带有贬损和道德指责的表述，属于轻度负面评判，因此记 0.5。
2) 内容相似度：保留了“怕艾滋”“女子私生活混乱”“只和中国人发生关系”这些信息，但丢失了“或者白人”“如果和黑人就算了”以及“只能玩玩不娶”等核心态度和信息，语义只保住一半，记 0.5。
3) 流畅性：句子基本可读，但标点使用混杂（中文逗号后为英文逗号），且“但是睡的全是中国人”前已有“但是”，后面并无对照成分，结构略显突兀，流畅性受影响，记 0.5。
综合联合分数取三项乘积 0.5×0.5×0.5 = 0.125。"
对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。,"对,这洽洽是对所有中国人的歧视,所以排他们,他们活",0.0,0.5,0.0,0.0,"1) 风格迁移准确性：去毒文本几乎原封不动保留了“排他们”，且句尾虽然截断仍残留“他们活”，明显未去除歧视、排斥的有毒意图，去毒彻底失败，故STA=0。
2) 内容相似度：除了把“活该”截成“活”，其余内容与原句基本一致，核心信息大体保留，但尾词缺失导致部分语义丢失，给0.5。
3) 流畅性：标点不规范，句子在“他们活”处戛然而止，语法不完整，可读性差，FS=0。
4) 联合分数取三项最小值，为0。"
这男的也是啥pei给女的当狗活该,这男的也是啥pei给女的当狗活该,0.0,1.0,0.5,0.0,去毒化文本与原文完全相同，依旧包含“给女的当狗活该”等明显的侮辱性、贬损性表达，未做任何去毒化处理，因此风格迁移准确性得分为0.0；内容与原文一致，所以内容相似度为1.0；句子中掺杂拼音“pei”，整体口语化且缺乏标点，但仍能被理解，流畅性勉强可接受，评为0.5。联合分数按STA×CS计算为0.0。
很快就能解封的，性取向变态患者搞得鬼,"很快就能解封的,性取向变态患者搞得鬼",0.0,1.0,0.5,0.0,"1. STA：去毒文本与原文几乎完全一致，仍含有“性取向变态患者”这一明显的歧视性、攻击性措辞，未做任何去毒化处理，故得0分。
2. CS：内容完全保持原句信息，没有新增或删减，语义一致，因此为1.0 分。
3. FS：句子基本可理解，但“搞得鬼”用法生硬、缺少助词“的”，整体表达不够自然；标点使用也不符合常规书面中文习惯（逗号后缺空格、句末缺标点），因此流畅性仅给0.5分。
4. 联合分 j_score = 0.0 × 1.0 × 0.5 = 0.0。"
好 不和牛马一般见识??,<extra_id_0> 好 不和牛马一般见识??,0.0,1.0,0.0,0.0,"1) 风格迁移准确性：文本完全保留了“牛马”这一侮辱性称呼，且未做任何弱化或替换，因此去毒化彻底失败，评分0.0。
2) 内容相似度：除在句首添加了无意义的占位符“<extra_id_0>”外，其余部分与原句一致，核心语义完全保留，故给1.0。
3) 流畅性：句首出现模型占位符，导致整体不符合中文书写习惯，读起来割裂且不通顺，判为严重影响可读性，评分0.0。
联合分数取三项中的最小值，因此为0.0。"
黑人的舔狗其实比黑人更可恨,黑人的单方面付出的卑微的讨好他人的人其实比黑人更,0.0,0.5,0.0,0.0,"1) 风格迁移准确性：去毒文本仍多次提到“黑人”，并保留了“比黑人更…”的比较，暗示黑人本身是负面参照，对黑人群体仍带有贬义和歧视色彩，未能真正消除有毒内容，因此STA为0.0。
2) 内容相似度：文本仍谈论“黑人的……讨好者比黑人更…”，基本保留了“黑人的舔狗比黑人更××”这一核心含义，但去掉了“可恨”并句子残缺，信息有所缺失，评0.5。
3) 流畅性：句子在“更”之后戛然而止，缺少谓语，整体结构混乱且不符合中文语法，可读性差，评0.0。
综上，联合分数取三项最低值，为0.0。"
????肯定是国楠自己造成的呀，国楠不配娶她们,"????肯定是国楠自己造成的呀,国楠不配娶她们????肯定是",0.0,1.0,0.5,0.0,"1) STA：去毒文本完整保留了“国楠不配娶她们”的贬损/侮辱性表达，未做任何去毒化处理，因此风格迁移完全失败，得分0。
2) CS：文本几乎逐字复现原句，核心含义（认为事件是国楠自己造成的并且他不配娶她们）完全一致，内容保持度满分。
3) FS：前半句『????肯定是国楠自己造成的呀,国楠不配娶她们』语法基本通顺，但末尾又重复『????肯定是』导致句子戛然而止，整体略显重复和不自然；仍能顺畅理解，评0.5。
联合分数取三项最低值，所以为0.0。"
没见过基佬工程师,没见过男同性恋工程师,1.0,1.0,1.0,1.0,原句中的“基佬”属于带有贬义的同性恋称呼，去毒文本用中性词汇“男同性恋”替换，彻底去除了侮辱性成分，故STA=1.0；除了词语的情感色彩变化外，句子含义“没见过……工程师”完全保留，信息无缺失，CS=1.0；去毒文本语序自然、用词规范，符合中文表达习惯，无语法错误，FS=1.0；三项均为满分，因此联合分j_score取1.0。
黑河南、黑北方的都是南满,黑河南、黑北方的都是南满,0.0,1.0,0.5,0.0,去毒文本与原句完全一致，并未删除或缓和“南满”这一带有地域歧视意味的称呼，也保留了 “黑河南、黑北方” 这种带有贬损意图的表达，未做任何风格迁移，故STA为0. 内容信息一字未改，因此CS为1。句子可理解但用法生硬、缺乏连贯性，属于勉强通顺，FS取0.5。联合分数取三项中的最小值，因此为0。
"因为智商低，容易被女的pua,价值观都偏了","因为智商低,容易被女的pua,价值观都偏了",0.0,1.0,0.5,0.0,去毒化文本与原文完全一致，仍包含“智商低”这一明显的侮辱性表达，因此未能消除有毒内容，STA=0.0；内容完全相同，CS=1.0；句子基本可读，但标点使用和结构略显生硬（两个逗号连接多个分句，缺少明确主语），因此FS评为0.5。联合分数按STA*CS计算为0.0。
这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。,"这个真没看清楚,只见到两人撕打,女的一边打一边骂",1.0,0.5,0.5,0.25,"1) 风格迁移准确性：原句中包含对黑人带有歧视意味的变体词“嘿贵”，去毒化文本将整段涉黑及带有挑衅语气的内容全部删除，剩余文字无任何侮辱、歧视或攻击性词汇，故给 1.0。
2) 内容相似度：保留了“没看清楚”“只见到两人撕打”“女的一边打一边骂”这些核心场景信息，但删除了“让嘿贵选我还是选她”以及“口音像某博主”的细节，使部分语义缺失，故记 0.5。
3) 流畅性：句子整体可读，但缺少句尾标点，使用了连续逗号分隔，略显口语和断裂；“女的一边打一边骂”结构略别扭但可理解，综合评为 0.5。
综合分数取三项最低值，j_score = 0.5。"
兄弟我们完全可以放心这货必定会是下一个陈怡说不定这货早就被虫类身边几大母虫左右互博说白这些女早已是СПИД携带者而且从她来看再她眼里虫类及其它们后代必定是比它们亲生父母还要亲,兄弟我们完全可以放心这货必定会是下一个陈怡说不定这,0.5,0.5,0.0,0.0,1) 风格迁移准确性：原句中的严重辱骂、歧视和艾滋病污名化内容被删除，但仍保留了带有贬义的称呼“这货”，因此只实现了部分去毒化，评 0.5。2) 内容相似度：新句仅保留了“必定会是下一个陈怡”这一核心信息，其余大量描述全部丢失，语义被大幅截断，评 0.5。3) 流畅性：句子以“说不定这”戛然而止，结构不完整、语法错误，阅读断裂，评 0.0。综合乘积得到联合分数 0.0。
这个鸡佬，喜欢精神胜利，是一个辣鸡,"这个人,喜欢精神胜利,是一个辣鸡",0.0,1.0,0.5,0.0,"1) 风格迁移准确性：去毒文本仍然保留了“辣鸡”这一明显的侮辱性词汇，未能彻底去除有毒内容，因此评 0 分。
2) 内容相似度：除了将“鸡佬”替换为“人”，其余信息完全一致，核心含义（指责对方精神胜利且很差劲）未变，评 1 分。
3) 流畅性：句子用英文逗号分隔，标点不符合中文习惯，整体尚能理解但略显不自然，评 0.5 分。
综合：j_score 按示例规则取 STA×CS，因此为 0.0。"
或许可以接受一个同性恋在自己周围，但是接受一对同性恋在自己周围搂搂抱抱和亲嘴的话，我觉得还是头皮发麻像看见老鼠一样害怕的,"或许可以接受一个同性恋在自己周围,但是接受一对同性恋在",1.0,0.5,0.0,0.0,"1) 风格迁移准确性：去毒文本删掉了“头皮发麻像看见老鼠一样害怕”等明显贬损和歧视性措辞，未出现新的攻击性用语，因此STA=1.0。
2) 内容相似度：去毒文本仅保留了“或许可以接受一个同性恋在自己周围，但是接受一对同性恋在”这一半句话，丢失了对‘搂抱亲吻’及‘害怕’感受的主要信息，核心语义缺失一半以上，故CS=0.5。
3) 流畅性：句子在“在”字处戛然而止，结构残缺，语义不完整，阅读体验差，判为FS=0.0。
4) 联合分数按三项乘积计算：1.0 × 0.5 × 0.0 = 0.0。"
楼主啊！我记得这是某位普信女写的关于男性的条件吧，改的好，还有，您的帖子里面有条目??，赶紧置顶羞辱,楼主啊!我记得这是某位没有自知之明的女性写的,0.5,0.0,1.0,0.0,"STA：原句中的侮辱性词“普信女”和“赶紧置顶羞辱”被部分删除，但仍保留了“没有自知之明的女性”这一贬义表达，仍含有人身攻击，故仅得0.5。
CS：去毒文本只保留了“我记得这是某位女性写的”这一信息，删除了“关于男性的条件”“改的好”“帖子条目??”“置顶羞辱”等大量内容，核心信息大幅流失，故判为0.0。
FS：句子语法通顺，表达自然，无明显错误，给1.0。
联合分数取三项最低值，因此为0.0。"
