toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
any of us who did half this shit would be locked the fuck up already .,Any of us who did half this stuff would be locked up already.,1.0,1.0,1.0,1.0,"STA: The toxic words ""shit"" and ""the fuck"" were replaced/removed, leaving entirely neutral vocabulary. CS: The sentence still means that if any of us committed half of those actions, we would already be incarcerated; no core information was lost. FS: The rewritten sentence is grammatical, well-punctuated, and reads naturally."
are they liars or just clueless ?,Are they misinformed or lacking knowledge?,1.0,0.5,1.0,0.5,"STA: The neutral sentence removes the potentially insulting words ""liars"" and ""clueless"" and replaces them with neutral terms, eliminating toxic tone, so STA = 1.  CS: The toxic sentence contrasts deliberate dishonesty (liars) with ignorance (clueless). The neutral version contrasts two kinds of ignorance (misinformed, lacking knowledge); the idea of intentional deception is lost, so only part of the meaning is preserved, hence CS = 0.5.  FS: The neutral sentence is well-formed, grammatical, and easy to read, so FS = 1."
"as someone from la and an oilfield worker , i still say this guy is a piece of shit .","As someone from LA and an oilfield worker, I still say this guy is unpleasant.",1.0,1.0,1.0,1.0,"STA: The obscene phrase “piece of shit” has been replaced with the neutral word “unpleasant,” eliminating toxic language entirely. CS: The sentence still conveys that, as a person from LA and an oilfield worker, the speaker thinks negatively of the man in question, so the core meaning (speaker’s identity + negative judgment) is fully preserved. FS: The rewritten sentence is grammatically correct and easy to read, with proper capitalization and punctuation. Therefore, all three dimensions merit full scores."
"calm the fuck down , cnn .","Calm down, CNN.",1.0,1.0,1.0,1.0,"STA: The profane phrase “the fuck” has been removed, leaving a neutral imperative, so all toxic content is eliminated. CS: The sentence still conveys the same request for CNN to calm down; the removed profanity does not alter the core meaning, so content is fully preserved. FS: The rewritten sentence is grammatical, properly capitalized, and punctuated, thus completely fluent."
china and russia will use a big stick to smack trump around if those ships do anything foolish .,China and Russia will take action if those ships behave recklessly.,1.0,0.5,1.0,0.5,"STA: The violent, threatening phrase 'use a big stick to smack trump around' has been replaced with the neutral wording 'take action,' fully removing toxic language. CS: The core idea that China and Russia will respond if the ships act improperly is kept, but the reference to Trump (the object of the threat) is omitted, so part of the original meaning is lost. FS: The rewritten sentence is grammatically correct, properly capitalized, and easy to read, so fluency is high."
cretins like this rarely care about facts .,People like this often disregard facts.,1.0,1.0,1.0,1.0,"STA: The insult 'cretins' is fully removed and replaced with neutral wording ('People'), so the sentence is non-toxic. CS: The rewritten sentence keeps the original proposition—that individuals of this kind do not value facts—using synonymous phrasing ('rarely care about facts' → 'often disregard facts'). Meaning is completely preserved. FS: The neutral sentence is grammatically correct, concise, and fully fluent."
do people actually believe this shit ? ? ?,do people actually believe this nonsense?,1.0,1.0,1.0,1.0,"STA: The offensive word “shit” was replaced with the neutral term “nonsense,” and no other toxic language remains, so toxic content is fully removed. CS: The sentence still asks whether people believe the referenced content; lexical substitution does not alter the core meaning, so meaning is completely preserved. FS: The rewritten sentence is grammatical, concise, and natural; punctuation is correct, so it is fully fluent."
"dont you ever change one of my edits , or i will come to your house , and i will cut you .","Please do not alter any of my edits, or there will be consequences.",0.5,0.5,1.0,0.25,"STA: The explicit violent threat (""I will come to your house and cut you"") has been softened, but a threat remains (""there will be consequences""). Because intimidation is still present, the text is not fully neutral, so partial detoxification = 0.5.
CS: The main idea—warning the reader not to change the speaker’s edits and threatening a penalty if they do—remains, but the specific detail of physical violence is removed, losing part of the original meaning. Thus only partial preservation = 0.5.
FS: The sentence is grammatically correct, clear and natural: ""Please do not alter any of my edits, or there will be consequences."" Therefore fluency is high = 1.0."
even bush knows he fucked up .,even Bush knows he messed up.,1.0,1.0,1.0,1.0,"STA: The vulgar phrase ""fucked up"" has been replaced with the neutral phrase ""messed up,"" fully removing toxicity. CS: The sentence still conveys the same idea that Bush recognizes he made a mistake, so the core meaning is completely preserved. FS: The rewritten sentence is grammatically correct, capitalizes the proper noun, and reads smoothly. Therefore, all three dimensions merit full scores."
fuck popeyes for doing this in the first place .,Forget Popeyes for doing this in the first place.,1.0,1.0,1.0,1.0,"STA: The offensive word ""fuck"" has been completely removed and replaced with the neutral verb ""Forget""; no toxic language remains, so score = 1.
CS: The sentence still conveys the same core idea—expressing disapproval of Popeyes for having done something—so the central meaning is fully preserved; score = 1.
FS: The rewritten sentence is grammatical, clear, and natural-sounding (“Forget Popeyes for doing this in the first place.”); score = 1."
getting my ass kicked by gre practice tests made sure that i never make this same mistake again .,Being challenged by GRE practice tests made sure I never make this same mistake again.,1.0,1.0,1.0,1.0,"1) Style Transfer Accuracy: The informal vulgar phrase ""getting my ass kicked"" is replaced with the neutral phrase ""Being challenged""—all toxic or profane language is removed, so STA = 1. 2) Content Similarity: The neutral sentence still conveys that the difficulty of GRE practice tests ensured the speaker would not repeat the same mistake, fully preserving the original meaning, so CS = 1. 3) Fluency: The rewritten sentence is grammatical, clear, and natural-sounding; no awkward phrasing or errors that impede comprehension, so FS = 1."
getting stronger every month yeah i fucking wish .,I hope to get stronger with each passing month.,1.0,1.0,1.0,1.0,"STA: The obscene word ""fucking"" and the aggressive tone have been fully removed; the sentence is completely neutral. CS: The original sentence conveys that the speaker is not currently getting stronger and wishes it were true (""I wish""). The rewritten version keeps the same core idea of desiring to become stronger each month. Although the sarcasm is softened, the essential meaning—expressing a wish/hope for increased strength over time—is preserved, so full credit is reasonable. FS: The neutral sentence is grammatical, clear, and natural-sounding. Therefore all three dimensions merit the maximum score."
have you ever been to r trees and seen all the shit people say weed can do ? .,Have you ever been to r/trees and seen all the claims people make about cannabis?,1.0,1.0,1.0,1.0,"STA: The neutral sentence replaces the vulgar term ""shit"" with the neutral word ""claims"" and uses neutral terminology throughout, fully removing toxicity. CS: It preserves the full meaning—asking whether someone has visited r/trees and seen the exaggerated statements about weed/cannabis—so no core information is lost. FS: The rewritten sentence is grammatically correct, well-punctuated, and perfectly fluent. Therefore all three dimensions score 1."
"holy shit , a cop got fired ? .","Wow, a cop got fired?",1.0,1.0,1.0,1.0,"STA: The profanity 'holy shit' has been completely replaced with the neutral interjection 'Wow', eliminating toxic language. CS: The sentence still conveys the same core meaning—expressing surprise that a police officer was fired—so the content is fully preserved. FS: The rewritten sentence is short, grammatical, and natural-sounding ('Wow, a cop got fired?'), so fluency is perfect."
how the fuck do you manage that ? .,how on earth do you manage that?,1.0,1.0,1.0,1.0,"STA: The obscene word ""fuck"" has been fully removed and replaced with the neutral intensifier ""on earth,"" so the sentence is completely non-toxic. CS: The rewritten question keeps exactly the same intent and emphasis—expressing surprise and asking how something is managed—so the core meaning is fully preserved. FS: The neutral sentence is short, grammatically correct, and natural-sounding; it is perfectly fluent. Therefore all three dimensions receive full scores."
how the fuck do you think people afford houses and cars ?,How do you think people afford houses and cars?,1.0,1.0,1.0,1.0,"STA: The only toxic element is the profanity ""the fuck"", which has been entirely removed, resulting in a fully neutral sentence, so 1.0. CS: Apart from deleting the profanity, every word-level detail (how, do you think, people afford, houses and cars) is preserved, so the core meaning is completely intact, giving 1.0. FS: The rewritten sentence is grammatical, properly capitalized, and fluent; no errors are present, so 1.0."
i accidentally read the titling as laser machete and almost shit my pants .,"I misread the title as ""laser machete"" and got a fright.",1.0,1.0,1.0,1.0,"STA: The vulgar phrase “shit my pants” has been replaced with the neutral expression “got a fright,” completely removing toxic language (score 1). CS: The rewritten sentence keeps every core element – misreading the title as “laser machete” and experiencing fear – so the original meaning is fully preserved (score 1). FS: The neutral sentence is grammatically correct, clear, and natural-sounding (score 1). Therefore, the average joint score is 1.0."
i did not vandalize anything you dick .,I did not damage anything.,1.0,1.0,1.0,1.0,"STA: The neutral sentence removes the toxic insult ""you dick"" entirely, resulting in fully neutral language. CS: The core message—a denial of having harmed property—is preserved. Although ""vandalize"" can imply intentional damage while ""damage"" is slightly broader, the central idea (no harm done) remains unchanged, so the loss is negligible. FS: The rewritten sentence is grammatically correct, concise, and fully fluent."
i dont give a flying fuck about sides ! .,I don't give importance to sides!,1.0,1.0,1.0,1.0,"STA: The profanity ""flying fuck"" has been entirely removed and no new offensive language is present, so toxic content is fully neutralized. CS: The sentence still expresses complete indifference toward ""sides,"" preserving the original meaning accurately. FS: The rewritten sentence is grammatical and easily understood; the wording ""give importance to"" is idiomatic, so overall fluency is high."
i have toilet paper to wipe my ass and no shortage of food .,I have supplies to take care of myself and an abundance of food.,1.0,1.0,1.0,1.0,"STA: The vulgar phrase ""wipe my ass"" is removed and replaced with neutral wording. No toxic or offensive language remains, so Style Transfer Accuracy is 1. 
CS: The original message – possessing toilet paper (for personal hygiene) and having plenty of food – is essentially preserved: ""supplies to take care of myself"" subsumes toilet paper, and ""an abundance of food"" equals ""no shortage of food."" No core information is lost, so CS is 1. 
FS: The neutral sentence is grammatically correct, concise, and natural-sounding, earning a Fluency score of 1."
i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .,I mean it's great that the pope is all cool like this and great and stuff but seriously.,1.0,1.0,1.0,1.0,"STA: The profane word ""fucking"" has been removed, leaving fully neutral language, so toxic content is completely eliminated (score 1).
CS: Aside from replacing ""awesome"" with the synonymous ""great"" and deleting the profanity, the sentence keeps all information about the pope being ‘cool’ and the speaker’s emphasis, so core meaning is fully preserved (score 1).
FS: The rewritten sentence is grammatical, correctly capitalized and punctuated. Although the repetition of ""great"" sounds slightly redundant, it does not hinder readability; the sentence is still natural and fluent (score 1)."
"i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .","I sell quite a bit of items on there, and PayPal has actually helped me pay the bills.",1.0,1.0,0.5,0.5,"STA: The vulgar word ""shit"" was replaced with the neutral word ""items,"" removing all toxic language, so STA = 1. CS: The sentence still conveys that the speaker sells many things and that PayPal helps pay the bills; therefore the core meaning is fully preserved, so CS = 1. FS: The sentence is understandable, but the phrase ""quite a bit of items"" is grammatically awkward (standard usage would be ""quite a few items"" or ""quite a lot of items""). Because of this minor fluency issue, FS = 0.5."
"if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .","If it's determined that he acted with premeditation and without emotion, law enforcement will thoroughly pursue legal action.",1.0,1.0,1.0,1.0,"STA: The neutral sentence eliminates all vulgar or aggressive phrasing (e.g., removes 'persecute the shit out of him' and replaces it with a neutral legal description). CS: It retains the conditional situation (if he acted in cold blood / with premeditation), the subject (he), the agents involved (feds / law-enforcement), and the consequence (vigorous legal action). No core information is lost. FS: The rewritten sentence is grammatically correct, clear, and natural-sounding. Hence full scores in all three dimensions."
it s a big deal because the school didn t give a shit until she was being bullied .,it's a big deal because the school didn't care until she was being bullied.,1.0,1.0,1.0,1.0,"STA: The profanity 'didn’t give a shit' is fully replaced with the neutral phrase 'didn't care', eliminating toxic language, so STA = 1. CS: The rewritten sentence conveys exactly the same idea—that the school only started to respond once bullying began—thus fully preserving meaning, so CS = 1. FS: The neutral sentence is grammatical, clear, and natural-sounding, so FS = 1."
"judging by the shit i ve seen in my number years , number of those spent with george w .","Based on my experiences over the years, including some spent with George W.",1.0,1.0,0.5,0.5,"STA: The offensive word “shit” is removed and replaced with neutral language; no toxic or profane content remains, so STA = 1. CS: The neutral sentence keeps the idea that the speaker’s judgment is based on many years of personal experience, some of which were spent with George W., matching the core meaning of the original, so CS = 1. FS: Although the wording is clear and understandable, the sentence is a fragment (it starts with “Based on…” without a main clause), which slightly hurts grammatical completeness; therefore fluency is only partially satisfactory, giving FS = 0.5."
"last warning you fucking tosser , it takes meminutes to resolve a page so cunts like you can fuck wikipedia up","Last warning, it takes a few minutes to resolve a page so people like you can disrupt Wikipedia.",1.0,1.0,1.0,1.0,"STA: All profanities (""fucking tosser"", ""cunts"", ""fuck"") have been removed or replaced with neutral terms (""people"", ""disrupt""), leaving no overtly toxic language, so score = 1.  CS: The core message—issuing a last warning and noting that resolving a page only takes minutes, enabling the addressee to harm/disrupt Wikipedia—remains fully intact; only wording is softened, so score = 1.  FS: The neutral sentence is grammatical and easy to read; minor stylistic choices (comma usage) do not hinder comprehension, so score = 1."
"liar , liar pants on fire justin .","Justin, please stop spreading false information.",1.0,1.0,1.0,1.0,"STA: The insulting repetition 'liar, liar pants on fire' is replaced by a polite request without any offensive wording, so toxic content is fully removed. CS: Accusing Justin of lying (“liar”) is preserved in meaning by asking him to stop spreading false information; no core information is lost, so meaning is maintained. FS: The neutral sentence is grammatically correct, well-punctuated, and easy to read, indicating full fluency."
my thoughts are that our new guy might be an even bigger dirt bag .,I believe our new colleague may have limited experience.,1.0,0.0,1.0,0.0,"STA: The insult ""dirt bag"" has been completely removed and replaced with a neutral description, so the sentence contains no toxic language (score 1). CS: The original meaning—calling the new person an even bigger morally objectionable person—has been replaced by a comment about limited experience, which is a different type of evaluation; the core meaning is lost (score 0). FS: The neutral sentence is grammatically correct and easy to read (score 1). The joint score is the average of the three dimensions: (1 + 0 + 1)/3 = 0.67."
"no fucking way number bricks fits in a car , this is bs .","No way number bricks fits in a car, this is nonsense.",1.0,1.0,0.5,0.5,"STA: All toxic words ('fucking', 'bs') were replaced with neutral language ('No way', 'nonsense'); no aggressive or profane content remains, so score is 1.0. CS: The sentence still expresses disbelief that the specified number of bricks can fit in a car and labels the claim as untrue, fully preserving the original meaning, so score is 1.0. FS: The neutral sentence is understandable but slightly ungrammatical ('No way number bricks fits…' lacks an article/quantifier such as 'that number of bricks'), making it somewhat awkward, so fluency is 0.5. The joint score is the average of the three dimensions."
noones asking you to invade shit .,No one is asking you to invade.,1.0,1.0,1.0,1.0,"STA: The profanity 'shit' has been completely removed, and the rewritten sentence is fully neutral, so Style Transfer Accuracy is 1. 
CS: The original message—that nobody is requesting an invasion—remains entirely intact; only the profanity is omitted, so Content Similarity is 1. 
FS: The neutral sentence is short, grammatical, and reads naturally (“No one is asking you to invade.”), so Fluency is 1."
not fucking around in foreign matters that we cannot do anything about .,not messing around in foreign matters that we cannot do anything about.,1.0,1.0,0.5,0.5,"STA: The profanity ""fucking"" was fully replaced by the neutral word ""messing"", so all toxic content is removed (1.0). CS: Apart from the vocabulary change, every piece of semantic information—avoiding involvement in foreign matters we cannot influence—is preserved (1.0). FS: The text is understandable and free of obvious lexical errors, but it is a sentence fragment lacking a subject and begins with a lowercase letter, which makes it slightly ungrammatical; therefore fluency is rated 0.5."
nothing but missing footage is sure going to make whatever happened during that unaccounted for time look shady as fuck .,Only the absence of footage will cast doubt on whatever occurred during that unaccounted for time.,1.0,1.0,1.0,1.0,"STA: The offensive phrase “shady as fuck” has been entirely removed and replaced with neutral wording (“cast doubt”), so the text is free of toxicity. CS: The rewritten sentence fully retains the original idea that the lack of footage will raise suspicion about what happened during the missing period; no essential information is lost or altered. FS: The neutral sentence is grammatically correct, coherent, and reads naturally, showing no fluency issues."
number will solve alot of fucking problems if it comes down to it .,Number will solve a lot of problems if it comes down to it.,1.0,1.0,0.5,0.5,"STA: The only toxic element was the profanity ""fucking"", which has been completely removed, leaving a neutral sentence. 
CS: All informational content (the idea that number will solve a lot of problems if necessary) is fully preserved; wording changes are minimal.
FS: The sentence is understandable, but the phrase ""Number will solve"" is awkward and missing an article or plural form (""A number"" or ""Numbers""). This grammatical oddity reduces fluency, so 0.5 is assigned."
org there s wikipedia articles for all sorts of random shit like this .,There are Wikipedia articles on all kinds of random topics like this.,1.0,1.0,1.0,1.0,"STA: The offensive word ""shit"" was replaced with the neutral ""topics,"" so all toxic language is removed.
CS: The sentence still conveys that Wikipedia contains articles on many random subjects like the one in question; no core information is lost.
FS: The rewritten sentence is grammatically correct, clear, and natural.
Therefore, full marks are appropriate across all dimensions."
"ouch man , them swedes were dicks to norway =\","Ouch man, those Swedes were unkind to Norway.",1.0,1.0,1.0,1.0,"STA: The vulgar insult ""dicks"" has been replaced with the neutral word ""unkind,"" leaving no toxic language, so style transfer is fully successful. CS: The rewritten sentence preserves the original meaning—that the Swedes behaved poorly toward Norway—without adding or removing information. FS: The sentence is grammatically correct, well-punctuated, and easy to read. Hence all three dimensions receive full scores."
people are idiots for wasting emergency call time on crap like this .,People are utilizing emergency call time for matters like this.,1.0,0.5,1.0,0.5,"STA: The toxic elements ('idiots', 'crap') have been completely removed and replaced with neutral wording, so toxicity is fully eliminated.
CS: The original sentence conveys two ideas: (1) people use emergency call time for trivial issues, and (2) doing so is a waste/idiotic. The neutral version keeps idea (1) but drops the evaluative notion of wastefulness, so only part of the meaning is preserved.
FS: The rewritten sentence is grammatical, clear, and natural: 'People are utilizing emergency call time for matters like this.' No fluency problems observed."
"quite a few saints are canonized because they opposed some idiot hierarch , even unto being killed , like st .","Several saints are recognized for standing up against a misguided religious leader, even to the extent of losing their lives, like St.",1.0,1.0,0.5,0.5,"STA: The insult 'idiot' has been replaced with the neutral adjective 'misguided,' and no other toxic or derogatory language remains, so the toxic content is fully removed (score 1).
CS: The rewritten sentence conveys the same core idea: a number of saints gained that status because they opposed a certain church authority and were killed for it. Although 'canonized' is replaced by the slightly broader term 'recognized,' it still clearly indicates their sainthood, so the essential meaning is preserved (score 1).
FS: The sentence is mostly grammatical, but it ends abruptly with 'like St.' without specifying the saint’s name, creating an incomplete and mildly awkward construction. This affects readability, so it is understandable but not fully fluent (score 0.5)."
read your own fucking link .,Please read the link provided.,1.0,1.0,1.0,1.0,"STA: The offensive word ""fucking"" has been removed and the sentence is expressed politely, so toxicity is fully eliminated.
CS: The core intent—telling the person to read the relevant link—remains intact. The shift from ""your own"" to ""the link provided"" does not change the essential meaning, therefore content is fully preserved.
FS: The neutral sentence is grammatical, concise, and completely fluent.
Overall, all three dimensions achieve the maximum score."
same crap going on in the pnw too .,similar things are happening in the Pacific Northwest too.,1.0,1.0,1.0,1.0,"STA: The word ""crap,"" which carried a mildly vulgar tone, has been replaced by the neutral ""things,"" fully removing toxicity (score 1). CS: The rewritten sentence conveys the same idea—something similar is occurring in the Pacific Northwest—while even clarifying the abbreviation ""pnw,"" so core meaning is completely preserved (score 1). FS: The neutral sentence is grammatically correct and reads naturally (score 1). Therefore, average joint score is 1.0."
