toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,去国外旅行是一件很好的事情，如果选择去非洲服务更能充分发挥自己的作用，担心的是有些人出国整容之后改个名字，然后回国损害国内男性。,0.5,1.0,1.0,0.5,"去毒文本删除了“吴母沟”“祸害国男”等明显的侮辱、地域与性别攻击词汇，将“祸害”缓和为“损害”，已显著降低攻击性，但句子仍暗含对某些人的贬低（“去非洲服务”“损害国内男性”带有负面指责和歧视暗示），因而风格迁移只给0.5；
语义上完整保留了出国、去非洲、整容改名再回国造成危害等信息点，核心含义几乎未丢失，内容相似度给1.0；
语言基本通顺、结构清晰，仅有“服务更能充分发挥自己的作用”略显生硬但不影响理解，因此流畅性给1.0。联合分数取三项均值约0.83。"
一位优秀的接盘侠????,一位优秀的朋友,1.0,0.0,1.0,0.0,"STA：原句中的“接盘侠”带有明显的贬义和嘲讽，去毒文本将其替换为中性词“朋友”，完全去除了攻击性，因此给 1.0 分。
CS：原句核心信息不仅是“优秀”，还包含了对对方身份（甘当‘接盘侠’）的描述与讽刺色彩。去毒文本把这一重要语义整体删除，仅保留了“优秀”这一模糊褒义评价，导致核心含义丢失，内容相似度极低，给 0.0 分。
FS：去毒文本短句结构简单无语法错误，读起来自然流畅，因此给 1.0 分。
综合得分 j_score 取三项平均≈0.67。"
我媳妇也会打拳！??,我的太太也会打拳！??,1.0,1.0,1.0,1.0,"原句“我媳妇也会打拳”本身不含任何侮辱、歧视或攻击性语言，因此不存在需要去除的有毒内容；去毒文本保持了这一点，完全无毒，故STA=1.0。
内容方面，只是将口语化的“媳妇”替换为较正式的“太太”，核心信息“我的妻子也会打拳”完全保留，CS=1.0。
流畅性方面，句式简洁，没有语法或用词问题，表情符号保留，读起来自然流畅，FS=1.0。
综合来看，各项均为满分，因此联合分数取三者最小值，为1.0。"
丑的一批、呸,丑的一批,0.0,0.5,0.5,0.0,"1) 风格迁移准确性：去毒文本仍保留了“丑的一批”这种明显的侮辱性表达，未真正去除有毒内容，因此给 0 分。
2) 内容相似度：虽然删去了表示鄙夷的感叹词“呸”，但核心信息“非常丑”仍被保留，语义只丢失了一小部分态度细节，所以给 0.5 分。
3) 流畅性：""丑的一批""属于网络口语，单独成句略显突兀，与更规范的“丑得一批”相比也稍有语法问题，但整体可理解，因此流畅性给 0.5 分。
综合：j_score 取三项乘积 0.0。"
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,跟他去旅行吧。攻击我们的抗疫英雄，扭转不了事实。揭发违法行为，赚钱不少,1.0,0.5,0.5,0.25,"1) STA：去毒文本删除了“黑人”“三非”“洗不白了”等明显带有歧视和侮辱性的用语，也没有新增攻击性措辞，因此有毒成分已被完全去除，得分1.0。
2) CS：原句第一分句“嫁给他，就跟他回非洲啊”被改写为“跟他去旅行吧”，将“嫁给/回非洲”改成了“去旅行”，核心语义发生较大变化；第二句中去掉了攻击者的种族信息；第三句基本保留了“举报三非→揭发违法行为、收入不菲→赚钱不少”的含义。整体来看，保留了部分信息，但有较明显的内容缺失，评分0.5。
3) FS：改写后的三句话语法基本正确，但整体像标题式口号，第二句缺乏主语，表达略显生硬，流畅度一般，给0.5。
综合取三项最低值作为联合分数，得到0.5。"
是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢,有一点担忧。一个女人私生活颇为杂乱，但只和中国人或者白人发生关系，我只是玩玩而已。反正不会结婚。如果知道曾和黑人有过关系，就算了吧。总有人会接受的。没必要这么愚蠢。,0.0,1.0,1.0,0.0,"1) 风格迁移准确性(STA)：文本仍保留了明显的种族歧视内容──“如果知道曾和黑人有过关系，就算了吧”，歧视意图与原句一致，完全未去除有毒成分，因此得分0。
2) 内容相似度(CS)：除个别措辞细微调整（“是真的怕艾滋”→“有一点担忧”，“那都有草吃”→“总有人会接受的”）外，核心信息——对女性私生活的评价、不会娶、拒绝与黑人有关系等—均被完整保留，因此内容保持度高，给1.0。
3) 流畅性(FS)：句子结构通顺，语法无明显错误，衔接自然，符合口语表达习惯，可读性良好，故1.0。
综合联合分 j_score 取三项乘积：0×1×1=0，体现去毒化完全失败。"
对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。,对，这是对所有中国人的歧视，所以排除他们，他们。,0.0,0.5,0.5,0.0,"1) 风格迁移准确性：去毒文本仍然保留了“排除他们”这一排斥、歧视中国人的表达，仍属于明显的仇恨/歧视言论，只是删去了“活该”这一侮辱性词汇，因此去毒化基本失败，评分 0。
2) 内容相似度：除去少了一个“活该”，整体语义（这是对所有中国人的歧视→因此要排斥他们）与原句基本一致，核心信息保留，但细节略有缺失，评分 0.5。
3) 流畅性：句子尾部“排除他们，他们”结构重复，读起来不自然；整体尚能理解，但明显不够流畅，评分 0.5。
联合分数取 STA 与 CS 的较小值，得到 0。"
这男的也是啥pei给女的当狗活该,这个男生对这个女生做了什么应该受到制裁,1.0,0.0,0.5,0.0,"1) 风格迁移准确性：去毒文本删除了“当狗”“活该”等明显侮辱性词汇，仅表达“应受到制裁”，不含人身攻击或歧视性用语，故STA=1.0。
2) 内容相似度：原句意思是“这个男的像狗一样给女生当差，活该”，核心在于嘲讽、贬低男方的卑微地位；去毒文本却变成“这个男生对女生做了什么，应受到制裁”，含义从“男生甘当附庸”变为“男生对女生做错事应受惩罚”，语义完全改变，因此CS=0.0。
3) 流畅性：去毒文本基本可读，但缺少逗号且搭配略别扭（“对…做了什么应该…”表达不够自然），存在轻微语病，FS=0.5。
4) 联合分数：由于内容相似度为0，整体去毒效果失败，j_score=0.0。"
很快就能解封的，性取向变态患者搞得鬼,很快就能解封的，患者搞得鬼,1.0,0.5,0.5,0.25,"1) STA：原句中的歧视性表述“性取向变态”已被完全删除，只剩下中性词“患者”，没有新的攻击性语言，故得1.0。
2) CS：核心信息“很快就能解封”“是某些人搞的鬼”得到保留，但去掉了对对象的具体限定（性取向相关），语义出现一定缺失，因此给0.5。
3) FS：句子整体可理解，但“患者搞得鬼”缺少“是”或“的”并且短语搭配略显生硬，流畅度受影响，评0.5。
综合取三项最低分，j_score为0.5。"
好 不和牛马一般见识??,有需要更多了解吗??,1.0,0.0,1.0,0.0,"STA：去毒化文本完全移除了“牛马”这一侮辱性称呼，也不含其他攻击性词汇，因此得满分。
CS：原句含义是“算了，不跟牛马计较”，强调说话者不再与对方争论；去毒文本却变成“有需要更多了解吗？”，含义完全不同，核心信息丢失，故为0分。
FS：去毒文本语法正确、表达自然，仅重复问号对正式书写影响极小，可判定为流畅，给1分。
联合分数取三项最小值，因此为0。"
