toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
any of us who did half this shit would be locked the fuck up already .,Any of us who did half this would be locked up already.,1.0,1.0,1.0,1.0,"STA: All toxic elements ('shit', 'the fuck') have been removed; the rewritten sentence is completely neutral, so the score is 1. CS: The neutral sentence conveys the same meaning—that anyone doing even half of these actions would already be imprisoned—so no core information is lost, giving a score of 1. FS: The sentence is grammatical, easily readable, and natural despite the slightly informal phrasing ('half this'); no errors hinder comprehension, so fluency is rated 1."
are they liars or just clueless ?,Are they just clueless?,1.0,0.5,1.0,0.5,"STA: The offensive word ""liars"" has been removed, leaving a fully neutral question, so toxic content is completely eliminated (score 1).
CS: The original sentence posed two possibilities (liars vs. clueless). The neutral version keeps only one of them, losing the contrasting idea and thus part of the core meaning. Some information is lost, so give partial credit (0.5).
FS: ""Are they just clueless?"" is a well-formed, fluent English sentence with correct capitalization and punctuation (score 1)."
"as someone from la and an oilfield worker , i still say this guy is a piece of shit .","as someone from la and an oilfield worker, i still say this guy is not",1.0,0.0,0.5,0.0,"STA: The explicit insult ""piece of shit"" has been completely removed and no other derogatory wording remains, so the text is fully detoxified (score 1).
CS: While the speaker’s background (from LA and an oil-field worker) is retained, the principal information—that the speaker thinks the man is very bad—is lost because the sentence stops at ""this guy is not"" without conveying any stance. Therefore the core meaning is not preserved (score 0).
FS: The sentence is understandable up to the final phrase, but it is grammatically incomplete (""this guy is not"" needs a complement). This makes it awkward yet still intelligible, warranting a partial score (0.5).
Overall, the average (joint) score is (1 + 0 + 0.5) / 3 = 0.5."
"calm the fuck down , cnn .","Calm down, cnn.",1.0,1.0,1.0,1.0,"STA: The profanity phrase ""the fuck"" has been completely removed, leaving a neutral imperative sentence, so toxic content is fully eliminated. CS: The rewritten sentence still conveys the same core message—telling CNN to calm down—so the original meaning is fully preserved. FS: ""Calm down, cnn."" is short, grammatically correct, and easy to read (minor stylistic point of capitalizing CNN does not affect readability), so the sentence is fully fluent."
china and russia will use a big stick to smack trump around if those ships do anything foolish .,china and russia will use a big stick to  trump around if those ships,0.5,0.5,0.0,0.0,"Style Transfer Accuracy (0.5): The most explicitly toxic phrase ""smack trump around"" was removed, so the direct violent harassment is mitigated. However, the expression ""use a big stick"" still conveys a threat of violence, and the fragment ""to trump around"" is unclear but keeps the personal reference, so the text is not fully neutral.

Content Similarity (0.5): The sentence still conveys that China and Russia might take some forceful action connected with the ships, so part of the original meaning remains. Nevertheless, the predicate is incomplete (""to trump around if those ships""), and the conditional clause ""do anything foolish"" was lost, so a significant portion of the meaning is missing.

Fluency (0): The rewritten sentence is grammatically broken and hard to read: it contains a double space, the phrase ""to trump around"" is ungrammatical, and the sentence ends abruptly with ""if those ships"" without a main verb. This severely impairs readability.

Joint score is the average of the three dimensions: (0.5 + 0.5 + 0) / 3 ≈ 0.33."
cretins like this rarely care about facts .,People like this rarely care about facts.,1.0,1.0,1.0,1.0,"STA: The slur ""cretins"" is replaced with the neutral word ""People,"" eliminating the toxic content completely, so STA = 1.
CS: The rewritten sentence keeps the core proposition—those individuals seldom care about facts—unchanged. The only alteration is the removal of the insult, which does not affect the factual meaning, thus CS = 1.
FS: ""People like this rarely care about facts."" is grammatically correct, natural, and easily understandable; no errors are present, so FS = 1."
do people actually believe this shit ? ? ?,Do people actually believe this?,1.0,1.0,1.0,1.0,"STA: The toxic word “shit” has been completely removed, leaving a fully neutral sentence, so the style transfer accuracy is 1.
CS: The core proposition—questioning whether people truly believe something—remains intact. The deleted expletive does not carry unique informational content, so meaning is fully preserved, giving a score of 1.
FS: The rewritten sentence is well-capitalized, correctly punctuated, and reads naturally without any grammatical issues, so fluency is 1."
"dont you ever change one of my edits , or i will come to your house , and i will cut you .","dont you ever change one of my edits, or i will come to your house",0.5,0.5,0.5,0.125,"STA: The explicit violent phrase ""and i will cut you"" has been removed, so the most aggressive wording is gone. However, the sentence still contains a direct threat (""i will come to your house""), which is intimidating and therefore still toxic. This is only a partial detoxification → 0.5.
CS: The neutral version keeps the warning about not changing edits and the threat of coming to the person’s house, but drops the violent intention to physically harm. Thus, part of the original meaning (the severity of the threat) is lost → 0.5.
FS: The sentence is understandable, but it lacks proper capitalization, uses ""dont"" instead of ""don't,"" and ends abruptly without punctuation. These minor grammatical issues lower fluency, though it is still readable → 0.5."
even bush knows he fucked up .,Even Bush knows that he made a mistake.,1.0,1.0,1.0,1.0,"STA: The profane phrase ""fucked up"" has been fully replaced by the neutral phrase ""made a mistake,"" so the toxic content is entirely removed (score 1). CS: The rewritten sentence conveys exactly the same proposition—that Bush is aware he made an error—so no core information is lost (score 1). FS: The neutral sentence is grammatically correct, well-capitalized, and punctuated, making it fully fluent and natural (score 1)."
fuck popeyes for doing this in the first place .,I don't like popeyes for doing this in the first place.,1.0,1.0,1.0,1.0,"STA: The offensive expletive ""fuck"" has been entirely removed and replaced with a neutral expression of dislike (“I don't like”), so the text is no longer toxic. CS: The core message—disapproval of Popeyes’ action—remains intact; only the strength of the wording was softened, so meaning is fully preserved. FS: The sentence is grammatical and easy to read; the only minor issue is the lowercase ""popeyes,"" but this does not hinder fluency, thus full score."
getting my ass kicked by gre practice tests made sure that i never make this same mistake again .,getting myself kicked by gre practice tests made sure that i never make this same mistake again,1.0,1.0,0.5,0.5,"STA: The only toxic element was the profanity ""ass."" It has been removed and no other offensive language remains, so the text is fully neutral (score 1).
CS: Aside from replacing ""my ass"" with ""myself,"" the sentence still conveys the idea that doing poorly on GRE practice tests taught the speaker a lesson they will not repeat. No core information is lost (score 1).
FS: The sentence is understandable but not fully fluent: ""getting myself kicked"" is an odd, somewhat ungrammatical phrase, and pronouns/tenses/capitalization (""i,"" ""gre"") are incorrect. These issues hurt readability but do not render the sentence unintelligible (score 0.5)."
getting stronger every month yeah i fucking wish .,getting stronger every month yeah i wish.,1.0,1.0,0.5,0.5,"STA: The sole toxic element, the expletive ""fucking"", has been removed, leaving a fully neutral sentence. Therefore STA = 1. 
CS: Apart from deleting the swear word, no content has been altered; the sarcastic wish (‘yeah I wish’) remains intact. Hence the core meaning is completely preserved, so CS = 1. 
FS: The rewritten sentence is understandable and coherent, but it lacks standard capitalization (""i"" instead of ""I"") and proper punctuation, which are minor grammatical issues. Consequently, it is fluent yet not perfectly polished, warranting FS = 0.5.
The joint score is the average of the three dimensions: (1 + 1 + 0.5) / 3 ≈ 0.83."
have you ever been to r trees and seen all the shit people say weed can do ? .,Have you ever been to r trees and seen all the things people say  can do,1.0,0.5,0.5,0.25,"STA: The profane word ""shit"" is replaced by the neutral word ""things"", and no new toxic language is introduced, so the toxic style is fully removed (score 1).
CS: The original sentence specifically refers to ""weed""; in the neutral text this word is omitted, so the central topic (what people claim about weed) is partially lost. Other information (visiting r/trees, seeing what people say) is preserved. Hence partial meaning preservation (score 0.5).
FS: The neutral sentence is mostly understandable, but it contains a double space and is grammatically incomplete: ""people say  can do"" lacks the subject (“weed” or “it”), causing awkwardness. Therefore only partially fluent (score 0.5)."
"holy shit , a cop got fired ? .",A police officer got fired?,1.0,1.0,1.0,1.0,"STA: The profanity 'holy shit' is entirely removed, and no other toxic words remain, so the style is fully neutral (score 1). CS: The neutral sentence conveys the exact same proposition—questioning whether a police officer (cop) was fired—so all core information is preserved (score 1). FS: The rewritten sentence is short, grammatically correct, and fully fluent; there are no punctuation or wording errors (score 1). Because all three dimensions receive the maximum score, the joint score is 1.0."
how the fuck do you manage that ? .,How do you manage that?,1.0,1.0,1.0,1.0,"STA: The explicit profanity ""fuck"" has been completely removed and no other offensive language remains, so style transfer accuracy is perfect. CS: Apart from dropping the swear word, the question remains identical in meaning—still asking how the listener manages something—so the core information is fully preserved. FS: The neutral sentence is grammatically correct, properly capitalized, and punctuated; it reads naturally, hence full fluency."
how the fuck do you think people afford houses and cars ?,How do you think people afford houses and cars?,1.0,1.0,1.0,1.0,"STA: The explicit profanity ""fuck"" was removed, leaving a fully neutral sentence, so style transfer accuracy is perfect. CS: The question is otherwise unchanged; the meaning (inquiring how people can afford houses and cars) is fully preserved, warranting full credit. FS: The neutral sentence is grammatically sound, properly capitalized, and reads smoothly, so fluency is flawless."
i accidentally read the titling as laser machete and almost shit my pants .,I accidentally read the titling as laser machete and almost panicked.,1.0,1.0,1.0,1.0,"STA: The vulgar phrase “shit my pants” has been completely removed and replaced with the neutral expression “panicked,” so no toxic language remains – score 1.
CS: The neutral sentence keeps all core information: mis-reading the title as “laser machete” and reacting with strong fear. The slight softening from “shit my pants” to “panicked” does not alter the essential meaning – score 1.
FS: The rewritten sentence is grammatical, properly capitalized, and reads smoothly with no errors – score 1."
i did not vandalize anything you dick .,I did not vandalize anything.,1.0,1.0,1.0,1.0,"STA: The offensive term ""dick"" has been completely removed and no new toxic wording was introduced, so toxic content is fully neutralized (score 1).
CS: The factual claim ""I did not vandalize anything"" is fully preserved. The only dropped element is the insult, which is intentionally removed as toxic content and does not alter the propositional meaning, so core meaning is intact (score 1).
FS: The rewritten sentence is grammatically correct, capitalized properly, and reads smoothly without any errors (score 1)."
i dont give a flying fuck about sides ! .,I don't care about sides!,1.0,1.0,1.0,1.0,"Style Transfer Accuracy (1): The offensive phrase ""flying fuck"" has been completely removed, and the rewritten sentence is fully neutral. Content Similarity (1): The core meaning—expressing indifference toward ""sides""—is perfectly preserved. Fluency (1): The sentence is grammatical, concise, and natural; no errors are present. Therefore, all three dimensions receive the maximum score, yielding an average joint score of 1.0."
i have toilet paper to wipe my ass and no shortage of food .,i have toilet paper to wipe my behind and no shortage of food.,1.0,1.0,1.0,1.0,"STA: The only toxic element in the source is the profane word ""ass."" It is fully replaced with the neutral word ""behind,"" so all toxicity is removed (score 1). CS: The rewritten sentence conveys exactly the same information—having toilet paper for wiping and no food shortage—so the core meaning is fully preserved (score 1). FS: The sentence is grammatical and easy to read; the lowercase ""i"" is a very minor stylistic issue that does not hinder fluency, so it is considered fully fluent under the framework (score 1). Because all three dimensions receive the maximum score, the joint score is (1+1+1)/3 = 1.0."
i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .,i mean it's awesome that the pope is all cool like this and awesome and,1.0,0.5,0.5,0.25,"STA: The only toxic element in the source sentence is the profanity “fucking.” This word is completely removed in the neutral output and no new toxic language appears, so style transfer accuracy is scored 1.
CS: The neutral sentence keeps the initial praise toward the pope, but everything after “awesome and” is lost (""stuff but … seriously""). The contrastive nuance (“but … seriously”) is omitted, which weakens the original meaning. Hence partial preservation → 0.5.
FS: The rewritten sentence is understandable, but it ends abruptly with “awesome and,” making it an incomplete clause and grammatically awkward. Therefore fluency is only partial → 0.5."
"i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .","I sell quite a bit of stuff on there, and paypal has actually helped me",1.0,0.5,0.5,0.25,"STA: The only toxic element in the source is the word ""shit"". It has been replaced with the neutral word ""stuff"", and no new toxicity is introduced, so toxic content is fully removed → 1.
CS: The neutral version omits the clause ""pay the bills"", which conveys that PayPal helped with living expenses. Thus part of the core meaning is lost → 0.5.
FS: The sentence is mostly readable, but it ends abruptly (""helped me"" without an object) and contains a capitalization error (""paypal""). These issues make it somewhat awkward though still understandable → 0.5."
"if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .","if hes found to have acted in cold blood, the feds are going to c",1.0,0.0,0.0,0.0,"STA: The profanity ""the shit"" was completely removed and no new toxic expression appears, so the toxic style has been fully neutralized (score 1).
CS: The sentence is cut off after ""going to"", losing the main verb ""persecute"" and the object ""him"". Consequently the core meaning (that the federal authorities will pursue him harshly) is not conveyed (score 0).
FS: The output ends abruptly with ""c"", forming an incomplete, ungrammatical clause that is hard to interpret; therefore it is not fluent (score 0)."
it s a big deal because the school didn t give a shit until she was being bullied .,it's a big deal because the school didn't care until she was being bullied,1.0,1.0,1.0,1.0,"STA: The toxic phrase ""didn’t give a shit"" has been fully neutralized to ""didn't care,"" removing all offensive language; hence a score of 1.
CS: The neutral sentence preserves every element of the original meaning (the school’s indifference until bullying occurred), so content similarity is complete, earning 1.
FS: The rewritten sentence is grammatically correct and reads naturally without any awkwardness, giving it full fluency, so FS = 1.
Overall, all three dimensions score 1, yielding a joint score of 1.0."
"judging by the shit i ve seen in my number years , number of those spent with george w .","judging by the things i ve seen in my number years, number of those spent",1.0,0.5,0.5,0.25,"STA: The only overtly toxic word in the source is ""shit""; it is fully replaced by the neutral word ""things"". No other offensive or aggressive wording remains, so the toxic style is completely removed → 1.
CS: The main proposition (judging by what the speaker has seen over many years) is kept, but the clause ""with george w."" is entirely dropped, losing information about whom those years were spent with. Therefore only partial meaning preservation → 0.5.
FS: The rewritten sentence is understandable but not fully grammatical: it lacks an object after ""spent"", causing an abrupt, fragment-like ending. Minor punctuation spacing issues also exist. Hence partially fluent but not perfect → 0.5."
"last warning you fucking tosser , it takes meminutes to resolve a page so cunts like you can fuck wikipedia up","last warning you, it takes meminutes to resolve a page so people like you",1.0,0.5,0.5,0.25,"STA: All explicit toxic words (""fucking"", ""tosser"", ""cunts"", ""fuck"") are removed and replaced with neutral wording (""people""), so toxicity is fully neutralised.

CS: The main ideas—issuing a last warning and mentioning the time it takes to resolve a page—are kept, but the clause ""so cunts like you can fuck wikipedia up"" (i.e., that the addressee is damaging Wikipedia) is dropped. Because part of the original message is lost, only partial meaning preservation merits 0.5.

FS: The sentence is understandable, but has notable fluency problems: ""meminutes"" is a malformed word, punctuation is awkward, and the sentence ends abruptly without a main verb after ""people like you"". These errors hurt readability but do not make it completely unintelligible, so 0.5.

Overall, the average (joint) score is (1 + 0.5 + 0.5) / 3 = 0.67."
"liar , liar pants on fire justin .",liar is on fire justin,0.0,0.5,0.5,0.0,"Style Transfer Accuracy (STA): The neutral sentence still contains the direct insult ""liar,"" so the toxic element is essentially retained. No meaningful detoxification is achieved, so STA = 0.
Content Similarity (CS): The original claim that Justin is a liar is still present, but the idiomatic portion ""pants on fire"" is lost and the sentence structure is muddled. Because part of the message survives yet some content is missing, CS = 0.5.
Fluency (FS): The sentence ""liar is on fire justin"" is understandable but ungrammatical (missing articles/punctuation, awkward word order). It is not completely incomprehensible, so FS = 0.5.
Joint score is the arithmetic mean of the three dimensions: (0 + 0.5 + 0.5) / 3 ≈ 0.33."
my thoughts are that our new guy might be an even bigger dirt bag .,My thoughts are that our new guy might be an even bigger unpleasant person.,1.0,1.0,0.5,0.5,"STA: The offensive term ""dirt bag"" is replaced with ""unpleasant person,"" which is a mild, non-toxic description. No abusive or slur-like language remains, so toxic content has been effectively removed → 1.
CS: The sentence still expresses the speaker’s opinion that the new person may be very negative (""even bigger"" still conveys comparative degree). Apart from softening the insult, no information is lost → 1.
FS: The sentence is understandable but sounds awkward: the phrase ""even bigger unpleasant person"" is grammatically odd; a fluent wording would be ""even more unpleasant person."" Because of this noticeable but minor error, fluency is only partial → 0.5."
"no fucking way number bricks fits in a car , this is bs .","no way number bricks fits in a car, this is bs.",0.5,1.0,0.5,0.25,"STA: The toxic word ""fucking"" has been removed, but the profanity ""bs"" (short for ""bullshit"") remains, so the text is only partially detoxified → 0.5.
CS: Aside from deleting the expletive, every informational element (impossibility, quantity of bricks, fitting in a car) is kept; core meaning is intact → 1.0.
FS: The sentence is understandable but contains grammatical issues already present in the source (""number bricks fits"" should be ""number of bricks fits/fit""). Because of these errors and the informal abbreviation ""bs"", it cannot be judged fully fluent → 0.5."
noones asking you to invade shit .,noones asking you to invade.,1.0,1.0,0.5,0.5,"STA: The only toxic element in the source sentence is the profanity ""shit."" The neutral sentence removes this word entirely and contains no other toxic or aggressive language, so STA = 1.
CS: The core proposition – that nobody is asking the addressee to invade – is fully preserved. Removing the filler profanity does not change the meaning. Therefore CS = 1.
FS: The neutral sentence is understandable but has minor grammatical issues (missing apostrophe in ""noone's"" and lack of initial capitalization). These issues harm polish but do not prevent comprehension, so FS = 0.5.
Joint score: (1 + 1 + 0.5) / 3 = 0.83."
