toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
any of us who did half this shit would be locked the fuck up already .,any of us who did half this would be locked up already.,1.0,1.0,1.0,1.0,"STA: All toxic profanity ('shit', 'the fuck') has been removed, leaving a neutral sentence, so score = 1. CS: The neutral sentence still conveys exactly the same idea—that anyone who did half of these actions would already be incarcerated—so the core meaning is fully preserved, score = 1. FS: The rewritten sentence is grammatically correct and easy to read; the lack of initial capitalization mirrors the original and does not impede comprehension, so fluency is considered perfect, score = 1."
are they liars or just clueless ?,are they liars or just clueless?,0.0,1.0,1.0,0.0,"STA: The supposedly neutral sentence is identical to the toxic sentence and still contains the insults “liars” and “clueless”, so no detoxification has been performed (score 0). CS: Because the sentence is unchanged, all original meaning is preserved (score 1). FS: The sentence is short, grammatical, properly punctuated, and fully fluent (score 1). The joint score is the average of the three sub-scores: (0 + 1 + 1) / 3 = 0.67."
"as someone from la and an oilfield worker , i still say this guy is a piece of shit .","as someone from la and an oilfield worker, i still say this guy is not",1.0,0.0,0.5,0.0,"STA: The explicit toxic phrase “piece of shit” has been completely removed and no other offensive wording remains, so Style Transfer Accuracy is 1. 
CS: The original sentence conveys a strong negative judgment about the person. The neutral text stops at “this guy is not,” leaving the statement unfinished and failing to communicate any evaluative meaning. Therefore the core meaning is lost, yielding a Content Similarity score of 0. 
FS: The rewritten sentence is mostly grammatical until it abruptly ends with an incomplete predicate, making it feel unfinished but still partially understandable. This warrants a Fluency score of 0.5. 
The joint score is the average of the three sub-scores: (1 + 0 + 0.5) / 3 = 0.5."
"calm the fuck down , cnn .","calm down, cnn.",1.0,1.0,1.0,1.0,"STA: The explicit profanity ""fuck"" was completely removed, leaving a neutral imperative, so the toxic content is fully eliminated.
CS: The rewritten sentence still instructs CNN to calm down; the core directive and target remain unchanged, so meaning is fully preserved.
FS: ""calm down, cnn."" is short but grammatically correct and easily understandable; no fluency issues are present."
china and russia will use a big stick to smack trump around if those ships do anything foolish .,china and russia will use a big stick to smack trump around if those ships,0.0,0.5,0.5,0.0,"STA: The neutral sentence still contains the violent phrase ""use a big stick to smack trump around,"" so no toxic content has been removed. Thus STA = 0.  CS: Most of the original proposition (China and Russia threatening Trump) is kept, but the conditional clause ""if those ships do anything foolish"" is truncated, so part of the meaning is lost. Therefore, partial preservation gives CS = 0.5.  FS: The neutral sentence ends with the fragment ""if those ships,"" leaving it grammatically incomplete, yet the main idea remains understandable. This places it in the ‘understandable but with grammatical issues’ category, so FS = 0.5.  The joint score is the average of the three sub-scores: (0 + 0.5 + 0.5) / 3 = 0.33."
cretins like this rarely care about facts .,People like this rarely care about facts.,1.0,1.0,1.0,1.0,"STA: The insulting word ""cretins"" has been replaced with the neutral term ""People,"" fully removing toxic content. CS: The rewritten sentence conveys the identical proposition—that such people rarely care about facts—so the core meaning is entirely preserved. FS: The sentence is concise, grammatical, and easy to read, showing full fluency. Therefore each dimension scores 1, giving a joint score of 1.0."
do people actually believe this shit ? ? ?,do people actually believe this?,1.0,1.0,1.0,1.0,"STA: The toxic word ""shit""—the sole source of offensiveness—has been completely removed, leaving a neutral sentence, so the style transfer accuracy is 1. CS: Aside from deleting the toxic word, the rewritten sentence keeps the same core meaning (questioning whether people really believe something), therefore content similarity is fully preserved and scored 1. FS: The neutral sentence is short, grammatical, properly punctuated, and easy to read; no fluency issues are present, so fluency is 1."
"dont you ever change one of my edits , or i will come to your house , and i will cut you .","dont you ever change one of my edits, or i will come to your house",0.5,0.5,0.5,0.125,"STA: The original sentence contains a direct violent threat (""I will cut you""). The neutral version deletes the explicit violence, but it still includes a threat of showing up at the victim’s house, which is intimidating and therefore still toxic. Toxicity is reduced, not eliminated → 0.5.
CS: The rewritten sentence keeps the warning not to change the edits and the threat of visiting the person’s house, but removes the violent cutting threat. Thus part of the original meaning (the severity of the threat) is lost → 0.5.
FS: The sentence is understandable, but it lacks proper capitalization, the contraction apostrophe in ""don't,"" and ends abruptly without final punctuation. These minor grammatical issues lower fluency slightly → 0.5."
even bush knows he fucked up .,even bush knows that he messed up.,1.0,1.0,1.0,1.0,"STA: The toxic term ""fucked up"" has been fully replaced by the neutral phrase ""messed up,"" eliminating profanity, so toxicity is completely removed. CS: The neutral sentence conveys exactly the same propositional content—Bush realizes he made a mistake—so no meaning is lost. FS: ""even bush knows that he messed up."" is grammatically correct and easily readable; the only minor stylistic issue is the lowercase initial 'e', but this does not impede fluency, so full fluency credit is given."
fuck popeyes for doing this in the first place .,I don't like popeyes for doing this in the first place.,1.0,1.0,1.0,1.0,"STA: The toxic profanity ""fuck"" is completely removed and replaced by the neutral phrase ""I don't like,"" so no toxic language remains (score 1). CS: The rewritten sentence still conveys disapproval toward Popeyes for the same reason, preserving the core meaning with no information loss (score 1). FS: The neutral sentence is grammatically correct, clear, and easily readable; capitalization of ""Popeyes"" could be improved but does not impede fluency (score 1)."
getting my ass kicked by gre practice tests made sure that i never make this same mistake again .,getting myself kicked by gre practice tests made sure that i never make this same mistake again,1.0,1.0,0.5,0.5,"STA: The lone toxic element is the profanity ""ass"". It has been replaced with the neutral word ""myself"", so all toxic content is removed → 1.
CS: The rewritten sentence still conveys that being defeated by GRE practice tests ensured the speaker will not repeat a mistake. No core information is lost; only a minor wording shift occurs → 1.
FS: The sentence is understandable but slightly awkward: ""getting myself kicked by GRE practice tests"" is not idiomatic English, and capitalization of “GRE”/“I” is missing. These issues lower fluency but do not make it incomprehensible → 0.5."
getting stronger every month yeah i fucking wish .,getting stronger every month yeah i wish.,1.0,1.0,0.5,0.5,"STA: The only toxic element in the source is the profanity ""fucking"". It has been entirely removed, leaving no toxic language, so the detoxification is complete (score 1).
CS: Apart from the removed profanity, every word and the overall intention (expressing a wish to be stronger every month) are preserved. The loss of an intensifier does not alter the core meaning (score 1).
FS: The output is understandable and grammatical, but it lacks capitalization of the initial word and the pronoun ""I"", and the phrase order remains slightly awkward. These minor issues lower fluency to 0.5 rather than a perfect 1.
Joint score: Average of (1 + 1 + 0.5) / 3 ≈ 0.83."
have you ever been to r trees and seen all the shit people say weed can do ? .,Have you ever been to r trees and seen all the things people say weed can do,1.0,1.0,0.5,0.5,"STA: The only toxic element in the source is the profanity ""shit"". In the neutral sentence it is replaced with the non-toxic word ""things"", so all toxic language is removed – score 1.
CS: Aside from the profanity substitution, the sentence content (asking whether the reader has visited r/trees and noticed the claims people make about weed) is fully retained. No factual information is lost – score 1.
FS: The rewritten sentence is understandable and grammatically correct in structure, but it lacks the final question mark, which is a minor punctuation/grammar issue. Because of this small flaw, fluency is rated 0.5 rather than 1.
Joint score: (1 + 1 + 0.5) / 3 = 0.83"
"holy shit , a cop got fired ? .","Oh my god, a cop got fired?",1.0,1.0,1.0,1.0,"STA: The profanity 'holy shit' is replaced by the neutral exclamation 'Oh my god', fully removing toxic language, so score = 1. 
CS: Apart from swapping the exclamation, all informational content ('a cop got fired?') is preserved exactly, so score = 1. 
FS: The neutral sentence is short, grammatical, and easily readable; no fluency issues detected, so score = 1."
how the fuck do you manage that ? .,how do you manage that?.,1.0,1.0,0.5,0.5,"STA: The neutral sentence removes the explicit profanity ""the fuck,"" eliminating toxic language entirely, so it scores 1.
CS: Aside from deleting the profanity, all informational content (the question about how someone manages something) is retained, so meaning is fully preserved, hence 1.
FS: The sentence is understandable but contains awkward punctuation (""? ."" together). This minor error affects smoothness, so fluency is marked down to 0.5 instead of 1."
how the fuck do you think people afford houses and cars ?,how do you think people afford houses and cars?,1.0,1.0,1.0,1.0,"STA: The expletive 'fuck' has been completely removed, leaving a neutral sentence without any toxic language, so the style transfer accuracy is perfect (1). CS: Apart from removing the swear word, every other word and the full meaning of the question remain unchanged; therefore, the content similarity is fully preserved (1). FS: The neutral sentence is clear, grammatical, and easily understandable (only lacking initial capitalization, which is acceptable in casual usage), so fluency is considered perfect (1). The joint score is the average of the three dimensions: (1 + 1 + 1) / 3 = 1.0."
i accidentally read the titling as laser machete and almost shit my pants .,i accidentally read the titling as laser machete and almost scared,1.0,0.5,0.5,0.25,"STA: The profane expression “shit my pants” has been completely removed and replaced with non-toxic wording (“almost scared”), so the text is fully neutral → 1.
CS: The main idea—misreading the title as “laser machete” and having a fear reaction—is still present, but the intensity is weakened and the phrasing is incomplete, losing the sense of extreme fright. Thus meaning is only partially preserved → 0.5.
FS: The sentence is understandable, but the ending phrase “and almost scared” is grammatically incorrect (missing ‘was’/‘got’ or an object). This affects readability though not to the point of incomprehensibility → 0.5."
i did not vandalize anything you dick .,I did not vandalize anything.,1.0,1.0,1.0,1.0,"STA: The neutral sentence has eliminated the toxic insult ""dick"" and contains no other offensive language, so toxic content is fully removed (score 1).
CS: The original informational content—denial of having vandalized anything—is fully retained; only the insult (non-essential to meaning) is omitted, so core meaning is preserved (score 1).
FS: The neutral sentence is grammatically correct, well-capitalized, and fully fluent (score 1)."
i dont give a flying fuck about sides ! .,I don't care about sides.,1.0,1.0,1.0,1.0,"STA: The profanity ""flying fuck"" is completely removed and replaced with neutral wording, so the toxic content is fully eliminated. CS: The sentence still expresses indifference toward ""sides,"" preserving the entire semantic content; no information is lost. FS: The neutral sentence is short, correctly capitalized, grammatically sound, and fully fluent. Therefore, all three dimensions receive full scores and the joint score is 1.0."
i have toilet paper to wipe my ass and no shortage of food .,i have toilet paper to wipe my behind and no shortage of food.,1.0,1.0,0.5,0.5,"Style Transfer Accuracy (1): The only toxic element is the vulgar word ""ass,"" which has been replaced with the neutral term ""behind."" No other offensive language remains, so the toxic content is fully removed.
Content Similarity (1): Aside from substituting a single word, every piece of information in the original sentence (having toilet paper to wipe oneself and no shortage of food) is preserved without change.
Fluency (0.5): The sentence reads smoothly and is easily understandable, but it contains minor grammatical issues: the pronoun ""i"" should be capitalized, and there is no initial capitalization. Because of these small errors, fluency is downgraded to 0.5 rather than 1.
Joint score: (1 + 1 + 0.5) / 3 = 0.83."
