toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
any of us who did half this shit would be locked the fuck up already .,any of us who did half this would be locked up already.,1.0,1.0,1.0,1.0,"STA: The neutral text eliminates the expletives 'shit' and 'the fuck,' yielding fully neutral language. CS: The proposition and structure are preserved—'any of us,' the hypothetical 'who did half this,' and the consequence 'would be locked up already' remain intact; only emphatic profanity is removed, not meaning. FS: The neutral sentence is fluent and readable; while 'half this' is colloquial, it is grammatical and clear in context."
are they liars or just clueless ?,are they liars or just clueless?,0.0,1.0,1.0,0.0,"No detoxification occurred—the neutral text keeps the toxic terms 'liars' and 'clueless' unchanged, so STA=0. Content is identical to the original, so CS=1. The neutral text is fluent and correctly punctuated (space before '?' removed), so FS=1."
"as someone from la and an oilfield worker , i still say this guy is a piece of shit .","as someone from la and an oilfield worker, i still say this guy is not",0.5,0.5,1.0,0.25,"The neutral text partially removes the toxic expression ('piece of shit') but still leaves a vague statement ('not'), which doesn't completely neutralize the tone. The core meaning about the negative evaluation of the person is still present, but the removal of the toxic content is not fully achieved. The meaning is somewhat altered with the vague phrasing. The language is fluent and clear without any grammatical errors."
"calm the fuck down , cnn .","calm down, cnn.",1.0,1.0,1.0,1.0,"STA: The explicit profanity ('the fuck') is fully removed, leaving a neutral imperative ('calm down'); no aggressive slur or vulgarity remains. CS: The addressee (CNN) and the core intent (telling them to calm down) are preserved exactly. FS: The neutral text is concise and grammatical; punctuation spacing is corrected, and while 'cnn' is lowercased, this is a stylistic choice rather than a grammatical error, so readability is fully fluent."
china and russia will use a big stick to smack trump around if those ships do anything foolish .,china and russia will use a big stick to smack trump around if those ships,0.5,1.0,1.0,0.5,"The neutral text removes the phrase 'to smack trump around' and leaves the sentence incomplete, which impacts the style transfer accuracy. The sentence still conveys the core message about China and Russia's reaction to the ships, but it loses the full neutrality due to the absence of proper contextual closure. Fluency is maintained, though the incomplete sentence affects its overall structure and meaning."
cretins like this rarely care about facts .,People like this rarely care about facts.,1.0,1.0,1.0,1.0,"The neutral text replaces the insult 'cretins' with 'People', fully removing toxic language (STA=1.0). The core proposition—that people of this type rarely care about facts—remains unchanged, so meaning is preserved (CS=1.0). The sentence is grammatical and natural-sounding (FS=1.0)."
do people actually believe this shit ? ? ?,do people actually believe this?,1.0,1.0,1.0,1.0,"The neutral text removes the profanity ('shit') and retains the original proposition—a skeptical question about whether people believe something—without altering meaning. Punctuation and spacing are normalized, yielding a clean, grammatically correct sentence. Thus: STA=1.0 (toxic term fully removed), CS=1.0 (core meaning unchanged), FS=1.0 (fully fluent)."
"dont you ever change one of my edits , or i will come to your house , and i will cut you .","dont you ever change one of my edits, or i will come to your house",0.5,0.5,0.5,0.125,"The neutral text removes the explicit violent threat ('cut you'), but it still contains intimidation ('don't you ever...' and 'I will come to your house'), so detoxification is only partial (STA=0.5). Core meaning is partially preserved—the warning about changing edits and intent to come to the person's house remain—but the violent action is omitted, altering severity (CS=0.5). The sentence is understandable but has grammatical issues (missing apostrophes, casual casing), so fluency is moderate (FS=0.5)."
even bush knows he fucked up .,even bush knows that he messed up.,1.0,1.0,1.0,1.0,"The toxic expression 'fucked up' is successfully replaced with the neutral 'messed up', removing the vulgarity entirely. The original meaning is perfectly preserved, and the neutral sentence is grammatically correct and fluent."
fuck popeyes for doing this in the first place .,I don't like popeyes for doing this in the first place.,1.0,0.5,1.0,0.5,"STA: The neutral text removes the profanity ('fuck') and expresses the sentiment in a non-toxic, neutral way. CS: It keeps the target (Popeyes) and the reason ('for doing this in the first place'), but it weakens the intensity from strong condemnation to a personal dislike, losing some of the original force. FS: The sentence is grammatical and readable; capitalization of the brand could be improved but does not hinder fluency."
