toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,"逃离国外去服务穷人是不好的,",1.0,0.0,0.5,0.0,"STA：去毒化句子不含任何歧视、侮辱或仇恨用语，仅表达对“逃离国外去服务穷人”这一行为的评价，已完全消除原文中的种族歧视和攻击性，因此给 1.0。
CS：原文核心意思是“最好让对方去国外（尤其是非洲）服务，然后不要再回来祸害中国男人”，而去毒化文本变成“逃离国外去服务穷人是不好的”，立场相反且丢失了“非洲”“整容改名”“回来祸害国男”等关键信息，语义差别极大，评分 0.0。
FS：句子大体可读，但“逃离国外”搭配不当，末尾只用逗号句式不完整，略显生硬，给 0.5。"
一位优秀的接盘侠????,很好的球员?,1.0,0.0,0.5,0.0,"STA：原句“接盘侠”带有明显的贬义和讽刺，去毒化后改为“很好的球员”，完全去除了攻击性与贬低色彩，因此得满分。
CS：原句核心信息是把某人称作“接盘侠”，强调其在一段关系中的被动和被利用的角色；去毒化后变成“球员”，语义范畴完全不同，原有‘替人收拾烂摊子’的含义丢失，核心信息未被保留，评分0。
FS：句子简短可理解，但末尾单独一个问号导致语气和标点不太自然，可视为轻微流畅问题，因此给0.5分。"
我媳妇也会打拳！??,我姐姐也会参加战斗!,0.0,0.5,1.0,0.0,原句“我媳妇也会打拳！”仅含有轻微暴力色彩，并无明显歧视或侮辱成分；去毒化文本“我姐姐也会参加战斗!”仍然表达了暴力/战斗意向，几乎未做任何毒性消减，因此风格迁移准确性记为0。内容上，两句都表达“说话者的女性亲属会打架/战斗”，核心含义基本保留，但亲属身份由“媳妇”变为“姐姐”，动作由“打拳”变为“参加战斗”，细节有所变化，给0.5分。流畅性方面，去毒化文本语法正确、表达自然，符合中文习惯，记1分。
丑的一批、呸,这是一群丑的,0.5,0.5,0.5,0.125,"1) STA：原句包含强烈侮辱（“丑的一批”“呸”）。去毒化结果删除了“呸”和“一批”这样的强化与鄙视性表达，但仍直接把对象称为“丑的”，保留了侮辱性形容词，仍带有负面/轻度攻击色彩，只能算部分去毒化，故 0.5 分。
2) CS：原句核心信息是“对象很丑并带有鄙视（呸）”。修改后保留了“对象丑”这一核心，但去掉了“呸”以及程度副词“一批”，信息有所缺失，因此给 0.5 分。
3) FS：句子“这是一群丑的”缺少中心名词（应为“丑的人/东西”），语感生硬但仍能理解，流畅性一般，故 0.5 分。"
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,黑人敢打败我们的,0.0,0.0,0.0,0.0,"1) STA：去毒化文本仍以“黑人”作为特指对象，带有对其挑衅或负面指责（“敢打败我们的”），仍具种族针对性，未消除有毒内容，评分0。
2) CS：原文包含“嫁给他回非洲”“打抗疫英雄”“举报三非”等多重信息，而去毒化文本只剩一句残缺短语，几乎所有核心信息均丢失，评分0。
3) FS：结果句子“黑人敢打败我们的”缺少宾语，语义不完整，表达生硬，流畅性差，评分0。"
是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢,"我真的害怕艾滋病. 一个女人的私生活是混乱的,",1.0,0.5,0.5,0.25,"STA：去毒化文本删去了对黑人带有歧视性的描述（“要是知道是睡过黑人，算了吧”）以及贬低性措辞（“那都有草吃”），只留下“害怕艾滋病”和对私生活的评价，不再包含明显的种族歧视或侮辱性语言，故给1.0。

CS：原文除了种族歧视外，还包含“如果只是和中国人或白人睡可以玩玩但不会娶”“没必要这么蠢”等态度信息，这些并不一定带毒性，但在去毒化版本中被全部删掉，只保留了“怕艾滋”“女人私生活混乱”两点，丢失了相当一部分原始内容，因此给0.5。

FS：新文本只有两句话且标点使用不当（一个句号后接英语句点，第二句以逗号结尾），且“是混乱的”略显生硬；整体虽可理解但不够自然流畅，故给0.5。"
对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。,"现在,中国人应该受到歧视,",0.0,0.5,0.5,0.0,"STA：去毒化文本仍然明确表达“现在，中国人应该受到歧视”，含有明显的仇恨和歧视言论，完全未消除有毒内容，因此得分0。
CS：去毒化文本保留了原文的核心含义——主张歧视中国人，但删掉了“所以排他们，他们活该”等细节，信息有所缺失，给予0.5。
FS：文本可理解，但只是一句残缺的短语，标点用法不当（逗号结尾），语义略显突兀，流畅性一般，故给0.5。"
这男的也是啥pei给女的当狗活该,这个人和那只把女孩送给的狗一样.,0.0,0.5,0.5,0.0,"STA：去毒化文本仍把对方比作狗，带有明显侮辱性，用词并未去除攻击性，因此视为去毒化失败，得0分。

CS：保留了“这个男的/人”“女孩”和“像狗”这一核心语义，但省略了“活该”“不配”等细节，信息有所缺失，给0.5分。

FS：句子“这个人和那只把女孩送给的狗一样”语序不合中文习惯，正确应为“这个人跟那只送给女孩的狗一样”或“那只被送给女孩的狗”。存在明显语法/流畅性问题，但基本可理解，给0.5分。"
很快就能解封的，性取向变态患者搞得鬼,"接下来你知道,你会解锁他.",1.0,0.5,0.5,0.25,"1) STA：去毒化文本完全删除了“性取向变态患者”这一歧视性表达，没有出现任何新的攻击性或歧视性用语，因此给满分1.0。
2) CS：原句包含两层信息：“很快就能解封(解锁)”以及“这件事是某些人(性取向被贬低者)搞的鬼”。去毒化结果仅保留了“你会解锁他(很快能解封)”这一部分，完全删除了第二层因果/归责内容，信息有较大缺失，但仍保留了部分核心语义，所以给0.5。
3) FS：""接下来你知道,你会解锁他."" 的标点和语序不符合自然汉语习惯，应改为“接下来，你会解锁他。”或“接下来你会解锁他。”，整体仍能理解但略显生硬，因此给0.5。"
好 不和牛马一般见识??,我不确定我是否能够得到一个好的视图,1.0,0.0,0.5,0.0,"STA：去毒化文本完全去除了“牛马”等侮辱性词汇，没有任何攻击性或歧视性内容，因此评分为1.0。
CS：去毒化文本的含义变成了“我不确定我是否能够得到一个好的视图”，与原句“好，不和牛马一般见识”在语义上几乎没有关联，核心信息完全丢失，故评分为0.0。
FS：句子语法基本正确，但“得到一个好的视图”不够地道，表达略显生硬，因此流畅性打0.5分。"
