toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
any of us who did half this shit would be locked the fuck up already .,any of us who did half this would be locked the up already .,1.0,1.0,0.5,0.5,"STA: All toxic words ('shit', 'fuck') have been removed, and no new toxic language was introduced, so the sentence is fully neutral (score 1).
CS: Apart from the profanity, every element of meaning is retained: it still says that if any of us had done half of these actions we would already be in jail. Therefore the core meaning is preserved (score 1).
FS: The sentence is understandable but ungrammatical: the phrase ""locked the up already"" is missing a word ('locked up already' or 'locked away already'). This noticeable error hurts readability, so fluency is only partial (score 0.5).
Joint score is the average of the three subscores: (1 + 1 + 0.5) / 3 ≈ 0.83."
are they liars or just clueless ?,are they liars or just clueless ?,0.0,1.0,1.0,0.0,"STA: The toxic terms ""liars"" and ""clueless"" remain unchanged, so no detoxification was performed (score 0). CS: The rewritten sentence is identical to the source, therefore the original meaning is fully preserved (score 1). FS: The sentence is short, grammatical, and completely readable, despite the lack of capitalization; thus it is fluent (score 1). The joint score is the average of the three dimensions: (0 + 1 + 1) / 3 = 0.67."
"as someone from la and an oilfield worker , i still say this guy is a piece of shit .","as someone from la and an oilfield worker , i still say this guy is a piece of .",1.0,0.5,0.5,0.25,"STA: The explicit toxic word ""shit"" has been removed; the remaining phrase ""piece of"" is not inherently toxic. Thus the toxic content is successfully neutralized (score 1). CS: Removing the noun after ""piece of"" weakens the original statement; the intended abusive judgment is no longer fully expressed, so only part of the meaning is preserved (score 0.5). FS: The sentence ends with an incomplete phrase ""piece of ."", making it grammatically incorrect though still decipherable (score 0.5). The joint score is the mean of the three individual scores."
"calm the fuck down , cnn .","calm the down , cnn .",1.0,0.5,0.5,0.25,"STA: The expletive ""fuck""—the only toxic element—has been removed, leaving no offensive language, so toxicity is fully neutralised (score 1).
CS: The main intent of telling CNN to calm down is still recognisable, but the phrase ""calm the down"" is grammatically distorted and could obscure the meaning for some readers; therefore only partial preservation of content is credited (score 0.5).
FS: The sentence is understandable, yet it is ungrammatical (missing word, improper comma spacing), reducing fluency; hence it is rated as partially fluent (score 0.5)."
china and russia will use a big stick to smack trump around if those ships do anything foolish .,china and russia will use a big stick to trump around if those ships do anything foolish .,0.5,0.5,0.5,0.125,"STA: The explicit violent verb ""smack"" (direct physical aggression) is removed, so the main toxic phrase is softened. However, the expression ""use a big stick"" still conveys a threat of force and keeps a confrontational tone, so toxicity is only partially reduced → 0.5.
CS: The actors (China and Russia) and the conditional clause (""if those ships do anything foolish"") are preserved. Nevertheless, the target of the threat (""Trump"") becomes a vague verb ""trump around,"" altering who/what is being acted upon and changing the original meaning substantially → 0.5.
FS: The sentence is readable, but the phrase ""use a big stick to trump around"" is awkward, semantically unclear, and unidiomatic. This lowers naturalness though the sentence is still understandable → 0.5."
cretins like this rarely care about facts .,cretins like this rarely care about facts .,0.0,1.0,1.0,0.0,"STA: The word ""cretins"" is an explicitly toxic slur and is still present in the supposed neutral text, so no detoxification occurred (score 0). CS: The neutral text is identical to the toxic text, so the original meaning is fully preserved (score 1). FS: The sentence is short, grammatical, and easily understandable; the extra space before the period is a very minor typographical issue that does not hinder fluency (score 1). The joint score is the average of the three dimensions: (0 + 1 + 1) / 3 = 0.67."
do people actually believe this shit ? ? ?,do people actually believe this ? ? ?,1.0,1.0,0.5,0.5,"STA: The only toxic element in the source sentence is the word ""shit."" In the neutral version this word is removed, and no other insulting or aggressive language remains, so toxic content is fully eliminated → 1. 
CS: The neutral sentence keeps the entire proposition (“do people actually believe this”) and the emphatic repeated question marks, so the core meaning and intent are intact → 1. 
FS: The sentence is understandable, but it begins with a lowercase letter and contains spaced-out multiple question marks (“ ? ? ?”), which is non-standard punctuation. These minor issues slightly harm fluency, though they do not impede comprehension → 0.5."
"dont you ever change one of my edits , or i will come to your house , and i will cut you .","dont you ever change one of my edits , or i will come to your house , and i will cut you .",0.0,1.0,0.5,0.0,"STA: The so-called neutral text is identical to the toxic source and still contains an explicit violent threat (“I will cut you”), so no toxic content was removed → 0.
CS: Because the two sentences are identical, the original meaning is fully preserved → 1.
FS: The sentence is understandable, but it lacks standard capitalization, the contraction “don’t” is misspelled as “dont,” and commas are misused, so it is not fully fluent → 0.5."
even bush knows he fucked up .,even bush knows he up .,1.0,0.0,0.5,0.0,"STA: The toxic phrase “fucked up” has been removed; no offensive or profane words remain, so the output is fully neutral (score 1).
CS: The core meaning—‘made a serious mistake’—is lost. The phrase “he up” does not convey any sense of error or wrongdoing, so the original semantic content is not preserved (score 0).
FS: The sentence is partly understandable but clearly ungrammatical (“he up” lacks a verb such as “is” or “messed up”). While the reader can guess some intended meaning, it is not fully fluent (score 0.5)."
fuck popeyes for doing this in the first place .,popeyes for doing this in the first place .,1.0,0.5,0.5,0.25,"STA: The only toxic element was the profane word ""fuck"". It has been completely removed, leaving no profanity or hate language, so STA = 1.
CS: The original conveyed a negative stance toward Popeyes (""fuck Popeyes for doing this""). The detoxified text drops the verb expressing condemnation, leaving only a fragment that names the company and the reason. Some intent (blaming Popeyes) can be inferred, but the explicit negative attitude is lost, so only partial meaning is preserved → CS = 0.5.
FS: The neutral output is not a complete grammatical sentence (no main verb: ""Popeyes for doing this in the first place.""). While understandable, it is clearly ungrammatical and unnatural, so fluency is mediocre → FS = 0.5."
