toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,跑国外去了不就很好嘛，要是去非洲服务那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,0.0,1.0,0.5,0.0,去毒文本几乎与原句完全一致，仅把“默那”改成“那”，仍然包含“去非洲服务”“祸害国男”“吴母沟”等明显带有歧视和侮辱色彩的用语，未能去除有毒内容，因此风格迁移准确性记为0.0。原文信息和语义完整保留，内容相似度为1.0。句子基本可读，但口语化且有轻微断裂，仍属基本通顺，流畅性给0.5。联合分数按乘积计算为0.0。
一位优秀的接盘侠????,一位优秀的接盘侠????,0.0,1.0,0.5,0.0,去毒文本与原文完全一样，仍然包含“接盘侠”这一带有嘲讽、贬义色彩的词汇，未做任何去毒化处理，因此风格迁移准确性为0. 内容层面两句完全一致，所以内容相似度为1。语言层面虽为通顺短语，但连续四个问号显得口语化且略显突兀，不算十分自然，故流畅性给0.5。联合分数取三项乘积，因此为0。
我媳妇也会打拳！??,我媳妇也会！??,1.0,0.0,0.5,0.0,"1) 风格迁移准确性：原句中可能被认为具有攻击性或暴力暗示的词语是“打拳”，去毒文本将其完全删除，不含任何有毒或暴力色彩词汇，得1.0。
2) 内容相似度：原句表达“我媳妇也会打拳”，核心信息是“会打拳”。去毒文本只剩“我媳妇也会”，关键动作被去掉，原句主要信息丢失，语义不完整，因此CS记为0.0。
3) 流畅性：句子“我媳妇也会！??”由于缺乏宾语，读起来不完整但仍可理解，属于轻微不自然，给0.5。
4) 联合分数：取三项中的最小值得到0.0。"
丑的一批、呸,丑的一批、,0.0,1.0,0.5,0.0,"1) STA：去毒文本仅删除了“呸”，但仍保留了明显侮辱性的“丑的一批”，没有有效去除有毒内容，因此给0分。
2) CS：除了去掉一个感叹词，核心含义（对目标进行外貌侮辱）完全保留，信息几乎无损，给1分。
3) FS：文本结尾保留了顿号“、”，导致句子不完整且不符合常规标点习惯，但整体仍可读，给0.5分。
综合得分为0.5。"
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报，收入不菲,0.0,0.5,1.0,0.0,去毒文本基本保留了原句所有带有种族歧视与攻击性的内容，如“黑人敢打我们的抗疫英雄，洗不白了”和“嫁给他，就跟他回非洲啊”，因此完全没有去除有毒成分，风格迁移准确性为0。内容方面，仅将“举报三非”缩减为“举报”，删去了“三非”这一非法滞留者的特指信息，其余内容全部保留，因此语义略有缺失但主体一致，给0.5分。流畅性方面，修改后句子语法正确，可读性与原文一致，无明显错误，给1.0分。联合分数按示例逻辑取STA与CS乘积，因此为0。
是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢,是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有吃。没必要这么,0.0,0.5,0.5,0.0,"1) STA：文本几乎未做去毒化处理，“要是知道是睡过黑人，算了吧”仍然带有明显的种族歧视，属于有毒内容，得分0。
2) CS：除去将“那都有草吃”改为“那都有吃”以及最后一句被截断外，其余内容与原文基本一致，核心含义保留，给0.5。
3) FS：整体句子在最后被截断（“没必要这么”），语义不完整，且“那都有吃”表述生硬，存在流畅性问题，但大部分句段仍能读懂，给0.5。
4) 联合分 j_score 取三项乘积（对齐示例逻辑）=0。"
对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。,对，这洽洽是对所有中国人的，所以排他们，他们。,0.0,0.5,0.0,0.0,"1) 风格迁移准确性：去毒化文本仍含有“排他们”这一排斥/驱逐性的指令，属于明显的敌意用语，有毒内容并未消除，故给0分。
2) 内容相似度：新文本保留了“对所有中国人”“排他们”这两处核心信息，但删除了“歧视”“活该”等关键语义，整体意义有所缺失，评0.5分。
3) 流畅性：句子缺乏谓语成分，两处重复“他们”，读起来断裂且不合语法，流畅性差，评0分。
综合联合分数按三项乘积计算为0。"
这男的也是啥pei给女的当狗活该,这男的也是啥pei给女的当狗,0.0,1.0,0.5,0.0,"1) 风格迁移准确性：去毒文本仍包含“当狗”等侮辱性表达以及“啥pei”（疑似辱骂声母写法），几乎未做去毒处理，仅删除了“活该”，因此仍然明显有毒，得分0。
2) 内容相似度：除去结尾“活该”二字，句子其余部分完全相同，核心含义（贬损该男子，称其‘给女的当狗’）完整保留，得分1。
3) 流畅性：句子口语感强且未使用标点，“啥pei”中掺杂字母影响可读性，但基本可理解，语法问题轻微，得分0.5。
联合分数取三项最低值，为0。"
很快就能解封的，性取向变态患者搞得鬼,很快就能解封的，性取向患者得鬼,0.5,0.5,0.0,0.0,"1) 风格迁移准确性：去毒文本去掉了明显的侮辱性词汇“变态”，但仍使用“患者”这一措辞，将性取向病理化，仍含有歧视意味，因此只能给0.5分。
2) 内容相似度：保留了“很快就能解封”的核心信息，也仍指称同一群体，但将“搞得鬼”改成了含义不清的“得鬼”，导致因果关系和指责含义部分丢失，故取0.5分。
3) 流畅性：短语“性取向患者得鬼”语法不通，“得鬼”在中文里难以理解，整体表达生硬且含义模糊，可读性差，评0.0分。
综合联合分 j_score 取三项乘积 0.5*0.5*0.0 = 0.0。"
好 不和牛马一般见识??,好 不和一般见识??,1.0,0.5,0.5,0.25,"1) STA：原句中的辱骂性词汇“牛马”被完全删除，剩余内容虽带有轻微的优越感，但已不含明显侮辱或歧视用语，因此评 1.0。
2) CS：原意是“好，不跟（被称作）牛马的人一般见识”，核心动作是“懒得计较”。去毒文本仍表达出不计较的态度，但删除了受指代对象，细节缺失，信息保留度下降，评 0.5。
3) FS：句式“好 不和一般见识??”缺少宾语，语法不完整，‘??’符号亦显生硬，整体可理解但不够自然顺畅，评 0.5。
联合分数取各项最低值，故为 0.5。"
