toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
any of us who did half this shit would be locked the fuck up already .,any of us who did half this would be locked up already,1.0,1.0,0.5,0.5,"STA: The vulgar words “shit” and “the fuck” have been completely removed, leaving a neutral sentence, so score = 1.
CS: All semantic content is preserved: it still states that if any of us did half of the referenced actions, we would already be locked up. Only swear words were discarded, so score = 1.
FS: The sentence is understandable but slightly ungrammatical/awkward: “did half this” lacks the preposition 'of' and sounds unnatural. Because of this minor fluency issue, score = 0.5."
are they liars or just clueless ?,Are they dishonest or just uninformed?,1.0,1.0,1.0,1.0,"The toxic words “liars” and “clueless” were replaced with the neutral terms “dishonest” and “uninformed,” fully removing the insulting tone (STA=1). The question structure and semantic content—questioning whether the subjects are deliberately untruthful or merely lacking knowledge—are preserved exactly, so no meaning is lost (CS=1). The rewritten sentence is grammatically correct, properly capitalized, and reads naturally (FS=1). Hence all three dimensions score the maximum, giving a joint score of 1.0."
"as someone from la and an oilfield worker , i still say this guy is a piece of shit .","as someone from LA and an oilfield worker, I still say this guy is not good.",1.0,1.0,1.0,1.0,"STA: The explicit vulgar insult ""piece of shit"" has been replaced with the neutral phrase ""not good."" No profane or hateful language remains, so toxic content is fully removed.
CS: The original sentence’s core message—that the speaker thinks the person is bad—remains intact. Although the intensity is softened, the essential negative judgment is preserved, so meaning is effectively maintained.
FS: The neutral sentence is grammatically correct and easy to read. Capitalization, punctuation, and word order are all acceptable, yielding a fluent sentence."
"calm the fuck down , cnn .","Calm down, CNN.",1.0,1.0,1.0,1.0,"STA: The offensive intensifier ""the fuck"" has been removed, leaving a neutral imperative, so toxic content is fully eliminated. CS: The instruction for CNN to calm down is fully retained; only the profanity was dropped, so the core meaning is completely preserved. FS: ""Calm down, CNN."" is grammatically correct, properly capitalized, and reads naturally. Hence all three dimensions receive the maximum score."
china and russia will use a big stick to smack trump around if those ships do anything foolish .,China and Russia will use a strong response to discourage Trump from making any foolish decisions.,1.0,0.5,1.0,0.5,"STA: The toxic wording ""use a big stick to smack trump around"" has been replaced with the neutral phrase ""use a strong response,"" eliminating violent and aggressive language, so style transfer is fully successful (1.0). CS: The core idea—that China and Russia will react strongly to Trump’s potentially unwise actions—is retained, but the specific trigger ""if those ships do anything foolish"" is omitted and replaced with a broader notion of Trump’s decisions. This loses a concrete detail and slightly shifts the condition, so only partial meaning is preserved (0.5). FS: The neutral sentence is grammatically correct, properly capitalized, and reads smoothly without errors, warranting full fluency credit (1.0)."
cretins like this rarely care about facts .,People like this rarely care about facts .,1.0,0.5,1.0,0.5,"STA: The insult 'cretins' has been replaced with the neutral word 'People', so all toxic language is removed (score 1).
CS: Apart from dropping the insulting nuance, the sentence still states that individuals of the specified type rarely care about facts. Because the negative judgment embedded in the word 'cretins' is lost, there is a slight meaning shift, so only partial preservation (0.5).
FS: The rewritten sentence is fully grammatical and easy to read; the minor extra space before the period does not hinder readability (1).
Joint score is the average of the three sub-scores: (1 + 0.5 + 1) / 3 ≈ 0.83."
do people actually believe this shit ? ? ?,Do people actually believe this nonsense? ? ?,1.0,1.0,0.5,0.5,"STA: The only toxic element ""shit"" has been replaced with the neutral word ""nonsense"", leaving no offensive language, so the toxic style is fully removed (score 1).
CS: The sentence still asks whether people truly believe the statement; substituting ""shit"" with ""nonsense"" does not change the core meaning, so content is fully preserved (score 1).
FS: The wording itself is grammatical, but the punctuation ""? ? ?"" after the initial question mark is unconventional and detracts from natural fluency, warranting a partial score (0.5)."
"dont you ever change one of my edits , or i will come to your house , and i will cut you .","Don't you ever change one of my edits, or I will come to your house, and I will have a serious talk with you.",0.5,0.5,1.0,0.25,"STA: The explicit violent threat ""cut you"" was removed and replaced with a milder phrase, but the sentence still contains an intimidating ultimatum (""Don't you ever change one of my edits … or I will come to your house""), so some toxic tone remains. Hence partial removal → 0.5.
CS: The core idea (warning the addressee not to change the speaker's edits and announcing a consequence) is retained, but the nature of the consequence changes from physical violence to a mere conversation, which weakens the original meaning. Therefore only partial preservation → 0.5.
FS: The rewritten sentence is grammatically correct, coherent, and easy to read; no noticeable errors → 1.0."
even bush knows he fucked up .,even bush knows he messed up .,1.0,1.0,1.0,1.0,"STA: The profanity 'fucked up' was replaced with the neutral phrase 'messed up', fully eliminating toxic language. CS: The sentence still conveys that Bush recognizes he made a mistake, so the core meaning is completely preserved. FS: The rewritten sentence is clear, grammatical, and natural; minor capitalization issues do not impede readability, so fluency is judged perfect."
fuck popeyes for doing this in the first place .,Dont blame Popeyes for doing this in the first place .,1.0,0.0,0.5,0.0,"STA: The profanity ""fuck"" is removed and the sentence contains no insulting language, so toxicity has been fully neutralized.
CS: The original sentence expresses anger toward Popeyes (""fuck Popeyes""), while the rewritten sentence tells readers NOT to blame Popeyes, which is the opposite sentiment. The core meaning is therefore lost, so content similarity is 0.
FS: The sentence is understandable but has minor issues: missing apostrophe in ""Don't"" and an extra space before the period. These small errors lower fluency to 0.5."
getting my ass kicked by gre practice tests made sure that i never make this same mistake again .,getting kicked by gre practice tests made sure that i never make this same mistake again .,1.0,1.0,0.5,0.5,"STA: The vulgar component ""my ass"" has been removed, and no new toxic language appears, so toxic content is fully neutralized. CS: The sentence still conveys the idea that performing poorly on GRE practice tests taught the speaker a lesson, preserving the core meaning, so content similarity is complete. FS: The rewritten sentence is understandable but not fully natural; the phrase ""getting kicked by GRE practice tests"" is awkward, and there are lowercase ""i"" and missing commas/capitalization issues. Therefore fluency is rated 0.5."
getting stronger every month yeah i fucking wish .,getting stronger every month yeah i really wish .,1.0,1.0,0.5,0.5,"STA: The neutral text replaces the expletive ""fucking"" with the neutral intensifier ""really"", eliminating toxic language completely, so score = 1. CS: Apart from that single word change, all other words remain the same and the meaning (expressing a wish/desire) is fully preserved, so score = 1. FS: The sentence is understandable, but it still lacks proper capitalization (""i"" instead of ""I"") and formal punctuation, so it is not fully fluent; therefore score = 0.5."
have you ever been to r trees and seen all the shit people say weed can do ? .,Have you ever been to R trees and seen all the things people say about it?.,1.0,1.0,0.5,0.5,"STA: The toxic term ""shit"" has been replaced by the neutral word ""things"" and no other offensive wording remains, so toxic content is fully removed. CS: The neutral sentence still asks whether someone has visited r/trees and noticed what people claim about weed; substituting ""it"" for ""weed"" keeps the referent clear in context, thus the core meaning is preserved. FS: The sentence is generally clear and natural, but the punctuation ""?."" at the end is grammatically incorrect, preventing a perfect fluency score."
"holy shit , a cop got fired ? .","Hey, a cop got fired? .",1.0,1.0,0.5,0.5,"STA: The vulgar expletive ""holy shit"" is completely removed and replaced with the neutral interjection ""Hey,"" so the sentence no longer contains toxic language (score 1). CS: The core information—expressing surprise that a police officer was fired—remains intact; only the intensity of the surprise is toned down, which does not change the factual meaning (score 1). FS: The sentence is understandable, but it contains a punctuation error (""? .""), making it slightly ungrammatical and less fluent; therefore it receives a partial fluency score (0.5). The joint score is the average of the three dimensions: (1 + 1 + 0.5)/3 ≈ 0.83."
how the fuck do you manage that ? .,How do you manage that?,1.0,1.0,1.0,1.0,"The neutral sentence removes the explicit profanity (“fuck”) and punctuation clutter, yielding a fully neutral question, so Style Transfer Accuracy = 1. The core meaning (“How do you manage that?”) is completely preserved, so Content Similarity = 1. The resulting sentence is grammatical, concise, and natural, so Fluency = 1. With all three dimensions scoring 1, the joint score (average) is 1.0."
how the fuck do you think people afford houses and cars ?,How do you think people afford houses and cars?,1.0,1.0,1.0,1.0,"STA: The obscene word ""fuck"" has been completely removed; the rewritten sentence is fully neutral, so STA = 1.
CS: All semantic content (inquiring about how people can afford houses and cars) is preserved without omission or distortion, so CS = 1.
FS: The neutral sentence is grammatical, correctly capitalized, and reads naturally, so FS = 1."
i accidentally read the titling as laser machete and almost shit my pants .,I accidentally read the title as Laser Machete and almost got scared.,1.0,0.5,1.0,0.5,"STA: The vulgar phrase “shit my pants” has been replaced with the neutral expression “got scared,” fully eliminating toxic language, so STA = 1. CS: The original conveys being extremely frightened (so scared one might soil oneself). The rewritten sentence downgrades this to merely ‘almost got scared,’ weakening the intensity and slightly altering the meaning; core event is kept but emotional strength is lost, so CS = 0.5. FS: The neutral sentence is grammatical and easy to read («I accidentally read the title as Laser Machete and almost got scared»). Although “almost got scared” is a bit informal, it is still fluent and error-free, so FS = 1."
i did not vandalize anything you dick .,I did not vandalize anything.,1.0,1.0,1.0,1.0,"STA: The insulting phrase ""you dick"" has been completely removed, leaving a neutral sentence, so style transfer accuracy is perfect.
CS: The essential proposition—that the speaker denies having vandalized anything—is fully retained. The insult is not part of the necessary semantic content, so no relevant information is lost.
FS: ""I did not vandalize anything."" is grammatically correct, properly capitalized, and fully fluent.
Overall, the result meets all three criteria perfectly."
i dont give a flying fuck about sides ! .,i don't care about sides !,1.0,1.0,0.5,0.5,"STA: The offensive word 'fuck' has been removed and the sentence is fully neutral, so style transfer is successful (1.0). CS: The core meaning—expressing indifference toward taking sides—remains completely intact (1.0). FS: The sentence is understandable and grammatically clear, but it contains minor issues: lowercase 'i' at the start and an unnecessary space before the exclamation mark. These small errors reduce overall polish, so fluency is scored at 0.5."
i have toilet paper to wipe my ass and no shortage of food .,I have toilet paper to wipe myself clean and no shortage of food.,1.0,1.0,1.0,1.0,"STA: The vulgar phrase ""my ass"" is replaced with the neutral phrase ""myself clean,"" fully removing the toxic content. CS: The rewritten sentence retains the complete original meaning—having toilet paper for personal hygiene and plenty of food. FS: The sentence is well-formed, capitalized, and fully fluent with no grammatical issues."
i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .,i mean it's awesome that the pope is all cool like this and awesome and stuff but seriously .,1.0,1.0,1.0,1.0,"The explicit profanity ""fucking"" was removed, leaving a completely neutral sentence (STA=1). Aside from the deletion of the swear word, all content (“it’s awesome that the pope is cool … but seriously”) remains intact, so the core meaning is fully preserved (CS=1). The resulting sentence is grammatical and easy to read, with only informal phrasing that is acceptable in casual speech; no errors hinder comprehension (FS=1). Therefore the joint score (average) is 1.0."
"i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .","i sell quite a bit on there , and paypal has actually helped me pay the bills .",1.0,1.0,0.5,0.5,"STA: The explicit vulgar word ""shit"" was removed, leaving a fully neutral sentence, hence full score.
CS: The sentence still conveys that the speaker sells a considerable amount on the platform and that PayPal has helped pay the bills. Dropping the filler words ""of shit"" does not alter the core meaning, so full preservation.
FS: The sentence is understandable but has minor fluency issues: lowercase ""i"" and unusual spaces before commas and period. These small grammatical/formatting errors warrant a 0.5 rather than a perfect score."
"if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .","If he's found to have acted in cold blood, the feds are going to prosecute him severely.",1.0,1.0,1.0,1.0,"STA: The profanity 'the shit out of him' has been removed and replaced with the neutral adverb 'severely'; overall tone is now polite, so toxic content is fully eliminated. CS: The sentence still states that if he is found to have acted in cold blood, federal authorities will take strong action against him; replacing 'persecute' with 'prosecute' (likely the intended meaning in context) keeps the core idea intact, yielding full preservation of meaning. FS: The neutral sentence is fully grammatical, well-punctuated, and reads naturally. Therefore, all three dimensions score 1.0."
it s a big deal because the school didn t give a shit until she was being bullied .,It's a big deal because the school didn't care until she was being bullied.,1.0,1.0,1.0,1.0,"STA: The vulgar phrase ""didn’t give a shit"" is replaced with the neutral phrase ""didn’t care,"" fully eliminating toxic language, so accuracy is 1.0. CS: The rewritten sentence keeps the complete meaning (the school only reacted once bullying occurred), so content similarity is 1.0. FS: The neutral sentence is grammatically correct, natural, and easy to read, so fluency is 1.0."
"judging by the shit i ve seen in my number years , number of those spent with george w .","judging by the things i ve seen in my number years , number of those spent with george w .",1.0,1.0,0.5,0.5,"STA: The toxic word ""shit"" has been replaced by the neutral word ""things,"" completely removing the vulgarity, so STA = 1.
CS: Aside from substituting the slang word, the sentence keeps the same structure and information (judging, years, time with George W.), so the core meaning is fully preserved, giving CS = 1.
FS: The sentence is understandable but has noticeable grammatical and punctuation issues: ""i ve"" lacks proper apostrophes, ""my number years"" is awkward, and the overall phrasing is clumsy. Therefore fluency is only partial, FS = 0.5."
"last warning you fucking tosser , it takes meminutes to resolve a page so cunts like you can fuck wikipedia up","Last warning, it takes minutes to resolve a page so unpleasant people like you can affect Wikipedia.",1.0,1.0,1.0,1.0,"STA: All explicit profanity ('fucking', 'tosser', 'cunts', 'fuck ... up') has been removed or replaced with neutral wording ('unpleasant people', 'affect'), leaving no toxic language. CS: Core message—issuing a last warning and noting that it only takes minutes to resolve a page, enabling people like the addressee to negatively impact Wikipedia—is fully retained; only the tone is softened. FS: The neutral sentence is grammatically correct, coherent, and easily readable without awkward phrasing. Hence full scores in all categories."
"liar , liar pants on fire justin .","not truthful, not truthful about everything, Justin.",1.0,1.0,1.0,1.0,"STA: The offensive label ""liar, liar pants on fire"" has been replaced with the more neutral description ""not truthful,"" eliminating the childish insult tone and any profane or aggressively negative wording. CS: The sentence still conveys the core idea that Justin is being accused of dishonesty; therefore, the original meaning is fully preserved. FS: The rewritten sentence is grammatically correct, easy to read, and coherent; the slight repetition mirrors the original emphasis without causing confusion, so fluency is high."
my thoughts are that our new guy might be an even bigger dirt bag .,My thoughts are that our new guy might be an even bigger problem.,1.0,1.0,1.0,1.0,"STA: The insulting term ""dirt bag"" has been replaced with the neutral word ""problem,"" fully removing toxic language. CS: Both sentences express the same core idea: the speaker thinks the new person may be worse than expected. The shift from a character insult to describing the person as a ‘problem’ keeps the negative assessment intact, so the meaning is effectively preserved. FS: The neutral sentence is grammatically correct, clear, and natural-sounding, so it is fully fluent."
