toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
any of us who did half this shit would be locked the fuck up already .,any of us who did half this would be locked up already,1.0,1.0,1.0,1.0,"STA: The neutral sentence has removed the explicit profanities “shit” and “the fuck,” so all toxic language is gone, giving a score of 1. CS: Apart from the removed profanity, every semantic element is preserved—the statement that anyone who did even half of the referenced actions would already be in jail remains intact. Hence, full meaning retention (1). FS: The neutral text is grammatical and easy to read; while slightly informal, it has no errors that impede comprehension, so fluency is perfect (1). Therefore, the joint score is the average: 1.0."
are they liars or just clueless ?,Are they dishonest or just uninformed?,1.0,1.0,1.0,1.0,"STA: The original sentence contains the overt insults ""liars"" and ""clueless."" In the rewritten sentence these are softened to ""dishonest"" and ""uninformed,"" which express similar ideas without the harsh, insulting tone. No overtly toxic or abusive language remains, so the toxicity is effectively removed (score 1). CS: The question structure (Are they X or Y?) and the semantic alternatives are retained; ‘dishonest’ conveys the same idea as ‘liars,’ and ‘uninformed’ conveys the same idea as ‘clueless,’ so core meaning is fully preserved (score 1). FS: The neutral sentence is grammatical, capitalized, properly punctuated, and fully fluent (score 1). Thus the joint average score is 1.0."
"as someone from la and an oilfield worker , i still say this guy is a piece of shit .","as someone from LA and an oilfield worker, I still say this guy is not good.",1.0,1.0,1.0,1.0,"STA: The phrase “piece of shit” (clearly toxic) has been replaced with the neutral phrase “not good.” No other profanities or slurs remain, so the toxic content is fully removed ⇒ 1.
CS: The neutral sentence still conveys that the speaker is from LA, works in the oilfield industry, and holds a negative opinion of the same person. Although the intensity of the insult is softened, the core meaning (speaker’s negative judgment) is intact ⇒ 1.
FS: The rewritten sentence is grammatical, properly capitalized (aside from a lowercase initial ‘as’, which is a very minor stylistic issue), and easy to read. No errors that impede comprehension ⇒ 1."
"calm the fuck down , cnn .","Calm down, CNN.",1.0,1.0,1.0,1.0,"STA: The expletive 'fuck' has been completely removed, and the rewritten sentence contains no other toxic or offensive language, so Style Transfer Accuracy is 1.
CS: The original intent—telling CNN to calm down—is fully preserved; only the profanity is omitted. Therefore, Content Similarity is 1.
FS: The neutral sentence 'Calm down, CNN.' is grammatically correct, properly capitalized, and easily readable, so Fluency is 1."
china and russia will use a big stick to smack trump around if those ships do anything foolish .,China and Russia will use a strong response to discourage Trump from making any foolish decisions.,1.0,1.0,1.0,1.0,"STA: The neutral sentence replaces the violent, aggressive phrase ""use a big stick to smack Trump around"" with the neutral wording ""use a strong response to discourage Trump,"" eliminating the toxic content entirely, so STA = 1.
CS: The core proposition—China and Russia will react forcefully if Trump acts foolishly—is preserved. Although the original mentions ""those ships"" while the neutral version generalizes to ""any foolish decisions,"" the causal condition (foolish action by Trump/US side) and the threatened strong reaction remain intact, so the main meaning is retained. Minor detail loss does not alter the core, so CS = 1.
FS: The neutral sentence is grammatically correct, well-structured, and easy to read with correct capitalization and punctuation, so FS = 1."
cretins like this rarely care about facts .,People like this rarely care about facts .,1.0,1.0,1.0,1.0,"STA: The toxic slur ""cretins"" has been replaced with the neutral term ""People,"" completely removing the insulting language, so STA = 1.
CS: The central proposition— that this group ""rarely care about facts""— remains intact; only the toxic epithet was removed. Therefore the core meaning is fully preserved, so CS = 1.
FS: The rewritten sentence is short, grammatical, and fully fluent with no errors, so FS = 1."
do people actually believe this shit ? ? ?,Do people actually believe this nonsense? ? ?,1.0,1.0,0.5,0.5,"STA: The toxic word ""shit"" has been fully replaced by the neutral word ""nonsense"" and no other offensive language remains, so toxic content is completely removed (score 1). CS: The sentence still asks whether people actually believe a certain statement; replacing ""shit"" with ""nonsense"" does not alter the core meaning, so semantic content is fully preserved (score 1). FS: The sentence is readable and grammatical, but the spaced triple question marks (""? ? ?"") are non-standard punctuation and slightly disrupt fluency, preventing a perfect score (score 0.5). The joint score is the average of the three dimensions: (1 + 1 + 0.5) / 3 ≈ 0.83."
"dont you ever change one of my edits , or i will come to your house , and i will cut you .","Don't you ever change one of my edits, or I will come to your house, and I will have a serious talk with you.",0.5,0.5,1.0,0.25,"STA: The explicit violent threat ""I will cut you"" has been removed, which eliminates the most toxic element. However, the sentence still contains an aggressive order (""Don't you ever change one of my edits"") and an implied threat (""I will have a serious talk with you""), so the tone remains intimidating rather than fully neutral. This is a partial, not complete, detoxification → 0.5.
CS: The core idea that the speaker warns the addressee not to change an edit and threatens a visit remains, but the nature of the threat changes from violence to a conversation. Because the severity of the action is altered, some meaning is lost (no longer a violent threat). Therefore only partial preservation → 0.5.
FS: The rewritten sentence is grammatically correct, properly capitalized, punctuated, and easily understandable. No noticeable fluency issues → 1.
Joint score: (0.5 + 0.5 + 1) / 3 ≈ 0.67."
even bush knows he fucked up .,even bush knows he messed up .,1.0,1.0,0.5,0.5,"STA: The toxic word ""fucked"" has been replaced with the neutral term ""messed,"" removing all profanity. No other offensive wording remains, so STA = 1.
CS: The neutral sentence conveys exactly the same meaning—Bush recognizes he made a mistake. No factual or semantic information is lost, so CS = 1.
FS: The sentence is fully understandable and grammatically correct in structure, but it does not capitalize the first word or the proper noun ""Bush."" Because the guidelines for a perfect score require no grammatical issues, this minor capitalization error reduces the score to 0.5."
fuck popeyes for doing this in the first place .,Dont blame Popeyes for doing this in the first place .,1.0,0.0,0.5,0.0,"STA: The expletive ""fuck"" has been completely removed and replaced with neutral wording; there is no insulting or profane content left, so STA = 1.
CS: The source sentence expresses strong condemnation toward Popeyes, whereas the rewritten sentence urges people *not* to blame Popeyes. This reverses the original sentiment, resulting in a loss of the core meaning, so CS = 0.
FS: The sentence is understandable and mostly correct, but it lacks the apostrophe in ""Don't"" and has an extra space before the period. These minor errors reduce fluency slightly, so FS = 0.5."
getting my ass kicked by gre practice tests made sure that i never make this same mistake again .,getting kicked by gre practice tests made sure that i never make this same mistake again .,1.0,1.0,0.5,0.5,"STA: The only toxic element is the mild profanity 'ass', which has been removed. The resulting sentence contains no offensive language, so a full score (1) is appropriate.
CS: Aside from deleting the word 'ass' and the possessive 'my', the sentence keeps the same structure and conveys the same idea—being defeated by GRE practice tests prompted the speaker not to repeat the mistake. No core information is lost, so CS = 1.
FS: The sentence is understandable, but it still starts with a lowercase letter, contains a tense mismatch ('made sure that i never make' instead of 'would never make'), and keeps the lowercase 'i'. These minor grammatical issues warrant a deduction, yielding FS = 0.5."
getting stronger every month yeah i fucking wish .,getting stronger every month yeah i really wish .,1.0,1.0,0.5,0.5,"STA: The only toxic element, the word ""fucking"", has been replaced with the neutral intensifier ""really"". No other offensive language remains, so toxic content is fully removed (score 1).

CS: Besides swapping the expletive for a neutral intensifier, the sentence keeps the same structure and conveys the same meaning (expressing a wish that isn’t being fulfilled). No core information is lost (score 1).

FS: Although understandable, the sentence lacks capitalization, has an awkward structure (""getting stronger every month yeah i really wish .""), and includes a space before the period. These minor grammatical and stylistic issues reduce overall fluency, so it merits 0.5 rather than 1.

Joint score: (1 + 1 + 0.5) / 3 = 0.83."
have you ever been to r trees and seen all the shit people say weed can do ? .,Have you ever been to R trees and seen all the things people say about it?.,1.0,1.0,0.5,0.5,"STA: The offensive word ""shit"" has been replaced by the neutral word ""things"" and no other profane or aggressive language remains, so toxic content is fully removed (score 1). CS: The rewritten sentence keeps the main idea: visiting r/trees and reading what people say about marijuana. Although ""weed can do"" becomes ""about it,"" the reference still points to the same subject and the core information (claims made in that subreddit) is intact; therefore, meaning is essentially preserved (score 1). FS: The sentence is mostly fluent, but it contains a minor punctuation error (""?."") and the phrase ""R trees"" is slightly awkward without a slash; these small issues make it less than perfectly polished yet still easy to understand, warranting a score of 0.5."
"holy shit , a cop got fired ? .","Hey, a cop got fired? .",1.0,1.0,0.5,0.5,"STA: The neutral sentence replaces the toxic interjection ""holy shit"" with the neutral word ""Hey,"" completely removing the profanity, so the detoxification is fully successful (score 1).
CS: Aside from the change of the exclamation word, all informational content (surprise that a police officer was fired) is preserved. Therefore, the core meaning remains intact (score 1).
FS: The sentence is understandable, but there is an extra period after the question mark (""? .""), which is a minor grammatical error that affects polish. This warrants a deduction, yielding a fluency score of 0.5.
Joint score: (1 + 1 + 0.5) / 3 = 0.83."
how the fuck do you manage that ? .,How do you manage that?,1.0,1.0,1.0,1.0,"STA: The toxic phrase ""the fuck"" has been entirely removed, resulting in a neutral sentence. Hence, full transfer accuracy (1).
CS: The core meaning—asking how someone manages something—remains fully intact. No information is lost, so content similarity is complete (1).
FS: The neutral sentence is short, grammatical, properly capitalized, and punctuated. It reads naturally without errors, giving full fluency (1)."
how the fuck do you think people afford houses and cars ?,How do you think people afford houses and cars?,1.0,1.0,1.0,1.0,"STA: The only toxic element is the expletive phrase ""the fuck,"" which has been completely removed. The resulting sentence is fully neutral, so STA = 1. CS: Apart from deleting the profanity, every word and the full meaning of the original question are retained—asking how people can afford houses and cars—so CS = 1. FS: The neutral sentence is grammatically correct, properly capitalized, punctuated, and fully fluent without awkwardness, so FS = 1."
i accidentally read the titling as laser machete and almost shit my pants .,I accidentally read the title as Laser Machete and almost got scared.,1.0,0.5,1.0,0.5,"STA: The neutral sentence removes the profanity ""shit my pants"" and contains no other offensive language, so the toxic style is fully neutralized. 

CS: The main ideas (mis-reading the title ""Laser Machete"" and having a strong fearful reaction) are retained, but the intensity of the reaction is notably weakened: ""almost shit my pants"" ≈ extremely frightened, whereas ""almost got scared"" implies only a slight or impending fear. Because this diminishes a nuance of the original meaning, some content is lost, so a partial (0.5) score is assigned. 

FS: The rewritten sentence is grammatical, well-punctuated, and easy to understand; no fluency issues are present, warranting a full score of 1."
i did not vandalize anything you dick .,I did not vandalize anything.,1.0,1.0,1.0,1.0,"STA: The offensive term ""you dick"" has been completely removed, leaving a neutral sentence. Therefore, the detoxification is fully successful.
CS: The original propositional content—denying any vandalism—remains intact. The removed portion was only the insult and not core information, so meaning is fully preserved.
FS: The neutral sentence is grammatical, well-capitalized, and perfectly fluent. Hence, full fluency.
Overall, all criteria are fully met, yielding perfect scores and a joint average of 1.0."
i dont give a flying fuck about sides ! .,i don't care about sides !,1.0,1.0,0.5,0.5,"STA: The profane phrase ""flying fuck"" has been replaced with the neutral verb ""care,"" so all toxic language is removed; score = 1.
CS: The rewritten sentence conveys exactly the same idea—having no concern about sides—so the core meaning is fully preserved; score = 1.
FS: The sentence is understandable, but it contains minor grammatical/punctuation issues: the pronoun ""i"" should be capitalized and there is an unnecessary space before the exclamation mark. These small errors lower fluency; score = 0.5."
i have toilet paper to wipe my ass and no shortage of food .,I have toilet paper to wipe myself clean and no shortage of food.,1.0,1.0,1.0,1.0,"STA: The toxic phrase ""wipe my ass"" has been fully neutralized to ""wipe myself clean,"" eliminating vulgar language while keeping the sentence neutral. CS: All original information (having toilet paper and no shortage of food) is intact; only the wording of the wiping phrase changed. FS: The rewritten sentence is grammatically correct, capitalized, and easy to read, with no errors. Therefore, all three dimensions merit the maximum score."
i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .,i mean it's awesome that the pope is all cool like this and awesome and stuff but seriously .,1.0,1.0,1.0,1.0,"STA: The only toxic element was the profanity ""fucking,"" which has been completely removed. No other toxic language remains, so the style is fully neutral—score 1.
CS: Apart from deleting the swear word, every other word and the entire sentiment (that it is awesome the pope is cool, but seriously) are kept intact. No factual or semantic content is lost—score 1.
FS: The rewritten sentence is grammatical and fully understandable. It is no less fluent than the original (both are informal but correct). No noticeable errors—score 1."
"i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .","i sell quite a bit on there , and paypal has actually helped me pay the bills .",1.0,1.0,1.0,1.0,"STA: The only toxic element in the source is the word ""shit."" The neutral sentence removes this word entirely, leaving no offensive language, so a full score is appropriate. CS: The neutral sentence still conveys that the speaker sells a large amount on the platform and that PayPal helps pay the bills—exactly the original meaning. Dropping the slang word does not change the factual content, so content is fully preserved. FS: The neutral sentence is grammatically correct, easy to read, and free of errors; it is just as fluent as the original. Hence, full marks for fluency."
"if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .","If he's found to have acted in cold blood, the feds are going to prosecute him severely.",1.0,1.0,1.0,1.0,"STA: The neutral sentence removes the profanity ('the shit out of him') and the hostile wording, resulting in a fully neutral formulation. Therefore, style transfer accuracy is 1.
CS: The core proposition—if he is found to have acted in cold blood, the federal authorities will take strong action against him—is preserved. While the verb shifts from 'persecute' to 'prosecute', in this context it captures the intended meaning of legal action by the feds, so no essential information is lost. Hence, content similarity is 1.
FS: The rewritten sentence is grammatically correct, well-structured, and easily readable. There are no errors or awkward phrases. Thus, fluency is 1."
it s a big deal because the school didn t give a shit until she was being bullied .,It's a big deal because the school didn't care until she was being bullied.,1.0,1.0,1.0,1.0,"STA: The vulgar phrase ""didn't give a shit"" has been fully replaced with the neutral phrase ""didn't care,"" removing all toxic language, so the style transfer is completely successful.
CS: The sentence still conveys exactly the same idea—that it is a big deal because the school showed no concern until bullying occurred—so the core meaning is entirely preserved.
FS: The neutral sentence is grammatically correct, coherent, and natural-sounding with no errors, giving it full fluency."
