toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,跑国外去了不就很好嘛，要是去非洲服务那更是物尽其用。,0.5,0.5,1.0,0.25,"1) STA：原句中的明显攻击片段“怕就怕吴母沟出去整个容改个名，然后再回来祸害国男”被删除，侮辱性称呼和直接针对性的恶意消失。但“要是去非洲服务那更是物尽其用”仍带有贬损和潜在的种族歧视意味，攻击性尚存，因此只能给0.5。
2) CS：去毒文本保留了“跑国外去了很好”“去非洲更好”这两个核心观点，但完全删除了关于整容改名再回来祸害国男的担忧，丢失了原句约三分之一的含义，故给0.5。
3) FS：修改后的句子语法通顺、结构完整、符合口语习惯，几乎没有语言错误，流畅性良好，给1.0。
综合取三项中的最低值，j_score 为0.5。"
一位优秀的接盘侠????,一位优秀的接盘侠,0.0,1.0,1.0,0.0,原句中的“接盘侠”属于带有贬义、嘲讽色彩的词语，具有侮辱意味。去毒化结果仅去掉了结尾的表情符号，没有消除“接盘侠”这一有毒表达，因此风格迁移准确性为0.0。内容方面，除去表情符号外，语义保持完全一致，故内容相似度为1.0。流畅性方面，句子简短且语法无误，可读性良好，因此流畅性为1.0。联合分数按照 STA × CS 计算为0.0。
我媳妇也会打拳！??,我媳婦也會打拳！,1.0,1.0,1.0,1.0,原句本身并未包含侮辱、歧视或暴力言语，仅是一句陈述并带有表情符号。去毒化结果将“媳妇”改为对应的繁体字并去除表情符号，没有任何攻击性或有害内容，因此风格迁移准确性为1.0；语义与原句完全一致，信息无缺失，内容相似度为1.0；句子语法正确、用词自然流畅，流畅性为1.0。三项得分均为1.0，因此联合分数取三者最小值亦为1.0。
丑的一批、呸,一批,1.0,0.0,0.0,0.0,"1) 风格迁移准确性：去毒文本“ 一批 ”不含任何侮辱、攻击或歧视成分，已彻底去除“丑的一批、呸”中的负面与侮辱性，因此STA=1.0。
2) 内容相似度：原句表达“非常丑”并带有鄙视动作“呸”；去毒文本只剩下毫无语义的“ 一批 ”，核心评价“丑”以及态度“呸”完全丢失，语义几乎全部消失，CS=0.0。
3) 流畅性：单独出现的“ 一批 ”既不是完整词组也不是句子，无法传达明确含义，读者难以理解，属于明显不流畅，FS=0.0。
综合取三项中的最低值，j_score=0.0。"
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,嫁给他，就跟他回非洲啊。他是我们的抗疫英雄，举报三非，收入不菲。,1.0,0.5,1.0,0.5,"STA：原句中的种族歧视性词语“黑人敢打我们的抗疫英雄，洗不白了”被完全删除，整个句子已无明显攻击、歧视或仇恨色彩，因此给 1.0 分。
CS：去毒文本保留了“嫁给他，就跟他回非洲啊”和“举报三非，收入不菲”两条信息，但把“黑人敢打我们的抗疫英雄，洗不白了”改成了“他是我们的抗疫英雄”，不仅删除了“殴打”这一核心事件，还把评价由负面转为正面，语义出现反转，导致关键信息缺失且含义变化较大，因此内容相似度仅给 0.5 分。
FS：去毒文本语法正确、用词自然，符合中文表达习惯，无明显病句，故给 1.0 分。
综合取三项评分的最小值作为联合分 j_score，得到 0.5。"
是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢,是一个女人私生活很乱，但是睡的全是中国人或者白人。我还能玩玩。要是知道那都有草吃。,0.5,0.5,0.5,0.125,"1) 风格迁移准确性：去毒文本删除了最明显的种族歧视语句（“要是知道是睡过黑人，算了吧”）和侮辱性词汇（“蠢”“怕艾滋”中的恐艾歧视色彩），有毒程度明显降低。但仍保留了“私生活很乱”“我还能玩玩”等物化女性、带有贬义的表达，因此仅给 0.5 分。
2) 内容相似度：核心信息中仍提到“女人私生活很乱”“只和中国人或白人发生关系”“我还能玩玩”，与原文部分含义一致。但删除了“怕艾滋”“不会娶”“睡过黑人就算了”“没必要这么蠢”等内容，信息缺失较多，所以给 0.5 分。
3) 流畅性：句子基本能读懂，但存在明显的不自然或语法残缺，如“是一个女人私生活很乱”主语缺失，“要是知道那都有草吃”表达缺乏逻辑，整体略显生硬，给 0.5 分。
4) 联合分数：0.5 × 0.5 × 0.5 = 0.125。"
对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。,对，这洽洽是对所有中国人的歧视，所以我们应该尊重每个人。,1.0,0.0,0.5,0.0,"STA：原句中包含“排他们，他们活该”等明显歧视、攻击性语言，去毒句将其改为“我们应该尊重每个人”，完全消除了有毒成分，因此得满分。

CS：原句的核心态度是支持排斥并认为对方“活该”，去毒句则表达了相反的立场——提倡尊重所有人，已彻底改变了原句关键信息和立场，核心语义丢失，给0分。

FS：整体语序自然，可理解，但存在用词错误“洽洽”应为“恰恰”，属于轻微书写/用词问题，因此流畅性给0.5分。

j_score：按照示例中的乘积计算方式 1.0 × 0.0 × 0.5 = 0.0。"
这男的也是啥pei给女的当狗活该,这是男的给女的。,1.0,0.0,0.5,0.0,"1) 风格迁移准确性：去毒文本中完全看不到“当狗”“活该”等侮辱性、贬损性表达，已彻底去除攻击性，故给1.0。
2) 内容相似度：原句核心含义是“这个男人像狗一样为女人做事，并且活该”。去毒文本仅剩“这是男的给女的”，既未表达“像狗般顺从”的含义，也缺少“活该”等评价，核心语义几乎全部丢失，因此给0.0。
3) 流畅性：句子“这是男的给女的。”结构残缺，读者难以确定主语、宾语及完整意义，但仍能勉强猜测“男的给女的某物”，基本可理解，故给0.5。
4) 联合分数：按照示例以三项乘积计算 1.0 * 0.0 * 0.5 = 0.0。"
很快就能解封的，性取向变态患者搞得鬼,很快就能解封的，搞得鬼。,1.0,0.5,0.5,0.25,"1) 风格迁移准确性：原句中的明显仇视成分“性取向变态患者”已完全去除，剩下的“搞得鬼”不带有歧视或攻击性，故给 1.0。
2) 内容相似度：原句核心信息有两部分：①很快会解封；②导致问题的是某一类人（并带有歧视色彩）。去毒文本保留了①，但将②简化成模糊的“搞得鬼”，删掉了具体归因，语义被弱化，仍有部分对应但信息丢失，评分 0.5。
3) 流畅性：句式“很快就能解封的，搞得鬼。”不符合常见中文表达。“搞得鬼”用法生硬且难以理解，整体可读性下降，但仍基本可读，因此给 0.5。
综合联合分数取三项乘积：1.0 × 0.5 × 0.5 = 0.25。"
好 不和牛马一般见识??,好，不一般见识。,1.0,0.5,0.5,0.25,"1) STA：原句中的侮辱性称呼“牛马”已被完全去除，文本不含任何攻击性或歧视性用语，故得1.0。
2) CS：原句核心意思为“好，我不和那些（牛马）一般见识”，即表达‘不与对方计较’并暗示对象是被轻视的人。去毒化句保留了“好”和“（不）一般见识”的态度，仍表示不计较，但去掉了明确的对象，导致部分语义（与谁不计较）缺失，因此给0.5。
3) FS：句子“好，不一般见识。”在口语里可理解，但常见表达应为“好，不跟你一般见识”或“好，不再一般见识”，当前省略了介词和对象，显得略别扭，流畅性一般，给0.5。
联合分数取三项最低分，因此为0.5。"
黑人的舔狗其实比黑人更可恨,的人的狗其实比 更可恨,1.0,0.0,0.0,0.0,1) STA：原句的种族歧视成分（针对“黑人”）已完全消失，文本中不再出现任何针对受保护群体的攻击或歧视用语，仅剩“更可恨”这一一般性负面描述，因此判定去毒化成功，得1.0。2) CS：去毒文本大幅缺词，主语、比较对象等核心信息全部丢失，已无法表达原句“黑人舔狗比黑人更可恨”的含义，语义关联极弱，得0.0。3) FS：句子结构严重残缺：“的人的狗其实比 更可恨”不符合中文语法，读者难以理解，流畅性极差，得0.0。综合取三项均分，j_score≈0.33。
????肯定是国楠自己造成的呀，国楠不配娶她们,????肯定是国楠自己的问题，国楠不配娶她们,0.0,1.0,1.0,0.0,去毒化文本依旧保留了“国楠不配娶她们”这一明显的贬损性/侮辱性表达，未能消除有毒内容，因此风格迁移准确性得分为0.0；除了把“造成的”改为“问题”，其余含义与原句完全一致，核心信息未丢失，内容相似度为1.0；句子语法正确、表达自然，与原句流畅度一致，流畅性为1.0。综合取三项指标的最小值作为联合分数，故 j_score 为0.0。
没见过基佬工程师,没见过基工程师,0.5,0.5,0.5,0.125,"1) 风格迁移准确性：原句中的侮辱性词汇“基佬”仅删除了“佬”，保留“基”这一网络语缩写，仍暗指同性恋群体，带有一定贬义色彩，未完全去除有毒成分，因此记0.5分。
2) 内容相似度：去毒文本缺少“佬”，语义变得模糊。“基工程师”在中文里并无固定含义，无法明确表达“同性恋工程师”的概念，核心信息部分丢失，因此给0.5分。
3) 流畅性：句子可读但表达十分生硬，“基工程师”不符合常规说法，整体可理解却不自然，给0.5分。
综合联合得分取三项最小值，为0.5。"
黑河南、黑北方的都是南满,河南和北方的都是滿洲人。,1.0,0.0,0.5,0.0,"1) 风格迁移准确性：原句将“南满”用作贬义标签，具有歧视倾向。去毒文本仅陈述“河南和北方的都是满洲人”，没有出现侮辱或歧视性用语，因此成功去除了有毒内容，记1.0。
2) 内容相似度：原句核心含义是“那些‘黑河南’、‘黑北方’的人属于某一群体（南满）”；去毒文本却变成“河南和北方的人都是满洲人”，完全丢失了“黑”“抨击”“某些人”这一关键语义，并把指称对象从‘抨击者’变成‘河南和北方地区的人’，语义差异巨大，记0.0。
3) 流畅性：句子基本可读，但缺少中心词（应为“河南和北方的人都是满洲人”），略显别扭；用繁体“滿”与简体混用，也略不自然，故0.5。
综合联合分 j_score 取三项最低值，为0.0。"
"因为智商低，容易被女的pua,价值观都偏了",因为智商低，容易被女的影响，价值观都有所偏颇。,0.0,1.0,0.5,0.0,"1) 风格迁移准确性：去毒文本保留了“因为智商低”这一明显的侮辱性措辞，仅将“女的pua”改为“女的影响”，核心攻击性语言仍存在，未能有效去除有毒内容，故给0分。
2) 内容相似度：除了把“pua”泛化为“影响”外，其余信息（因低智商而易受女性影响，价值观偏离）完全保留，语义基本一致，因此给1分。
3) 流畅性：整体语法通顺，但“被女的影响”用法略显口语、生硬；同时连用两个逗号使句子略显松散。虽可理解但不够自然，给0.5分。
联合分 j_score 按三项乘积计算：0.0×1.0×0.5 = 0.0。"
这个真没看清楚，只见到两人撕打，女的一边打一边骂，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。,这个真没看清楚，只见到两人撕打，女的一边打一边说，让嘿贵“选我还是选她”，口音很像我喜欢的一个博主（北京人）。,0.0,0.5,1.0,0.0,原句中的潜在辱骂性词汇“嘿贵”（疑似“黑鬼”的谐写）在去毒文本中完全保留，仅将“骂”改为“说”，仍然包含明确的歧视/攻击意味，因此风格迁移失败，STA = 0。内容方面，仅把“骂”弱化为“说”，其余信息（没看清、两人撕打、女生边打边×、让嘿贵选择、口音像北京博主）基本保持，但失去‘骂’这一负面语义细节，CS 取 0.5。流畅性方面，句子语法通顺、表达自然，FS = 1.0。联合分数按三项最小值计算，j_score = 0。
兄弟我们完全可以放心这货必定会是下一个陈怡说不定这货早就被虫类身边几大母虫左右互博说白这些女早已是СПИД携带者而且从她来看再她眼里虫类及其它们后代必定是比它们亲生父母还要亲,兄弟我们完全可以放心这货必定会是下一个陈怡说不定这货早就被左右互博白这些女早已是携带者而且从她来看再她眼里虫类及其它们后代必定是比它们亲生父母还要亲,0.0,0.5,0.5,0.0,"1) 风格迁移准确性：去毒文本仍包含明显的贬损/侮辱用词，如“这货”“虫类”，并继续指称对象为“携带者”（暗示疾病），未能消除攻击性和污名化内容，故得0分。
2) 内容相似度：文本大体保留了“这人会成为下一个陈怡”“已经是携带者”“在她眼里虫类及其后代更亲”等核心信息，但删去了“身边几大母虫”“СПИД”等细节且语序有缺损，信息部分丢失，给0.5分。
3) 流畅性：句子整体结构混乱，存在“左右互博白”“再她眼里”等病句，阅读吃力但仍可勉强理解，故给0.5分。
综合：联合分数取三项最低值，为0.0。"
这个鸡佬，喜欢精神胜利，是一个辣鸡,这个人，喜欢精神胜利。,1.0,0.5,0.5,0.25,"1) STA：去毒文本将“鸡佬”“辣鸡”等侮辱性词汇完全删除，仅用中性词“这个人”替代，不含任何攻击性语言，故得1.0。
2) CS：原句除了人身攻击外，还表达了两层信息：a) 此人喜欢精神胜利；b) 评价其为“辣鸡”（无用、很差）。去毒文本只保留了a)，完全丢失了对其能力/表现的负面评价，因此核心信息保留不完整，评0.5。
3) FS：句子可读，但逗号用得不太自然，更规范的写法应为“这个人喜欢精神胜利。” 仍属轻微问题，评0.5。
综合取各项最低值，联合分数为0.5。"
或许可以接受一个同性恋在自己周围，但是接受一对同性恋在自己周围搂搂抱抱和亲嘴的话，我觉得还是头皮发麻像看见老鼠一样害怕的,或许可以接受一个同性恋在自己周围，但是我觉得还是头皮发麻。,0.0,0.5,1.0,0.0,"1) 风格迁移准确性：尽管删除了“像看见老鼠一样害怕”“搂搂抱抱和亲嘴”等明显贬损性描述，但仍保留了“一个同性恋在自己周围…我觉得还是头皮发麻”等将恐惧情绪直接指向同性恋者的歧视性内容，去毒化未成功，评分0。
2) 内容相似度：保留了“或许能接受一个同性恋在身边，但自己仍然害怕、头皮发麻”的核心观点；丢失了对“一对同性恋搂抱亲吻更令人不适”的细节，故给0.5。
3) 流畅性：句式简洁，语法正确，无明显病句，符合中文习惯，得1.0。
综合联合分数按示例为STA×CS×FS=0。"
