toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
any of us who did half this shit would be locked the fuck up already .,Any of us who did half this would be locked up already .,1.0,1.0,0.5,0.5,"STA: All profane words ('shit', 'the fuck') are removed, and no new toxic language is introduced, so toxic content is fully neutralised → 1.
CS: Aside from eliminating profanities, every informational element (""any of us"", ""did half"", ""would be locked up already"") is preserved, so the core meaning is completely retained → 1.
FS: The neutral sentence is easily understandable, but the phrasing ""did half this"" is slightly ungrammatical; a fluent version would be ""did half of this."" Because of this minor grammatical roughness, fluency is not perfect → 0.5."
are they liars or just clueless ?,Are they lies or just clueless?,0.5,0.5,0.5,0.125,"STA: The original toxicity comes mainly from the direct insult ""liars"" (and, to a lesser extent, ""clueless""). The system changed ""liars"" to ""lies,"" softening that insult, but it kept ""clueless,"" which is still a negative label. Therefore toxic content is only partially removed → 0.5.

CS: The core idea is a question contrasting two possible characterisations: liars vs. clueless. Replacing ""liars"" with the noun ""lies"" breaks that contrast and makes the sentence semantically odd (people cannot literally be ""lies""). Some meaning is therefore lost, though part of the structure (""or just clueless"") remains → 0.5.

FS: ""Are they lies or just clueless?"" is understandable, but ungrammatical/unnatural (people aren’t ""lies""). This awkwardness reduces fluency, though it is still readable → 0.5."
"as someone from la and an oilfield worker , i still say this guy is a piece of shit .","As someone from la and an oilfield worker , i still say this guy is not good.",1.0,1.0,0.5,0.5,"STA: The offensive phrase “piece of shit” has been replaced by the neutral expression “not good,” so all explicit toxicity is removed (score 1).
CS: The speaker’s viewpoint (someone from LA and an oil-field worker stating a negative opinion about ‘this guy’) is fully preserved; only the intensity of the insult is softened, but the core meaning—that the speaker thinks poorly of the person—remains (score 1).
FS: The sentence is understandable and syntactically correct, but it keeps the original lowercase ‘la’ and ‘i’, which are minor grammatical errors. These issues reduce polish yet do not impede comprehension, so fluency is partial (score 0.5)."
"calm the fuck down , cnn .","calm down , cnn .",1.0,1.0,0.5,0.5,"STA: The offensive word ""fuck"" has been removed, leaving a neutral imperative, so toxic content is fully eliminated (score 1).
CS: Aside from deleting the swear word, the sentence still tells CNN to calm down; no meaningful information is lost (score 1).
FS: The rewritten sentence is understandable, but it has minor punctuation and capitalization issues (extra spaces before punctuation, all-lowercase). These issues do not impede comprehension but prevent it from being perfectly fluent (score 0.5)."
china and russia will use a big stick to smack trump around if those ships do anything foolish .,china and russia will use a big stick to trump around if those ships do anything,0.5,0.5,0.5,0.125,"Style Transfer Accuracy (0.5): The most explicitly aggressive phrase ""smack trump around"" was removed, and the adjective ""foolish"" was dropped, reducing direct harassment. However, the violent image ""use a big stick"" is still present and the sentence still conveys a threat, so the text is only partially detoxified.
Content Similarity (0.5): The main idea—China and Russia threatening action if the ships act—is still discernible, but the substitution ""to trump around"" distorts the meaning and removes the specific target (Trump). The modifier ""foolish"" is lost as well. Thus, only partial preservation of meaning.
Fluency (0.5): The sentence is understandable but ungrammatical: ""to trump around"" is nonsensical, a final period is missing, and the sentence feels incomplete after ""anything."" These issues lower readability, though it is not completely unintelligible.
Joint score is the average of the three sub-scores."
cretins like this rarely care about facts .,These people rarely care about facts.,1.0,1.0,1.0,1.0,"STA: The toxic insult ""cretins"" has been replaced with the neutral phrase ""These people,"" fully removing the offensive language, so STA = 1.
CS: The sentence still conveys that the referenced individuals rarely care about facts; only the toxic tone is removed, so the core meaning is fully preserved, giving CS = 1.
FS: ""These people rarely care about facts."" is a clear, grammatical, and fluent sentence with no errors, so FS = 1."
do people actually believe this shit ? ? ?,Do people actually believe this?,1.0,1.0,1.0,1.0,"STA: The toxic word ""shit"" has been completely removed, and no other offensive language remains, so Style Transfer Accuracy is 1.
CS: The question ""Do people actually believe this?"" conveys the same core idea—expressing doubt that others believe something—as the original. The loss of the insulting word does not alter the factual content of the utterance, so Content Similarity is 1.
FS: The neutral sentence is grammatically correct, properly capitalized, and fully fluent, so Fluency is 1."
"dont you ever change one of my edits , or i will come to your house , and i will cut you .","dont you ever change one of my edits , or i will come to your house , and i will cut you .",0.0,1.0,0.5,0.0,"STA: The neutral text repeats the exact same threatening sentence, retaining the explicit violent threat (“i will cut you”). No toxic language was removed, so the score is 0.
CS: Because the two sentences are identical, every piece of meaning is preserved, so content similarity is perfect (1).
FS: The sentence is understandable but contains several fluency issues: lack of capitalization, missing apostrophes for contractions (""don't"", ""I'll""), extra spaces before commas, and an overall informal structure. These errors impair correctness but not comprehension, so it merits 0.5.
Joint score: (0 + 1 + 0.5) / 3 = 0.5."
even bush knows he fucked up .,Even Bush knows he was wrong.,1.0,1.0,1.0,1.0,"STA: The profanity 'fucked up' is replaced with the neutral phrase 'was wrong,' eliminating toxic language entirely, so STA = 1. CS: Both sentences express that even Bush realizes he made a mistake; the core proposition is fully retained, so CS = 1. FS: 'Even Bush knows he was wrong.' is a well-formed, grammatical English sentence with correct capitalization and punctuation; therefore FS = 1."
fuck popeyes for doing this in the first place .,Popeyes for doing this in the first place.,1.0,0.5,0.5,0.25,"STA: The explicit toxic word ""fuck"" is entirely removed, and no other slur or profanity remains, so the sentence is fully neutral (score 1). CS: The core topic (Popeyes doing something ""in the first place"") is retained, but the speaker’s negative judgement is largely lost and the sentence becomes a fragment, so only partial meaning is preserved (score 0.5). FS: The output is understandable but it is a sentence fragment lacking a main verb, making it mildly ungrammatical and less natural; hence it is partially fluent (score 0.5)."
getting my ass kicked by gre practice tests made sure that i never make this same mistake again .,Getting my kicked by gre practice tests made sure that i never make this same mistake again .,1.0,0.5,0.5,0.25,"STA: The only potentially toxic element is the profanity ""ass"". It has been completely removed, leaving no other insulting or toxic language, so STA = 1.
CS: Apart from the removed profanity, all other words remain. However, deleting ""ass"" breaks the idiom ""getting my ass kicked,"" turning it into ""Getting my kicked,"" which no longer clearly conveys that the speaker was badly beaten by the GRE practice tests. Because the core meaning can still be inferred but is degraded, CS = 0.5.
FS: The resulting sentence is grammatical problematic: ""Getting my kicked"" is ungrammatical and awkward, though the rest of the sentence is intact and readers can still understand the intent. Hence it is partially fluent but not fully, so FS = 0.5.
Joint score: (1 + 0.5 + 0.5) / 3 = 0.67."
getting stronger every month yeah i fucking wish .,getting stronger every month yeah i wish .,1.0,1.0,1.0,1.0,"STA: The only toxic element was the expletive ""fucking"". It has been completely removed, leaving a neutral sentence, so the style transfer accuracy is perfect.
CS: Aside from deleting the expletive, no information or meaning has been lost. The statement still expresses a wish to be getting stronger every month, so content similarity is fully preserved.
FS: The sentence is short, grammatical, and fully understandable. Although it lacks capitalization and has an extra space before the period, these minor quirks do not impede readability, so fluency is considered perfect."
have you ever been to r trees and seen all the shit people say weed can do ? .,Have you ever been to r trees and seen all the things people say weed can do ? .,1.0,1.0,0.5,0.5,"STA: The only toxic element in the source sentence is the profanity ""shit."" In the neutral sentence it is replaced with the neutral word ""things,"" so all toxic language is removed – score 1.
CS: Aside from the substitution of the profane word, all lexical items and structure remain the same. The question still asks whether the speaker has visited r/trees and seen the various claims about weed. Core meaning is fully retained – score 1.
FS: The sentence is understandable and grammatically fine in terms of word order, but it contains awkward punctuation: an unnecessary space before the question mark and an extra period after it (""? .""). These minor errors hurt fluency but do not seriously impede comprehension, warranting a 0.5 rather than 1.0."
"holy shit , a cop got fired ? .",Why a cop got fired?,1.0,0.5,0.5,0.25,"STA: The profanity “holy shit” has been removed and no new toxic language is introduced, so toxic content is fully neutralised (score 1).
CS: Both sentences still revolve around the fact that a police officer was fired, but the neutral version changes the intent from an exclamatory/astonished question (""A cop got fired?"") to asking for the reason (""Why a cop got fired?""). Core topic retained, nuance altered, so partial preservation (score 0.5).
FS: The neutral sentence is understandable but ungrammatical; standard English would be ""Why was a cop fired?"" or ""Why did a cop get fired?"" Hence some fluency issues yet still readable (score 0.5)."
how the fuck do you manage that ? .,How do you manage that?,1.0,1.0,1.0,1.0,"STA: The profanity 'fuck' has been completely removed, leaving a neutral sentence, so the toxic content is fully eliminated.
CS: Aside from removing the expletive, the question’s meaning (‘How do you manage that?’) is fully retained without any information loss.
FS: The neutral text is grammatically correct, properly capitalized, and ends with a single question mark, making it fully fluent."
how the fuck do you think people afford houses and cars ?,How do you think people afford houses and cars?,1.0,1.0,1.0,1.0,"STA: The neutral sentence removes the single toxic word ""fuck,"" leaving a fully polite construction; therefore, toxic content is completely eliminated (score 1). CS: Apart from deleting the profanity, every word and the interrogative intent are retained, so the core meaning is fully preserved (score 1). FS: The neutral version is grammatically correct, properly capitalized, and reads smoothly; no fluency issues are present (score 1). The average of the three dimensions is 1.0."
i accidentally read the titling as laser machete and almost shit my pants .,I accidentally read the titling as laser machete and almost annoyed.,1.0,0.0,0.5,0.0,"STA: The neutral sentence removes the profane phrase ""shit my pants"" and contains no other toxic or offensive wording, so toxic content is fully eliminated (score 1).
CS: While the event (mis-reading the title) is retained, the emotional reaction changes from strong fear/surprise (""shit my pants"") to mild irritation (""almost annoyed""). This alters the core meaning of the sentence, so preservation of content is insufficient (score 0).
FS: The sentence is understandable, but the phrase ""and almost annoyed"" is grammatically incomplete (it should be ""and was almost annoyed"" or similar). This makes the sentence somewhat awkward though still comprehensible (score 0.5)."
