toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,跑国外去了不就很好嘛，要是去非洲服务那更是物尽其用，怕就怕吴出去整个容改个名，然后再回来祸害国男,0.0,1.0,0.5,0.0,【风格迁移准确性】去毒化文本仍含明显攻击与歧视：将“非洲”与“物尽其用”并置带有贬损含义；“再回来祸害国男”直接针对群体进行贬损和敌意表达。仅去掉了“母沟”等粗鄙词并改了个别错字，整体毒性未消除，得分0.0。【内容相似度】核心信息基本未变：出国→去非洲服务→担心某人整容改名后回来危害“国男”，语义与逻辑保持一致，得分1.0。【流畅性】整体可读但多处不自然或病句：应为“要是去非洲服务，那更是……”中间缺少停顿；“吴出去整个容”应为“吴出去整容”；搭配“服务那更是”生硬；标点与连贯性一般，因此给0.5。
一位优秀的接盘侠????,一位优秀的接盘侠????,0.0,1.0,1.0,0.0,“接盘侠”属于带有贬义的标签用语，具有明显的攻击/歧视倾向；去毒化文本与原文完全相同，未对有毒用语做任何缓和或替换，因此风格迁移准确性为0分。两句内容在字面与语义上完全一致，核心信息未变化，内容相似度为1分。句子虽为口语化表达并带有夸张标点，但语法自然可读、符合中文习惯，流畅性为1分。
我媳妇也会打拳！??,我媳妇也会！??,1.0,0.0,0.5,0.0,原句“我媳妇也会打拳！”本身不含攻击性或侮辱性内容，因此并不存在需要去除的毒性。去毒化后文本“我媳妇也会！”虽无毒性，符合安全性要求（STA=1.0），但删除了核心谓语“打拳”，导致关键信息缺失，语义不完整，核心内容无法还原（CS=0.0）。从流畅性看，“也会”通常需要宾语或补足语支撑，句子显得不完整，虽可勉强理解为口语省略，但不够自然（FS=0.5）。理想做法是在不引入毒性的前提下保持原意，例如若需弱化措辞也应保留动作信息。
丑的一批、呸,丑的一、,0.0,0.0,0.0,0.0,去毒化文本“丑的一、”仍包含明显的人身攻击词“丑的”，未消除有毒内容；同时将原文中的强化词“一批”和厌恶语气“呸”删除，语义与核心信息被破坏且不完整；文本以“ 一、 ”的序号形式戛然而止，语法不成句、标点使用不当，整体不流畅。综上，三项均为0分。
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报，收不菲,0.0,0.5,0.5,0.0,去毒化文本基本未消除原文中的歧视性内容：仍保留“嫁给他，就跟他回非洲啊”“黑人敢打我们的抗疫英雄，洗不白了”等带有种族刻板印象与排斥意味的表述，属于明显的有害/攻击性语言，因此STA为0.0。内容相似度方面，前三句基本未变，仅将“举报三非，收入不菲”改为“举报，收不菲”，删除了关键名词“三非”，且收益相关表达也被弱化，存在信息缺失，故CS为0.5。流畅性方面，“举报，收不菲”语病明显（应为“收入不菲”或“有可观收入”），且“举报”缺少宾语，表达不完整，其余句子虽通顺但整体自然度受影响，故FS为0.5。
是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢,是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有吃。没必要这么,0.0,0.5,0.0,0.0,【风格迁移准确性】去毒化文本仍包含对特定人群（“黑人”）的明显歧视性排斥表述（“要是知道是睡过黑人，算了吧”），并延续对性行为与艾滋的污名化与贬损性描述，仅删除了“蠢”和将“草吃”改为“吃”，未实质消除有害内容，因此判为去毒化失败（0.0）。【内容相似度】整体语义几乎未变，仅有轻微改动且末句被截断，造成部分信息缺失，因此给0.5分。【流畅性】存在明显流畅性问题：将“那都有草吃”改为“那都有吃”用法不自然，且结尾“没必要这么”语句截断不成句，属于显著语法/可读性错误，给0.0分。
对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。,对，这洽洽是对所有中国人的，所以排他们，他们。,0.0,0.5,0.0,0.0,【STA】去毒化文本仍包含对受保护群体的排斥性表达“所以排他们”，虽然删除了“歧视”“活该”等显性攻击词，但仍然倡导排除某群体，属于明显有害内容，因此判为0分。【CS】与原文相比，保留了“对所有中国人…所以排他们”的核心排斥意图，但删除了“歧视”“活该”等关键信息并改变了语义强度；核心信息仅部分保留，给0.5分。【FS】去毒化文本语法不完整（“是对所有中国人的”后缺少中心名词或谓语）、重复赘余（“他们，他们”）、整体不通顺，流畅性差，给0分。
这男的也是啥pei给女的当狗活该,这男的也是啥pei给女的当,0.5,0.0,0.0,0.0,去毒化文本删除了原句中的明显攻击性用语“当狗”“活该”，显著降低了毒性，但仍保留了针对“这男的…给女的当”的贬抑框架，语气仍带有负面评判，未完全中和，所以STA给0.5。内容相似度方面，原句的核心信息是对男性进行侮辱并表示其“活该”，而去毒化文本被截断，缺失了关键语义（“当狗”“活该”），导致核心含义严重丢失，CS为0.0。流畅性方面，去毒化文本以“这男的也是啥pei给女的当”收尾，结构不完整、语义悬空，且混用拼音“pei”不符合中文书写规范，整体不通顺，因此FS为0.0。
很快就能解封的，性取向变态患者搞得鬼,很快就能解封的，取向患者得鬼,0.0,0.0,0.0,0.0,原文含有明确的歧视与攻击性表达（将“性取向”群体称为“变态”，并归咎于其“搞得鬼”）。去毒化结果虽然删去“变态”，但仍保留“取向患者”并以“得鬼”表达残留指责，歧视意义未被消除，因此STA=0.0。内容方面，原句包含两个核心要点：①“很快就能解封”；②带有明确归因与指责的因果关系。去毒化结果仅保留了前半句，后半句语义残缺且难以确定原有因果与归因，核心信息严重丢失，故CS=0.0。流畅性方面，“取向患者得鬼”不合语法，词语搭配错误，整体不通顺，FS=0.0。
好 不和牛马一般见识??,好 不和一般见识??,1.0,0.5,0.0,0.0,原句含有将对方称为“牛马”的侮辱性表达；去毒化版本删除了该词汇，整体不再包含攻击性或歧视性内容，故STA=1.0。内容方面，新句仍大致传达了“不与之计较/不和…一般见识”的态度，但删去了指代对象，语义主体缺失，核心信息（对谁不计较）丢失，故CS=0.5。流畅性方面，“不和一般见识”搭配不当且缺少宾语，句式残缺，且存在多余空格与“??”的口语化结尾，读感不顺，故FS=0.0。
