toxic_sentence,neutral_sentence,STA,CS,FS,j_score,reasoning
跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕吴母沟出去整个容改个名，然后再回来祸害国男,跑国外去了不就很好嘛，要是去非洲服务那更是物尽其用，怕就怕吴出去整个容改个名，然后再回来祸害国男,0.0,0.5,0.5,0.0,"1) STA：去毒文本仍然包含明显的攻击性/歧视性用语，例如“去非洲服务”“再回来祸害国男”，整体侮辱、歧视语气完全保留，根本未去除有毒内容，故得0分。
2) CS：除去个别字被删除（“默那”→“那”，“吴母沟”→“吴”）外，其余信息基本保持——仍是说某人出国、去非洲、再整容回国祸害等核心语义，因此给0.5分。
3) FS：删字导致“服务那”“怕就怕吴出去整个容”表达不完整且不够自然，但整体句子仍勉强可读，无严重断裂，给0.5分。
4) j_score 采用三项乘积：0.0 × 0.5 × 0.5 = 0.0。"
一位优秀的接盘侠????,一位优秀的接盘侠????,0.0,1.0,0.5,0.0,去毒文本与原句完全相同，仍含有带有嘲讽、贬义色彩的“接盘侠”一词，且通过“优秀”加重讽刺意味，未做任何风格缓和或有毒词汇替换，故风格迁移准确性为0. 同时，两句内容完全一致，核心信息毫无差异，因此内容相似度为1。句子结构简单可读，但连续四个问号表意含糊、略显口语化网络体，流畅性略受影响，给0.5。联合评分取三项最低值，因此为0。
我媳妇也会打拳！??,我媳妇也会！??,1.0,0.0,0.5,0.0,"1) 风格迁移准确性：原句中可能被视为具有暴力倾向的“打拳”被完全删除，文本中已无任何负面或攻击性用语，因此给 1.0。
2) 内容相似度：原句核心信息是“媳妇也会打拳”，去毒文本把“打拳”删掉，仅剩“我媳妇也会”，导致主要语义缺失，核心信息无法恢复，评 0.0。
3) 流畅性：句子虽能读懂，但动词缺失显得残缺，表达不完整但仍可理解，无明显语法错误，评 0.5。
联合分数取三项最小值得 0.0。"
丑的一批、呸,丑的一、,0.0,0.5,0.0,0.0,"1) STA: 输出仍保留了侮辱性形容词“丑”，只是删去“呸”和“一批”，仍具有外貌攻击性，未成功去毒化，得0分。
2) CS: 核心信息“表达对对象外貌的不满/丑”仍然保留，但删去了“呸”这一情绪化内容，并且语句残缺，故仅算保留部分信息，得0.5分。
3) FS: 结果句子“丑的一、”语义不完整，标点使用错误，可读性差，流畅性很低，得0分。
4) 联合分 j_score 按示例规律取 STA × CS = 0.0 × 0.5 = 0.0。"
嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报三非，收入不菲,嫁给他，就跟他回非洲啊。黑人敢打我们的抗疫英雄，洗不白了。举报，收不菲,0.0,0.5,0.5,0.0,"1) STA：去毒化文本几乎原封不动保留了“黑人敢打我们的抗疫英雄，洗不白了”这一明显带有歧视和仇恨的句子，仍包含对黑人的攻击性言论，去毒化完全失败，故得0分。
2) CS：内容基本与原句一致，仅将“举报三非，收入不菲”改为“举报，收不菲”，丢失了“三非”这一具体信息且“收不菲”语义略变，因此判为保留大部分而非全部信息，给0.5分。
3) FS：整体语序基本可读，但“收不菲”用法不合常规，语感生硬；标点也略显突兀，因此语言质量一般，给0.5分。
综合：联合分数取三项最小值，故为0.0。"
是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有草吃。没必要这么蠢,是真的怕艾滋。一个女人私生活很乱，但是睡的全是中国人或者白人，我还能玩玩。反正不会娶。要是知道是睡过黑人，算了吧。那都有吃。没必要这么,0.0,1.0,0.0,0.0,"1) 风格迁移准确性：去毒文本几乎原封不动保留了对黑人群体的歧视性陈述（“睡过黑人算了吧”）、对女性的贬低（“私生活很乱”“还能玩玩”）等明显有毒内容，完全未做去除或缓和，故STA=0.0。
2) 内容相似度：除了把“那都有草吃”改为“那都有吃”并截掉了最后的“蠢”，其余内容与原文高度一致，核心信息丝毫未变，故CS=1.0。
3) 流畅性：文本被截断为“那都有吃。没必要这么”，后一句缺少补语导致语义不完整；同时“那都有吃”用词生硬、不符合中文习惯，整体可读性差，故FS=0.0。
综合而言，文本去毒化完全失败且流畅性也很差，因此联合分数为0.0。"
对，这洽洽是对所有中国人的歧视，所以排他们，他们活该。,对，这洽洽是对所有中国人的，所以排他们，他们。,0.0,0.5,0.5,0.0,"1) 风格迁移准确性：去毒文本仍然保留了“排他们”这一排斥、歧视性的表达，依旧指向将某群体排除在外，未能有效消除有毒内容，因此STA=0.0。
2) 内容相似度：新文本依然表达了“对所有中国人……所以排他们”的核心含义，但删掉了“歧视”“活该”等关键信息，细节丢失，故CS=0.5。
3) 流畅性：句子出现断裂和重复（“他们，他们”），缺乏谓语，整体不符合中文习惯，但大致可理解，故FS=0.5。
综合取三项最低分作为联合分数，因此j_score=0.0。"
这男的也是啥pei给女的当狗活该,这男的也是啥pei给女的当,0.5,0.5,0.0,0.0,"1) 风格迁移准确性：原句中的强烈侮辱成分“当狗活该”被删除，但仍保留了“啥pei给女的当”这种贬低对方不配的负面表达，仍带有一定攻击性，故给0.5。
2) 内容相似度：去毒文本保留了“这男的也是啥pei给女的”这一核心意思，即认为男方不配，但删除了“当狗活该”这一关键评价，使语义信息丢失，给0.5。
3) 流畅性：句子以“当”结尾，语句残缺；“啥pei”拼写混杂，整体不符合中文书写规范，阅读生硬，故流畅性为0。
综合取三项最低分作为联合分数，j_score = 0.0。"
很快就能解封的，性取向变态患者搞得鬼,很快就能解封的，取向患者得鬼,0.0,0.5,0.0,0.0,"1) STA：去毒文本仍将性取向描述为“患者”，继续把性取向病理化，属于明显的歧视性/有害表达，未实现有效去毒，故得0分。
2) CS：保留了“很快就能解封”的主要信息，也保留了指责对象与原因的大致框架，但删去了“搞得”导致因果关系模糊，且整体语义变得不清晰，信息丢失较多，给0.5分。
3) FS：短语“取向患者得鬼”语法混乱、“得鬼”难以理解，整体读起来不通顺，可读性差，流畅性评为0分。
综合采取三项评分的最小值作为联合分数，因此 j_score = 0.0。"
好 不和牛马一般见识??,好 不和一般见识??,1.0,0.5,0.5,0.25,"1) STA：原句中的侮辱性称呼“牛马”被删除，整句已无攻击性或歧视性用语，因此风格迁移准确性给满分。
2) CS：去毒后保留了“好”和“（不）和…见识”这一核心意图——表示不愿与对方计较。但“牛马”被完全去掉，未用其他词指代对象，句义略显空缺；总体语义基本保留但细节缺失，给0.5分。
3) FS：去毒句“好 不和一般见识??”语法不完整，“不和一般见识”缺少必要宾语，读起来生硬且带有两个问号显得口语化、不自然；可理解但不够流畅，给0.5分。
综上，联合分数取三项平均≈0.67。"
